family,city_number,country,state_province,city_original,city,cluster,path
1,1,US,Alabama,Birmingham,Birmingham,1,./stim/1/1/1_1.jpg
1,1,US,Alabama,Birmingham,Birmingham,1,./stim/1/1/1_2.jpg
1,1,US,Alabama,Birmingham,Birmingham,1,./stim/1/1/1_3.jpg
1,1,US,Alabama,Birmingham,Birmingham,1,./stim/1/1/1_4.jpg
1,1,US,Alabama,Birmingham,Birmingham,1,./stim/1/1/1_5.jpg
1,1,US,Alabama,Birmingham,Birmingham,2,./stim/1/1/2_1.jpg
1,1,US,Alabama,Birmingham,Birmingham,2,./stim/1/1/2_2.jpg
1,1,US,Alabama,Birmingham,Birmingham,2,./stim/1/1/2_3.jpg
1,1,US,Alabama,Birmingham,Birmingham,2,./stim/1/1/2_4.jpg
1,1,US,Alabama,Birmingham,Birmingham,2,./stim/1/1/2_5.jpg
1,1,US,Alabama,Birmingham,Birmingham,3,./stim/1/1/3_1.jpg
1,1,US,Alabama,Birmingham,Birmingham,3,./stim/1/1/3_2.jpg
1,1,US,Alabama,Birmingham,Birmingham,3,./stim/1/1/3_3.jpg
1,1,US,Alabama,Birmingham,Birmingham,3,./stim/1/1/3_4.jpg
1,1,US,Alabama,Birmingham,Birmingham,3,./stim/1/1/3_5.jpg
1,1,US,Alabama,Birmingham,Birmingham,4,./stim/1/1/4_1.jpg
1,1,US,Alabama,Birmingham,Birmingham,4,./stim/1/1/4_2.jpg
1,1,US,Alabama,Birmingham,Birmingham,4,./stim/1/1/4_3.jpg
1,1,US,Alabama,Birmingham,Birmingham,4,./stim/1/1/4_4.jpg
1,1,US,Alabama,Birmingham,Birmingham,4,./stim/1/1/4_5.jpg
1,1,US,Alabama,Birmingham,Birmingham,5,./stim/1/1/5_1.jpg
1,1,US,Alabama,Birmingham,Birmingham,5,./stim/1/1/5_2.jpg
1,1,US,Alabama,Birmingham,Birmingham,5,./stim/1/1/5_3.jpg
1,1,US,Alabama,Birmingham,Birmingham,5,./stim/1/1/5_4.jpg
1,1,US,Alabama,Birmingham,Birmingham,5,./stim/1/1/5_5.jpg
1,1,US,Alabama,Birmingham,Birmingham,6,./stim/1/1/6_1.jpg
1,1,US,Alabama,Birmingham,Birmingham,6,./stim/1/1/6_2.jpg
1,1,US,Alabama,Birmingham,Birmingham,6,./stim/1/1/6_3.jpg
1,1,US,Alabama,Birmingham,Birmingham,6,./stim/1/1/6_4.jpg
1,1,US,Alabama,Birmingham,Birmingham,6,./stim/1/1/6_5.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,1,./stim/1/2/1_1.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,1,./stim/1/2/1_2.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,1,./stim/1/2/1_3.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,1,./stim/1/2/1_4.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,1,./stim/1/2/1_5.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,2,./stim/1/2/2_1.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,2,./stim/1/2/2_2.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,2,./stim/1/2/2_3.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,2,./stim/1/2/2_4.jpg
1,2,JP,Ibaraki,Hitachi,Hitachi,2,./stim/1/2/2_5.jpg
