name,city,size,culture,place,location_number,direct,back
aa.h1.a1.JPG,aa,2,1,h,1,a,1
aa.h1.a2.JPG,aa,2,1,h,1,a,2
aa.h1.b1.JPG,aa,2,1,h,1,b,1
aa.h1.b2.JPG,aa,2,1,h,1,b,2
aa.h1.x1.JPG,aa,2,1,h,1,x,1
aa.h1.x2.JPG,aa,2,1,h,1,x,2
aa.h1.y1.JPG,aa,2,1,h,1,y,1
aa.h1.y2.JPG,aa,2,1,h,1,y,2
aa.h2.a1.JPG,aa,2,1,h,2,a,1
aa.h2.a2.JPG,aa,2,1,h,2,a,2
aa.h2.b1.JPG,aa,2,1,h,2,b,1
aa.h2.b2.JPG,aa,2,1,h,2,b,2
aa.h2.x1.JPG,aa,2,1,h,2,x,1
aa.h2.x2.JPG,aa,2,1,h,2,x,2
aa.h2.y1.JPG,aa,2,1,h,2,y,1
aa.h2.y2.JPG,aa,2,1,h,2,y,2
aa.h3.a1.JPG,aa,2,1,h,3,a,1
aa.h3.a2.JPG,aa,2,1,h,3,a,2
aa.h3.b1.JPG,aa,2,1,h,3,b,1
aa.h3.b2.JPG,aa,2,1,h,3,b,2
aa.h3.x1.JPG,aa,2,1,h,3,x,1
aa.h3.x2.JPG,aa,2,1,h,3,x,2
aa.h3.y1.JPG,aa,2,1,h,3,y,1
aa.h3.y2.JPG,aa,2,1,h,3,y,2
aa.h4.a1.JPG,aa,2,1,h,4,a,1
aa.h4.a2.JPG,aa,2,1,h,4,a,2
aa.h4.b1.JPG,aa,2,1,h,4,b,1
aa.h4.b2.JPG,aa,2,1,h,4,b,2
aa.h4.x1.JPG,aa,2,1,h,4,x,1
aa.h4.x2.JPG,aa,2,1,h,4,x,2
aa.h4.y1.JPG,aa,2,1,h,4,y,1
aa.h4.y2.JPG,aa,2,1,h,4,y,2
aa.h5.a1.JPG,aa,2,1,h,5,a,1
aa.h5.a2.JPG,aa,2,1,h,5,a,2
aa.h5.b1.JPG,aa,2,1,h,5,b,1
aa.h5.b2.JPG,aa,2,1,h,5,b,2
aa.h5.x1.JPG,aa,2,1,h,5,x,1
aa.h5.x2.JPG,aa,2,1,h,5,x,2
aa.h5.y1.JPG,aa,2,1,h,5,y,1
aa.h5.y2.JPG,aa,2,1,h,5,y,2
aa.h6.a1.JPG,aa,2,1,h,6,a,1
aa.h6.a2.JPG,aa,2,1,h,6,a,2
aa.h6.b1.JPG,aa,2,1,h,6,b,1
aa.h6.b2.JPG,aa,2,1,h,6,b,2
aa.h6.x1.JPG,aa,2,1,h,6,x,1
aa.h6.x2.JPG,aa,2,1,h,6,x,2
aa.h6.y1.JPG,aa,2,1,h,6,y,1
aa.h6.y2.JPG,aa,2,1,h,6,y,2
aa.p1.a1.JPG,aa,2,1,p,1,a,1
aa.p1.a2.JPG,aa,2,1,p,1,a,2
aa.p1.b1.JPG,aa,2,1,p,1,b,1
aa.p1.b2.JPG,aa,2,1,p,1,b,2
aa.p1.x1.JPG,aa,2,1,p,1,x,1
aa.p1.x2.JPG,aa,2,1,p,1,x,2
aa.p1.y1.JPG,aa,2,1,p,1,y,1
aa.p1.y2.JPG,aa,2,1,p,1,y,2
aa.p2.a1.JPG,aa,2,1,p,2,a,1
aa.p2.a2.JPG,aa,2,1,p,2,a,2
aa.p2.b1.JPG,aa,2,1,p,2,b,1
aa.p2.b2.JPG,aa,2,1,p,2,b,2
aa.p2.x1.JPG,aa,2,1,p,2,x,1
aa.p2.x2.JPG,aa,2,1,p,2,x,2
aa.p2.y1.JPG,aa,2,1,p,2,y,1
aa.p2.y2.JPG,aa,2,1,p,2,y,2
aa.p3.a1.JPG,aa,2,1,p,3,a,1
aa.p3.a2.JPG,aa,2,1,p,3,a,2
aa.p3.b1.JPG,aa,2,1,p,3,b,1
aa.p3.b2.JPG,aa,2,1,p,3,b,2
aa.p3.x1.JPG,aa,2,1,p,3,x,1
aa.p3.x2.JPG,aa,2,1,p,3,x,2
aa.p3.y1.JPG,aa,2,1,p,3,y,1
aa.p3.y2.JPG,aa,2,1,p,3,y,2
aa.p4.a1.JPG,aa,2,1,p,4,a,1
aa.p4.a2.JPG,aa,2,1,p,4,a,2
aa.p4.b1.JPG,aa,2,1,p,4,b,1
aa.p4.b2.JPG,aa,2,1,p,4,b,2
aa.p4.x1.JPG,aa,2,1,p,4,x,1
aa.p4.x2.JPG,aa,2,1,p,4,x,2
aa.p4.y1.JPG,aa,2,1,p,4,y,1
aa.p4.y2.JPG,aa,2,1,p,4,y,2
aa.s1.a1.JPG,aa,2,1,s,1,a,1
aa.s1.a2.JPG,aa,2,1,s,1,a,2
aa.s1.b1.JPG,aa,2,1,s,1,b,1
aa.s1.b2.JPG,aa,2,1,s,1,b,2
aa.s1.x1.JPG,aa,2,1,s,1,x,1
aa.s1.x2.JPG,aa,2,1,s,1,x,2
aa.s1.y1.JPG,aa,2,1,s,1,y,1
aa.s1.y2.JPG,aa,2,1,s,1,y,2
aa.s2.a1.JPG,aa,2,1,s,2,a,1
aa.s2.a2.JPG,aa,2,1,s,2,a,2
aa.s2.b1.JPG,aa,2,1,s,2,b,1
aa.s2.b2.JPG,aa,2,1,s,2,b,2
aa.s2.x1.JPG,aa,2,1,s,2,x,1
aa.s2.x2.JPG,aa,2,1,s,2,x,2
aa.s2.y1.JPG,aa,2,1,s,2,y,1
aa.s2.y2.JPG,aa,2,1,s,2,y,2
aa.s3.a1.JPG,aa,2,1,s,3,a,1
aa.s3.a2.JPG,aa,2,1,s,3,a,2
aa.s3.b1.JPG,aa,2,1,s,3,b,1
aa.s3.b2.JPG,aa,2,1,s,3,b,2
aa.s3.x1.JPG,aa,2,1,s,3,x,1
aa.s3.x2.JPG,aa,2,1,s,3,x,2
aa.s3.y1.JPG,aa,2,1,s,3,y,1
aa.s3.y2.JPG,aa,2,1,s,3,y,2
aa.s4.a1.JPG,aa,2,1,s,4,a,1
aa.s4.a2.JPG,aa,2,1,s,4,a,2
aa.s4.b1.JPG,aa,2,1,s,4,b,1
