group,picture,Condition,size,culture,place,direct,street,back,bounda,boundw,chaosa,chaosw,invisiba,invisibw,numa,numw
1,assets/img/stim/Ann Arbor/aa.h2.b1.JPG,Item1,2,1,h,b,1,2,2.333333333,2,1.833333333,1.8,2,1.8,2.166666667,2.2
1,assets/img/stim/Ann Arbor/aa.h3.y1.JPG,Item2,2,1,h,y,2,2,1.5,1,2.166666667,1.4,1.833333333,1.2,1.5,1
1,assets/img/stim/Ann Arbor/aa.h5.y1.JPG,Item3,2,1,h,y,2,2,2.333333333,1.8,3.333333333,2.2,2.666666667,2.8,2.333333333,2.2
1,assets/img/stim/Ann Arbor/aa.h6.b1.JPG,Item4,2,1,h,b,1,2,2.166666667,3.2,2.666666667,3.2,2.333333333,2.6,3.166666667,3.4
1,assets/img/stim/Ann Arbor/aa.p1.y1.JPG,Item5,2,1,p,y,2,2,1,1.6,1.166666667,1.2,1.833333333,2,1.333333333,1
1,assets/img/stim/Ann Arbor/aa.p3.x1.JPG,Item6,2,1,p,x,2,1,2,3.2,2.5,2.6,1.833333333,2.6,3.333333333,3.4
1,assets/img/stim/Ann Arbor/aa.s1.a1.JPG,Item7,2,1,s,a,1,1,2.5,2.6,2.166666667,2.6,2,2.2,2,2.4
1,assets/img/stim/Ann Arbor/aa.s2.x1.JPG,Item8,2,1,s,x,2,1,2.333333333,2.4,1.666666667,2,2.166666667,2.4,2.166666667,2.6
1,assets/img/stim/Ann Arbor/aa.s4.a1.JPG,Item9,2,1,s,a,1,1,2.5,2.2,2,3.4,2.5,2.2,2,2.2
1,assets/img/stim/Chelsea/cs.h1.a1.JPG,Item10,1,1,h,a,1,1,2.166666667,1.6,1.666666667,1.8,1.5,1.6,1.5,1.6
1,assets/img/stim/Chelsea/cs.h2.x1.JPG,Item11,1,1,h,x,2,1,2.166666667,2.4,2.166666667,2.4,2.333333333,2.6,2.333333333,2.6
1,assets/img/stim/Chelsea/cs.p1.a1.JPG,Item12,1,1,p,a,1,1,2,2.4,2.5,2.8,2.5,2.4,3,3.6
1,assets/img/stim/Chelsea/cs.s1.x1.JPG,Item13,1,1,s,x,2,1,2.833333333,3.2,1.833333333,3.2,3.166666667,3.4,2,3.8
1,assets/img/stim/Hikone/hk.h1.b1.JPG,Item14,2,2,h,b,1,2,2.333333333,2.6,2.833333333,2.2,2.5,2.8,2.666666667,2.8
1,assets/img/stim/Hikone/hk.h2.y1.JPG,Item15,2,2,h,y,2,2,1.5,1.8,2.333333333,2.2,2.166666667,2.6,2.333333333,2.6
1,assets/img/stim/Hikone/hk.h3.y1.JPG,Item16,2,2,h,y,2,2,2.666666667,3.2,3.833333333,4.4,3.166666667,2.8,4,4
1,assets/img/stim/Hikone/hk.h6.b1.JPG,Item17,2,2,h,b,1,2,1.666666667,1.4,1.333333333,1.6,1.5,1.8,1.5,1.6
1,assets/img/stim/Hikone/hk.p1.y1.JPG,Item18,2,2,p,y,2,2,2.333333333,3,1.666666667,2.8,1.5,1.6,1.5,1.4
1,assets/img/stim/Hikone/hk.p3.x1.JPG,Item19,2,2,p,x,2,1,3,2.4,4.166666667,3,2.5,3.6,2.5,2.8
1,assets/img/stim/Hikone/hk.s1.a1.JPG,Item20,2,2,s,a,1,1,1.333333333,2.4,1.333333333,2.4,1.666666667,2,1.5,2.4
1,assets/img/stim/Hikone/hk.s2.x1.JPG,Item21,2,2,s,x,2,1,2.833333333,2.8,2.833333333,3.4,2.666666667,2.4,3.166666667,3
