name,culture,size,location_type,number
Akita_large_pos_1,2,3,pos,1
Akita_large_pos_2,2,3,pos,2
Akita_large_pos_3,2,3,pos,3
Akita_large_pos_4,2,3,pos,4
Akita_large_pos_5,2,3,pos,5
Akita_large_pos_6,2,3,pos,6
Akita_large_pos_7,2,3,pos,7
Akita_large_pos_8,2,3,pos,8
Akita_large_pos_9,2,3,pos,9
Akita_large_pos_10,2,3,pos,10
Akita_large_pos_11,2,3,pos,11
Akita_large_pos_12,2,3,pos,12
Akita_large_sch_1,2,3,sch,1
Akita_large_sch_2,2,3,sch,2
Akita_large_sch_3,2,3,sch,3
Akita_large_sch_4,2,3,sch,4
Akita_large_sch_5,2,3,sch,5
Akita_large_sch_6,2,3,sch,6
Akita_large_sch_7,2,3,sch,7
Akita_large_sch_8,2,3,sch,8
Akita_large_sch_9,2,3,sch,9
Akita_large_sch_10,2,3,sch,10
Akita_large_sch_11,2,3,sch,11
Akita_large_sch_12,2,3,sch,12
Akita_middle_pos_1,2,2,pos,1
Akita_middle_pos_2,2,2,pos,2
Akita_middle_pos_3,2,2,pos,3
Akita_middle_pos_4,2,2,pos,4
Akita_middle_pos_5,2,2,pos,5
Akita_middle_pos_6,2,2,pos,6
Akita_middle_pos_7,2,2,pos,7
Akita_middle_pos_8,2,2,pos,8
Akita_middle_sch_1,2,2,sch,1
Akita_middle_sch_2,2,2,sch,2
Akita_middle_sch_3,2,2,sch,3
Akita_middle_sch_4,2,2,sch,4
Akita_middle_sch_5,2,2,sch,5
Akita_middle_sch_6,2,2,sch,6
Akita_middle_sch_7,2,2,sch,7
Akita_middle_sch_8,2,2,sch,8
Akita_small_pos_1,2,1,pos,1
Akita_small_pos_2,2,1,pos,2
Akita_small_pos_3,2,1,pos,3
Akita_small_pos_4,2,1,pos,4
Akita_small_sch_1,2,1,sch,1
Akita_small_sch_2,2,1,sch,2
Akita_small_sch_3,2,1,sch,3
Akita_small_sch_4,2,1,sch,4
Hokkaido_large_pos_1,1,3,pos,1
Hokkaido_large_pos_2,1,3,pos,2
Hokkaido_large_pos_3,1,3,pos,3
Hokkaido_large_pos_4,1,3,pos,4
Hokkaido_large_pos_5,1,3,pos,5
Hokkaido_large_pos_6,1,3,pos,6
Hokkaido_large_pos_7,1,3,pos,7
Hokkaido_large_pos_8,1,3,pos,8
Hokkaido_large_pos_9,1,3,pos,9
Hokkaido_large_pos_10,1,3,pos,10
Hokkaido_large_pos_11,1,3,pos,11
Hokkaido_large_pos_12,1,3,pos,12
Hokkaido_large_sch_1,1,3,sch,1
Hokkaido_large_sch_2,1,3,sch,2
Hokkaido_large_sch_3,1,3,sch,3
Hokkaido_large_sch_4,1,3,sch,4
Hokkaido_large_sch_5,1,3,sch,5
Hokkaido_large_sch_6,1,3,sch,6
Hokkaido_large_sch_7,1,3,sch,7
Hokkaido_large_sch_8,1,3,sch,8
Hokkaido_large_sch_9,1,3,sch,9
Hokkaido_large_sch_10,1,3,sch,10
Hokkaido_large_sch_11,1,3,sch,11
Hokkaido_large_sch_12,1,3,sch,12
Hokkaido_middle_pos_1,1,2,pos,1
Hokkaido_middle_pos_2,1,2,pos,2
Hokkaido_middle_pos_3,1,2,pos,3
Hokkaido_middle_pos_4,1,2,pos,4
Hokkaido_middle_pos_5,1,2,pos,5
Hokkaido_middle_pos_6,1,2,pos,6
Hokkaido_middle_pos_7,1,2,pos,7
Hokkaido_middle_pos_8,1,2,pos,8
Hokkaido_middle_sch_1,1,2,sch,1
Hokkaido_middle_sch_2,1,2,sch,2
Hokkaido_middle_sch_3,1,2,sch,3
Hokkaido_middle_sch_4,1,2,sch,4
Hokkaido_middle_sch_5,1,2,sch,5
Hokkaido_middle_sch_6,1,2,sch,6
Hokkaido_middle_sch_7,1,2,sch,7
Hokkaido_middle_sch_8,1,2,sch,8
Hokkaido_small_pos_1,1,1,pos,1
Hokkaido_small_pos_2,1,1,pos,2
Hokkaido_small_pos_3,1,1,pos,3
Hokkaido_small_pos_4,1,1,pos,4
Hokkaido_small_sch_1,1,1,sch,1
Hokkaido_small_sch_2,1,1,sch,2
Hokkaido_small_sch_3,1,1,sch,3
Hokkaido_small_sch_4,1,1,sch,4
Ishikawa_large_pos_1,2,3,pos,1
Ishikawa_large_pos_2,2,3,pos,2
Ishikawa_large_pos_3,2,3,pos,3
Ishikawa_large_pos_4,2,3,pos,4
Ishikawa_large_pos_5,2,3,pos,5
Ishikawa_large_pos_6,2,3,pos,6
Ishikawa_large_pos_7,2,3,pos,7
Ishikawa_large_pos_8,2,3,pos,8
Ishikawa_large_pos_9,2,3,pos,9
Ishikawa_large_pos_10,2,3,pos,10
Ishikawa_large_pos_11,2,3,pos,11
Ishikawa_large_pos_12,2,3,pos,12
Ishikawa_large_sch_a1,2,3,sch,a1
Ishikawa_large_sch_a2,2,3,sch,a2
