City,State_Province,Country,Group_ID,city_order,Cluster,Image,Result,Reason for 2 or 3
Hiroshima,Japan,Japan,7,2,1,1,1 good,
Hiroshima,Japan,Japan,7,2,1,2,2 need discuss,small
Hiroshima,Japan,Japan,7,2,1,3,1 good,
Hiroshima,Japan,Japan,7,2,1,4,1 good,
Hiroshima,Japan,Japan,7,2,1,5,2 need discuss,small
Hiroshima,Japan,Japan,7,2,1,6,1 good,
Hiroshima,Japan,Japan,7,2,1,7,2 need discuss,blurry image
Hiroshima,Japan,Japan,7,2,1,8,1 good,
Hiroshima,Japan,Japan,7,2,2,1,1 good,
Hiroshima,Japan,Japan,7,2,2,2,1 good,
Hiroshima,Japan,Japan,7,2,2,3,1 good,
Hiroshima,Japan,Japan,7,2,2,4,1 good,
Hiroshima,Japan,Japan,7,2,2,5,1 good,
Hiroshima,Japan,Japan,7,2,2,6,1 good,
Hiroshima,Japan,Japan,7,2,2,7,1 good,
Hiroshima,Japan,Japan,7,2,2,8,1 good,
Hiroshima,Japan,Japan,7,2,3,1,1 good,
Hiroshima,Japan,Japan,7,2,3,2,1 good,
Hiroshima,Japan,Japan,7,2,3,3,1 good,
Hiroshima,Japan,Japan,7,2,3,4,1 good,
Hiroshima,Japan,Japan,7,2,3,5,1 good,
Hiroshima,Japan,Japan,7,2,3,6,1 good,
Hiroshima,Japan,Japan,7,2,3,7,1 good,
Hiroshima,Japan,Japan,7,2,3,8,1 good,
Hiroshima,Japan,Japan,7,2,4,1,1 good,
Hiroshima,Japan,Japan,7,2,4,2,1 good,
Hiroshima,Japan,Japan,7,2,4,3,1 good,
Hiroshima,Japan,Japan,7,2,4,4,1 good,
Hiroshima,Japan,Japan,7,2,4,5,1 good,
Hiroshima,Japan,Japan,7,2,4,6,1 good,
Hiroshima,Japan,Japan,7,2,4,7,1 good,
Hiroshima,Japan,Japan,7,2,4,8,1 good,
Hiroshima,Japan,Japan,7,2,5,1,1 good,
Hiroshima,Japan,Japan,7,2,5,2,2 need discuss,wall & fence
Hiroshima,Japan,Japan,7,2,5,3,1 good,
Hiroshima,Japan,Japan,7,2,5,4,1 good,
Hiroshima,Japan,Japan,7,2,5,5,2 need discuss,wall & fence
Hiroshima,Japan,Japan,7,2,5,6,1 good,
Hiroshima,Japan,Japan,7,2,5,7,1 good,
Hiroshima,Japan,Japan,7,2,5,8,1 good,
Hiroshima,Japan,Japan,7,2,6,1,1 good,
Hiroshima,Japan,Japan,7,2,6,2,1 good,
Hiroshima,Japan,Japan,7,2,6,3,1 good,
Hiroshima,Japan,Japan,7,2,6,4,1 good,
Hiroshima,Japan,Japan,7,2,6,5,1 good,
Hiroshima,Japan,Japan,7,2,6,6,1 good,
Hiroshima,Japan,Japan,7,2,6,7,1 good,
Hiroshima,Japan,Japan,7,2,6,8,2 need discuss,cars on the road
Hiroshima,Japan,Japan,7,2,7,1,1 good,
Hiroshima,Japan,Japan,7,2,7,2,1 good,
Hiroshima,Japan,Japan,7,2,7,3,1 good,
Hiroshima,Japan,Japan,7,2,7,4,1 good,
Hiroshima,Japan,Japan,7,2,7,5,1 good,
Hiroshima,Japan,Japan,7,2,7,6,1 good,
Hiroshima,Japan,Japan,7,2,7,7,1 good,
Hiroshima,Japan,Japan,7,2,7,8,1 good,
Hiroshima,Japan,Japan,7,2,8,1,1 good,
Hiroshima,Japan,Japan,7,2,8,2,1 good,
