"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","55ced0d234e9060012e5677c","svTrial","survey",8,124743,"0.0-2.0-6.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"30582","Kanagawa_large_pos_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,1,4,3,3,2,3,1,"84065","41","female","woman","","caucasian","","No","",""
"2","55ced0d234e9060012e5677c","svTrial","survey",9,146340,"0.0-2.0-7.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"21568","Ishikawa_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,2,4,4,3,2,2,1,"84065","41","female","woman","","caucasian","","No","",""
"3","55ced0d234e9060012e5677c","svTrial","survey",10,169124,"0.0-2.0-8.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"22761","Toyama_large_sch_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",7,3,2,2,2,1,1,1,"84065","41","female","woman","","caucasian","","No","",""
"4","55ced0d234e9060012e5677c","svTrial","survey",11,188634,"0.0-2.0-9.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"19487","Ishikawa_small_pos_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",2,4,3,3,2,3,3,1,"84065","41","female","woman","","caucasian","","No","",""
"5","55ced0d234e9060012e5677c","svTrial","survey",12,212365,"0.0-2.0-10.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"23711","Okinawa_middle_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,5,4,4,3,3,4,1,"84065","41","female","woman","","caucasian","","No","",""
"6","55ced0d234e9060012e5677c","svTrial","survey",13,231489,"0.0-2.0-11.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"19106","Tokyo_middle_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,6,4,4,3,3,3,1,"84065","41","female","woman","","caucasian","","No","",""
"7","55ced0d234e9060012e5677c","svTrial","survey",14,253313,"0.0-2.0-12.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"21803","Ishikawa_middle_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",7,7,2,2,3,2,2,1,"84065","41","female","woman","","caucasian","","No","",""
"8","55ced0d234e9060012e5677c","svTrial","survey",15,280077,"0.0-2.0-13.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"26748","Hokkaido_large_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,8,4,4,3,3,3,1,"84065","41","female","woman","","caucasian","","No","",""
"9","55ced0d234e9060012e5677c","svTrial","survey",16,298614,"0.0-2.0-14.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"18517","Hokkaido_large_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",7,9,4,2,3,2,2,1,"84065","41","female","woman","","caucasian","","No","",""
"10","55ced0d234e9060012e5677c","svTrial","survey",17,319458,"0.0-2.0-15.0","65553732575bb29198a888d7","6556545caa188e816c973df4",7,"20822","Akita_small_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",3,10,2,3,3,2,2,1,"84065","41","female","woman","","caucasian","","No","",""
