"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","57210674951c9b0011d3eaaa","svTrial","survey",8,959690,"0.0-2.0-6.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"39937","Niigata_large_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",3,1,4,NA,3,2,3,1,"60162","59","male","man","","african","","No","",""
"2","57210674951c9b0011d3eaaa","svTrial","survey",9,1030716,"0.0-2.0-7.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"71007","Tokyo_middle_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",5,2,1,4,2,2,1,1,"60162","59","male","man","","african","","No","",""
"3","57210674951c9b0011d3eaaa","svTrial","survey",10,1046904,"0.0-2.0-8.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"16154","Niigata_small_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,3,1,1,2,1,1,1,"60162","59","male","man","","african","","No","",""
"4","57210674951c9b0011d3eaaa","svTrial","survey",11,1067784,"0.0-2.0-9.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"20865","Okinawa_middle_pos_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",4,4,1,5,2,1,1,1,"60162","59","male","man","","african","","No","",""
"5","57210674951c9b0011d3eaaa","svTrial","survey",12,1090936,"0.0-2.0-10.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"23138","Niigata_middle_pos_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,5,5,5,2,4,4,1,"60162","59","male","man","","african","","No","",""
"6","57210674951c9b0011d3eaaa","svTrial","survey",13,1127087,"0.0-2.0-11.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"36137","Toyama_large_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",8,6,1,4,2,5,4,1,"60162","59","male","man","","african","","No","",""
"7","57210674951c9b0011d3eaaa","svTrial","survey",14,1151926,"0.0-2.0-12.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"24830","Kanagawa_large_pos_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",7,7,5,4,4,5,4,1,"60162","59","male","man","","african","","No","",""
"8","57210674951c9b0011d3eaaa","svTrial","survey",15,1178859,"0.0-2.0-13.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"26922","Okinawa_large_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,8,5,5,4,5,4,1,"60162","59","male","man","","african","","No","",""
"9","57210674951c9b0011d3eaaa","svTrial","survey",16,1190741,"0.0-2.0-14.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"11868","Hokkaido_middle_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,9,1,1,1,1,1,1,"60162","59","male","man","","african","","No","",""
"10","57210674951c9b0011d3eaaa","svTrial","survey",17,1217743,"0.0-2.0-15.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"26985","Hokkaido_middle_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,10,4,1,3,1,4,1,"60162","59","male","man","","african","","No","",""
"11","57210674951c9b0011d3eaaa","svTrial","survey",18,1237031,"0.0-2.0-16.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"19276","Akita_large_pos_9_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",9,11,5,5,4,4,4,1,"60162","59","male","man","","african","","No","",""
"12","57210674951c9b0011d3eaaa","svTrial","survey",19,1252528,"0.0-2.0-17.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"15486","Niigata_middle_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,12,1,1,1,1,1,1,"60162","59","male","man","","african","","No","",""
"13","57210674951c9b0011d3eaaa","svTrial","survey",20,1275806,"0.0-2.0-18.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"23268","Akita_middle_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,13,1,1,1,1,2,1,"60162","59","male","man","","african","","No","",""
"14","57210674951c9b0011d3eaaa","svTrial","survey",21,1293774,"0.0-2.0-19.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"17956","Akita_large_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,14,5,4,3,5,4,1,"60162","59","male","man","","african","","No","",""
"15","57210674951c9b0011d3eaaa","svTrial","survey",22,1307454,"0.0-2.0-20.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"13668","Toyama_small_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,15,5,5,4,4,5,1,"60162","59","male","man","","african","","No","",""
"16","57210674951c9b0011d3eaaa","svTrial","survey",23,1327879,"0.0-2.0-21.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"20412","Toyama_large_pos_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",12,16,1,4,3,1,1,1,"60162","59","male","man","","african","","No","",""
"17","57210674951c9b0011d3eaaa","svTrial","survey",24,1348111,"0.0-2.0-22.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"20222","Akita_large_sch_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,17,5,4,4,5,4,1,"60162","59","male","man","","african","","No","",""
"18","57210674951c9b0011d3eaaa","svTrial","survey",25,1361327,"0.0-2.0-23.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"13205","Okinawa_large_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,18,5,4,4,4,4,1,"60162","59","male","man","","african","","No","",""
"19","57210674951c9b0011d3eaaa","svTrial","survey",26,1388302,"0.0-2.0-24.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"26963","Kanagawa_middle_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,19,5,3,3,3,3,1,"60162","59","male","man","","african","","No","",""
"20","57210674951c9b0011d3eaaa","svTrial","survey",27,1403335,"0.0-2.0-25.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"15022","Toyama_large_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",5,20,5,4,3,4,4,1,"60162","59","male","man","","african","","No","",""
"21","57210674951c9b0011d3eaaa","svTrial","survey",28,1421630,"0.0-2.0-26.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"18284","Tokyo_small_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",4,21,NA,2,2,1,1,1,"60162","59","male","man","","african","","No","",""
"22","57210674951c9b0011d3eaaa","svTrial","survey",29,1436478,"0.0-2.0-27.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"14836","Ishikawa_large_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",6,22,5,3,2,3,3,1,"60162","59","male","man","","african","","No","",""
"23","57210674951c9b0011d3eaaa","svTrial","survey",30,1455085,"0.0-2.0-28.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"18597","Ishikawa_large_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,23,3,3,2,3,2,1,"60162","59","male","man","","african","","No","",""
"24","57210674951c9b0011d3eaaa","svTrial","survey",31,1473599,"0.0-2.0-29.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"18503","Hokkaido_large_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,24,3,4,3,3,3,1,"60162","59","male","man","","african","","No","",""
"25","57210674951c9b0011d3eaaa","svTrial","survey",33,1514621,"0.0-2.0-31.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"25231","Hokkaido_middle_sch_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,25,4,4,2,3,2,1,"60162","59","male","man","","african","","No","",""
"26","57210674951c9b0011d3eaaa","svTrial","survey",34,1530182,"0.0-2.0-32.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"15548","Ishikawa_large_pos_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,26,4,3,3,3,3,1,"60162","59","male","man","","african","","No","",""
"27","57210674951c9b0011d3eaaa","svTrial","survey",35,1549998,"0.0-2.0-33.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"19806","Toyama_middle_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,27,4,3,3,3,3,1,"60162","59","male","man","","african","","No","",""
"28","57210674951c9b0011d3eaaa","svTrial","survey",36,1565773,"0.0-2.0-34.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"15763","Hokkaido_large_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",3,28,3,2,2,2,3,1,"60162","59","male","man","","african","","No","",""
"29","57210674951c9b0011d3eaaa","svTrial","survey",37,1578959,"0.0-2.0-35.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"13175","Kanagawa_large_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,29,3,3,3,2,3,1,"60162","59","male","man","","african","","No","",""
"30","57210674951c9b0011d3eaaa","svTrial","survey",38,1594557,"0.0-2.0-36.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"15589","Niigata_large_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",4,30,5,3,3,3,3,1,"60162","59","male","man","","african","","No","",""
"31","57210674951c9b0011d3eaaa","svTrial","survey",39,1615165,"0.0-2.0-37.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"20597","Kanagawa_middle_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,31,4,3,3,3,4,1,"60162","59","male","man","","african","","No","",""
"32","57210674951c9b0011d3eaaa","svTrial","survey",41,1683712,"0.0-2.0-39.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"53716","Hokkaido_large_sch_11_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",11,32,4,3,2,3,4,1,"60162","59","male","man","","african","","No","",""
"33","57210674951c9b0011d3eaaa","svTrial","survey",42,1699005,"0.0-2.0-40.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"15282","Kanagawa_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",1,33,3,4,4,3,3,1,"60162","59","male","man","","african","","No","",""
"34","57210674951c9b0011d3eaaa","svTrial","survey",43,1722317,"0.0-2.0-41.0","65553732575bb29198a888d7","65565ba1233bdf494f84975b",3,"23300","Kanagawa_middle_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",2,34,5,4,3,3,3,1,"60162","59","male","man","","african","","No","",""
