"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","580a34af5773b50001aab166","svTrial","survey",8,2125375,"0.0-2.0-6.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"21486","Niigata_middle_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,1,5,4,4,4,4,1,"82721","55","female","woman","","caucasian","","No","",""
"2","580a34af5773b50001aab166","svTrial","survey",9,2144298,"0.0-2.0-7.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"18906","Hokkaido_large_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",3,2,4,1,1,3,1,1,"82721","55","female","woman","","caucasian","","No","",""
"3","580a34af5773b50001aab166","svTrial","survey",10,2162301,"0.0-2.0-8.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"17991","Niigata_middle_pos_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,3,4,4,4,3,3,1,"82721","55","female","woman","","caucasian","","No","",""
"4","580a34af5773b50001aab166","svTrial","survey",11,2177316,"0.0-2.0-9.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"14999","Akita_large_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,4,5,5,5,4,5,1,"82721","55","female","woman","","caucasian","","No","",""
"5","580a34af5773b50001aab166","svTrial","survey",12,2191007,"0.0-2.0-10.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"13677","Hokkaido_middle_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,5,4,3,4,4,4,1,"82721","55","female","woman","","caucasian","","No","",""
"6","580a34af5773b50001aab166","svTrial","survey",13,2204877,"0.0-2.0-11.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"13857","Okinawa_middle_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",6,6,4,4,4,4,4,1,"82721","55","female","woman","","caucasian","","No","",""
"7","580a34af5773b50001aab166","svTrial","survey",14,2218003,"0.0-2.0-12.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"13113","Tokyo_small_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,7,4,4,4,3,2,1,"82721","55","female","woman","","caucasian","","No","",""
"8","580a34af5773b50001aab166","svTrial","survey",15,2229574,"0.0-2.0-13.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"11559","Ishikawa_large_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",5,8,4,5,4,4,3,1,"82721","55","female","woman","","caucasian","","No","",""
"9","580a34af5773b50001aab166","svTrial","survey",16,2241292,"0.0-2.0-14.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"11703","Hokkaido_large_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",4,9,4,5,4,4,4,1,"82721","55","female","woman","","caucasian","","No","",""
"10","580a34af5773b50001aab166","svTrial","survey",17,2256994,"0.0-2.0-15.0","65553732575bb29198a888d7","65565af757a89cdab7efbf25",3,"15688","Hokkaido_middle_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,10,2,3,2,2,3,1,"82721","55","female","woman","","caucasian","","No","",""
