"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","59048309c4ef1300011b1085","svTrial","survey",8,82421,"0.0-2.0-6.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"21356","Toyama_small_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",1,1,1,2,2,1,2,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
"2","59048309c4ef1300011b1085","svTrial","survey",9,96855,"0.0-2.0-7.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"14409","Kanagawa_large_sch_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,2,2,3,1,1,2,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
"3","59048309c4ef1300011b1085","svTrial","survey",10,115899,"0.0-2.0-8.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"19024","Tokyo_large_pos_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",7,3,2,1,2,1,1,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
"4","59048309c4ef1300011b1085","svTrial","survey",11,134244,"0.0-2.0-9.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"18327","Toyama_large_pos_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",8,4,1,3,1,1,1,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
"5","59048309c4ef1300011b1085","svTrial","survey",12,151356,"0.0-2.0-10.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"17091","Akita_large_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",5,5,2,2,1,1,1,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
"6","59048309c4ef1300011b1085","svTrial","survey",13,164651,"0.0-2.0-11.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"13278","Niigata_large_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,6,1,2,2,1,1,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
"7","59048309c4ef1300011b1085","svTrial","survey",14,174346,"0.0-2.0-12.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"9677","Akita_large_pos_11_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",11,7,1,1,1,1,1,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
"8","59048309c4ef1300011b1085","svTrial","survey",15,188098,"0.0-2.0-13.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"13736","Ishikawa_small_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",1,8,1,1,1,1,1,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
"9","59048309c4ef1300011b1085","svTrial","survey",16,200997,"0.0-2.0-14.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"12881","Okinawa_large_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",4,9,3,3,2,2,2,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
"10","59048309c4ef1300011b1085","svTrial","survey",17,214411,"0.0-2.0-15.0","65553732575bb29198a888d7","65566dcaf7f76ced5af00ad5",5,"13398","Akita_large_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",1,10,2,2,1,1,2,1,"55705","42","female","woman","","caucasian","","No","n/a","trial #28 had no image that loaded so I chose #3 for all of the answers. all of the other images loaded correctly. "
