"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","59b2d1e1773f41000148789e","svTrial","survey",8,45103,"0.0-2.0-6.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"19818","Niigata_middle_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,1,5,5,5,3,4,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"2","59b2d1e1773f41000148789e","svTrial","survey",9,69436,"0.0-2.0-7.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"24325","Okinawa_middle_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,2,4,4,5,3,4,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"3","59b2d1e1773f41000148789e","svTrial","survey",10,89664,"0.0-2.0-8.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"20219","Ishikawa_small_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,3,4,4,5,4,4,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"4","59b2d1e1773f41000148789e","svTrial","survey",11,104550,"0.0-2.0-9.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"14877","Hokkaido_middle_sch_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,4,1,2,2,1,2,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"5","59b2d1e1773f41000148789e","svTrial","survey",12,114761,"0.0-2.0-10.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"10203","Kanagawa_large_pos_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,5,4,5,NA,4,4,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"6","59b2d1e1773f41000148789e","svTrial","survey",13,129734,"0.0-2.0-11.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"14967","Kanagawa_middle_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,6,3,3,4,3,3,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"7","59b2d1e1773f41000148789e","svTrial","survey",14,144861,"0.0-2.0-12.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"15121","Kanagawa_large_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",1,7,3,3,2,2,3,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"8","59b2d1e1773f41000148789e","svTrial","survey",15,156583,"0.0-2.0-13.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"11717","Akita_small_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",3,8,1,1,2,1,NA,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"9","59b2d1e1773f41000148789e","svTrial","survey",16,166677,"0.0-2.0-14.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"10087","Hokkaido_large_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",8,9,1,1,1,1,1,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"10","59b2d1e1773f41000148789e","svTrial","survey",17,174127,"0.0-2.0-15.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"7444","Akita_small_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,10,4,4,5,4,4,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"11","59b2d1e1773f41000148789e","svTrial","survey",18,189934,"0.0-2.0-16.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"15799","Tokyo_middle_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,11,2,3,3,3,3,1,"45202","38","female","woman","","caucasian","","Yes","2",""
"12","59b2d1e1773f41000148789e","svTrial","survey",19,199262,"0.0-2.0-17.0","65553732575bb29198a888d7","655656d3c0533e422e3f6dca",7,"9322","Ishikawa_large_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",7,12,2,2,4,3,2,1,"45202","38","female","woman","","caucasian","","Yes","2",""
