"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5a6b998a3fb6420001c2f97a","svTrial","survey",8,138920,"0.0-2.0-6.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"53910","Akita_middle_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",4,1,4,3,2,4,3,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"2","5a6b998a3fb6420001c2f97a","svTrial","survey",9,183079,"0.0-2.0-7.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"44141","Kanagawa_middle_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,2,3,2,1,2,2,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"3","5a6b998a3fb6420001c2f97a","svTrial","survey",10,219137,"0.0-2.0-8.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"36045","Ishikawa_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,3,2,2,2,1,2,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"4","5a6b998a3fb6420001c2f97a","svTrial","survey",11,243302,"0.0-2.0-9.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"24153","Kanagawa_large_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",1,4,1,1,1,2,1,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"5","5a6b998a3fb6420001c2f97a","svTrial","survey",12,277778,"0.0-2.0-10.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"34463","Tokyo_large_pos_10_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",10,5,4,2,4,5,4,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"6","5a6b998a3fb6420001c2f97a","svTrial","survey",13,300450,"0.0-2.0-11.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"22660","Tokyo_middle_pos_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,6,4,3,4,3,3,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"7","5a6b998a3fb6420001c2f97a","svTrial","survey",14,342223,"0.0-2.0-12.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"41762","Hokkaido_middle_pos_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,7,2,2,1,2,1,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"8","5a6b998a3fb6420001c2f97a","svTrial","survey",15,362748,"0.0-2.0-13.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"20514","Niigata_small_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",2,8,1,1,1,1,1,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"9","5a6b998a3fb6420001c2f97a","svTrial","survey",16,376668,"0.0-2.0-14.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"13910","Niigata_large_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,9,1,1,1,1,1,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"10","5a6b998a3fb6420001c2f97a","svTrial","survey",17,419338,"0.0-2.0-15.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"42660","Hokkaido_small_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",1,10,5,3,4,5,4,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
"11","5a6b998a3fb6420001c2f97a","svTrial","survey",18,511345,"0.0-2.0-16.0","65553732575bb29198a888d7","65565c5caa188e816c973eda",7,"91994","Hokkaido_large_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",7,11,4,3,4,3,3,1,"64119","38","male","man","","prefer-not-to-say","","No","",""
