"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5c1bc0ab84ff14000184c2ce","svTrial","survey",8,585425,"0.0-2.0-6.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"30459","Hokkaido_middle_sch_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,1,2,1,4,2,2,1,"78214","39","male","man","","latino","","No","",""
"2","5c1bc0ab84ff14000184c2ce","svTrial","survey",9,610789,"0.0-2.0-7.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"25351","Kanagawa_large_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",1,2,4,3,4,3,3,1,"78214","39","male","man","","latino","","No","",""
"3","5c1bc0ab84ff14000184c2ce","svTrial","survey",10,653566,"0.0-2.0-8.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"42763","Akita_small_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",3,3,4,4,4,4,3,1,"78214","39","male","man","","latino","","No","",""
"4","5c1bc0ab84ff14000184c2ce","svTrial","survey",11,923411,"0.0-2.0-9.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"269834","Okinawa_middle_pos_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",5,4,5,4,5,4,4,1,"78214","39","male","man","","latino","","No","",""
"5","5c1bc0ab84ff14000184c2ce","svTrial","survey",12,962929,"0.0-2.0-10.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"39510","Tokyo_middle_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,5,4,NA,4,4,3,1,"78214","39","male","man","","latino","","No","",""
"6","5c1bc0ab84ff14000184c2ce","svTrial","survey",13,991200,"0.0-2.0-11.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"28263","Ishikawa_large_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",7,6,3,2,2,2,2,1,"78214","39","male","man","","latino","","No","",""
"7","5c1bc0ab84ff14000184c2ce","svTrial","survey",14,1089457,"0.0-2.0-12.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"98249","Tokyo_large_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,7,4,3,3,3,3,1,"78214","39","male","man","","latino","","No","",""
"8","5c1bc0ab84ff14000184c2ce","svTrial","survey",15,1189131,"0.0-2.0-13.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"99665","Hokkaido_small_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,8,2,2,2,2,2,1,"78214","39","male","man","","latino","","No","",""
"9","5c1bc0ab84ff14000184c2ce","svTrial","survey",16,1199260,"0.0-2.0-14.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"10121","Niigata_small_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",2,9,NA,1,1,1,1,1,"78214","39","male","man","","latino","","No","",""
"10","5c1bc0ab84ff14000184c2ce","svTrial","survey",17,1211337,"0.0-2.0-15.0","65553732575bb29198a888d7","65565aebd1570099995f3103",7,"12066","Niigata_middle_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,10,4,2,2,2,2,1,"78214","39","male","man","","latino","","No","",""
