"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5c3820ee1ede2b0001155929","svTrial","survey",8,405545,"0.0-2.0-6.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"130484","Akita_large_pos_9_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",9,1,2,5,3,4,2,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
"2","5c3820ee1ede2b0001155929","svTrial","survey",9,420535,"0.0-2.0-7.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"14953","Okinawa_middle_pos_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",6,2,5,3,5,5,5,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
"3","5c3820ee1ede2b0001155929","svTrial","survey",10,431895,"0.0-2.0-8.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"11328","Okinawa_large_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,3,5,1,5,5,4,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
"4","5c3820ee1ede2b0001155929","svTrial","survey",11,504247,"0.0-2.0-9.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"72321","Toyama_small_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,4,5,5,4,4,3,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
"5","5c3820ee1ede2b0001155929","svTrial","survey",12,583268,"0.0-2.0-10.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"78994","Niigata_large_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",4,5,4,3,3,3,3,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
"6","5c3820ee1ede2b0001155929","svTrial","survey",13,594718,"0.0-2.0-11.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"11414","Kanagawa_large_sch_11_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",11,6,5,2,3,3,3,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
"7","5c3820ee1ede2b0001155929","svTrial","survey",14,625325,"0.0-2.0-12.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"30578","Hokkaido_middle_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,7,2,2,2,1,1,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
"8","5c3820ee1ede2b0001155929","svTrial","survey",15,640257,"0.0-2.0-13.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"14907","Ishikawa_middle_pos_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",6,8,3,3,3,2,2,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
"9","5c3820ee1ede2b0001155929","svTrial","survey",16,747131,"0.0-2.0-14.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"106850","Kanagawa_middle_pos_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,9,2,2,2,2,2,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
"10","5c3820ee1ede2b0001155929","svTrial","survey",17,764851,"0.0-2.0-15.0","65553732575bb29198a888d7","65565b8ec02ad6061e3f6e29",3,"17695","Okinawa_middle_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",4,10,2,2,3,3,3,1,"45750","31","female","woman","","caucasian","","No","","It was great! "
