"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5cf5134c8f8ff80019e76721","svTrial","survey",9,201984,"0.0-2.0-7.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"25077","Kanagawa_middle_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,1,4,4,5,3,3,1,"","","man","","caucasian","","No","",""
"2","5cf5134c8f8ff80019e76721","svTrial","survey",10,224894,"0.0-2.0-8.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"22895","Kanagawa_large_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,2,1,2,2,1,1,1,"","","man","","caucasian","","No","",""
"3","5cf5134c8f8ff80019e76721","svTrial","survey",11,242667,"0.0-2.0-9.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"17755","Toyama_middle_pos_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,3,3,4,3,2,2,1,"","","man","","caucasian","","No","",""
"4","5cf5134c8f8ff80019e76721","svTrial","survey",12,260219,"0.0-2.0-10.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"17542","Tokyo_large_pos_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,4,1,1,1,1,1,1,"","","man","","caucasian","","No","",""
"5","5cf5134c8f8ff80019e76721","svTrial","survey",13,280538,"0.0-2.0-11.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"20303","Tokyo_middle_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",8,5,3,3,4,2,3,1,"","","man","","caucasian","","No","",""
"6","5cf5134c8f8ff80019e76721","svTrial","survey",14,300584,"0.0-2.0-12.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"20033","Okinawa_large_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,6,3,1,3,2,1,1,"","","man","","caucasian","","No","",""
"7","5cf5134c8f8ff80019e76721","svTrial","survey",15,316238,"0.0-2.0-13.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"15641","Ishikawa_large_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,7,5,4,5,3,3,1,"","","man","","caucasian","","No","",""
"8","5cf5134c8f8ff80019e76721","svTrial","survey",16,332767,"0.0-2.0-14.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"16518","Toyama_small_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,8,3,3,4,3,3,1,"","","man","","caucasian","","No","",""
"9","5cf5134c8f8ff80019e76721","svTrial","survey",17,347794,"0.0-2.0-15.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"15017","Toyama_middle_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",2,9,3,3,3,3,2,1,"","","man","","caucasian","","No","",""
"10","5cf5134c8f8ff80019e76721","svTrial","survey",18,362205,"0.0-2.0-16.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"14401","Toyama_small_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,10,2,2,2,2,2,1,"","","man","","caucasian","","No","",""
"11","5cf5134c8f8ff80019e76721","svTrial","survey",19,376881,"0.0-2.0-17.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"14667","Hokkaido_middle_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",3,11,5,4,5,3,3,1,"","","man","","caucasian","","No","",""
"12","5cf5134c8f8ff80019e76721","svTrial","survey",20,385764,"0.0-2.0-18.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"8874","Kanagawa_small_pos_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,12,5,5,5,4,4,1,"","","man","","caucasian","","No","",""
