"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5d380f164803980016b2210d","svTrial","survey",8,1421289,"0.0-2.0-6.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"26469","Tokyo_large_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,1,3,3,5,5,5,1,"75040","25","female","woman","","african","","No","",""
"2","5d380f164803980016b2210d","svTrial","survey",9,1536841,"0.0-2.0-7.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"115391","Toyama_middle_sch_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",6,2,3,2,1,3,2,1,"75040","25","female","woman","","african","","No","",""
"3","5d380f164803980016b2210d","svTrial","survey",10,1766063,"0.0-2.0-8.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"229118","Niigata_middle_sch_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,3,1,3,2,2,4,1,"75040","25","female","woman","","african","","No","",""
"4","5d380f164803980016b2210d","svTrial","survey",11,1970561,"0.0-2.0-9.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"204414","Niigata_small_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",3,4,2,2,3,2,3,1,"75040","25","female","woman","","african","","No","",""
"5","5d380f164803980016b2210d","svTrial","survey",12,1992416,"0.0-2.0-10.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"21729","Okinawa_small_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",2,5,3,3,4,4,5,1,"75040","25","female","woman","","african","","No","",""
"6","5d380f164803980016b2210d","svTrial","survey",13,2063646,"0.0-2.0-11.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"71151","Toyama_large_sch_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",6,6,3,4,1,3,3,1,"75040","25","female","woman","","african","","No","",""
"7","5d380f164803980016b2210d","svTrial","survey",14,2126127,"0.0-2.0-12.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"62406","Okinawa_middle_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",5,7,1,2,1,1,1,1,"75040","25","female","woman","","african","","No","",""
"8","5d380f164803980016b2210d","svTrial","survey",15,2376800,"0.0-2.0-13.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"250602","Okinawa_large_pos_11_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",11,8,2,1,3,2,3,1,"75040","25","female","woman","","african","","No","",""
"9","5d380f164803980016b2210d","svTrial","survey",16,2395197,"0.0-2.0-14.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"18321","Toyama_middle_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,9,1,2,1,2,1,1,"75040","25","female","woman","","african","","No","",""
"10","5d380f164803980016b2210d","svTrial","survey",17,2601006,"0.0-2.0-15.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"205731","Niigata_middle_pos_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,10,1,2,1,1,1,1,"75040","25","female","woman","","african","","No","",""
"11","5d380f164803980016b2210d","svTrial","survey",18,2612170,"0.0-2.0-16.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"11082","Ishikawa_large_pos_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",12,11,1,2,1,1,2,1,"75040","25","female","woman","","african","","No","",""
"12","5d380f164803980016b2210d","svTrial","survey",19,2667615,"0.0-2.0-17.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"55375","Okinawa_large_sch_10_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",10,12,2,2,2,1,1,1,"75040","25","female","woman","","african","","No","",""
"13","5d380f164803980016b2210d","svTrial","survey",20,2738692,"0.0-2.0-18.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"70992","Tokyo_large_sch_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",5,13,3,3,4,3,4,1,"75040","25","female","woman","","african","","No","",""
"14","5d380f164803980016b2210d","svTrial","survey",21,2756547,"0.0-2.0-19.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"17759","Ishikawa_middle_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",4,14,1,1,1,1,1,1,"75040","25","female","woman","","african","","No","",""
"15","5d380f164803980016b2210d","svTrial","survey",22,2771371,"0.0-2.0-20.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"14746","Akita_middle_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,15,3,4,3,3,4,1,"75040","25","female","woman","","african","","No","",""
"16","5d380f164803980016b2210d","svTrial","survey",23,2820186,"0.0-2.0-21.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"48733","Kanagawa_large_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,16,3,3,4,4,5,1,"75040","25","female","woman","","african","","No","",""
"17","5d380f164803980016b2210d","svTrial","survey",24,2899477,"0.0-2.0-22.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"79220","Tokyo_middle_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,17,3,3,5,3,4,1,"75040","25","female","woman","","african","","No","",""
"18","5d380f164803980016b2210d","svTrial","survey",25,2916248,"0.0-2.0-23.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"16690","Okinawa_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,18,2,3,2,2,2,1,"75040","25","female","woman","","african","","No","",""
"19","5d380f164803980016b2210d","svTrial","survey",26,2932608,"0.0-2.0-24.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"16290","Kanagawa_large_pos_11_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",11,19,3,3,5,3,5,1,"75040","25","female","woman","","african","","No","",""
"20","5d380f164803980016b2210d","svTrial","survey",27,2978306,"0.0-2.0-25.0","65553732575bb29198a888d7","65565a9c50bd2d6efb791128",8,"45626","Toyama_middle_pos_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",6,20,3,4,4,3,4,1,"75040","25","female","woman","","african","","No","",""
