"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5d384f7d3e880c00016d9080","svTrial","survey",8,115616,"0.0-2.0-6.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"24081","Toyama_middle_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,1,3,4,4,3,4,1,"12569","30","male","man","","caucasian","","No","",""
"2","5d384f7d3e880c00016d9080","svTrial","survey",9,128180,"0.0-2.0-7.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"12555","Niigata_middle_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",5,2,4,4,4,4,4,1,"12569","30","male","man","","caucasian","","No","",""
"3","5d384f7d3e880c00016d9080","svTrial","survey",10,141674,"0.0-2.0-8.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"13488","Niigata_large_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,3,3,3,3,3,3,1,"12569","30","male","man","","caucasian","","No","",""
"4","5d384f7d3e880c00016d9080","svTrial","survey",11,154209,"0.0-2.0-9.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"12528","Niigata_large_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,4,4,2,2,3,2,1,"12569","30","male","man","","caucasian","","No","",""
"5","5d384f7d3e880c00016d9080","svTrial","survey",12,166176,"0.0-2.0-10.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"11961","Hokkaido_middle_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,5,2,4,2,2,2,1,"12569","30","male","man","","caucasian","","No","",""
"6","5d384f7d3e880c00016d9080","svTrial","survey",13,210460,"0.0-2.0-11.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"44279","Hokkaido_large_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",6,6,1,1,1,1,1,1,"12569","30","male","man","","caucasian","","No","",""
"7","5d384f7d3e880c00016d9080","svTrial","survey",14,218737,"0.0-2.0-12.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"8272","Tokyo_large_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,7,4,4,4,3,4,1,"12569","30","male","man","","caucasian","","No","",""
"8","5d384f7d3e880c00016d9080","svTrial","survey",15,226212,"0.0-2.0-13.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"7470","Tokyo_middle_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",8,8,2,2,2,2,2,1,"12569","30","male","man","","caucasian","","No","",""
"9","5d384f7d3e880c00016d9080","svTrial","survey",16,236212,"0.0-2.0-14.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"9994","Okinawa_small_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,9,5,2,5,3,3,1,"12569","30","male","man","","caucasian","","No","",""
"10","5d384f7d3e880c00016d9080","svTrial","survey",17,248353,"0.0-2.0-15.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"12134","Toyama_small_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,10,2,2,2,2,1,1,"12569","30","male","man","","caucasian","","No","",""
"11","5d384f7d3e880c00016d9080","svTrial","survey",18,264074,"0.0-2.0-16.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"15717","Toyama_large_sch_12_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",12,11,2,3,3,1,2,1,"12569","30","male","man","","caucasian","","No","",""
"12","5d384f7d3e880c00016d9080","svTrial","survey",19,272897,"0.0-2.0-17.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"8818","Toyama_small_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,12,4,1,1,1,1,1,"12569","30","male","man","","caucasian","","No","",""
"13","5d384f7d3e880c00016d9080","svTrial","survey",20,281705,"0.0-2.0-18.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"8803","Kanagawa_small_pos_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,13,3,4,4,4,5,1,"12569","30","male","man","","caucasian","","No","",""
"14","5d384f7d3e880c00016d9080","svTrial","survey",21,291440,"0.0-2.0-19.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"9730","Ishikawa_large_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,14,3,3,3,2,NA,1,"12569","30","male","man","","caucasian","","No","",""
"15","5d384f7d3e880c00016d9080","svTrial","survey",22,303630,"0.0-2.0-20.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"12185","Hokkaido_large_pos_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",12,15,2,1,1,2,1,1,"12569","30","male","man","","caucasian","","No","",""
"16","5d384f7d3e880c00016d9080","svTrial","survey",23,309307,"0.0-2.0-21.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"5670","Tokyo_large_pos_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,16,1,1,1,1,1,1,"12569","30","male","man","","caucasian","","No","",""
"17","5d384f7d3e880c00016d9080","svTrial","survey",24,322081,"0.0-2.0-22.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"12768","Okinawa_large_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,17,4,2,4,2,2,1,"12569","30","male","man","","caucasian","","No","",""
"18","5d384f7d3e880c00016d9080","svTrial","survey",25,330563,"0.0-2.0-23.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"8475","Tokyo_small_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",3,18,5,3,4,2,1,1,"12569","30","male","man","","caucasian","","No","",""
"19","5d384f7d3e880c00016d9080","svTrial","survey",26,343402,"0.0-2.0-24.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"12832","Kanagawa_large_sch_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,19,3,2,4,1,1,1,"12569","30","male","man","","caucasian","","No","",""
"20","5d384f7d3e880c00016d9080","svTrial","survey",27,350154,"0.0-2.0-25.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"6747","Hokkaido_small_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,20,1,1,1,1,1,1,"12569","30","male","man","","caucasian","","No","",""
"21","5d384f7d3e880c00016d9080","svTrial","survey",29,367571,"0.0-2.0-27.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"12784","Toyama_small_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,21,4,1,3,1,1,1,"12569","30","male","man","","caucasian","","No","",""
"22","5d384f7d3e880c00016d9080","svTrial","survey",30,375899,"0.0-2.0-28.0","65553732575bb29198a888d7","65565c098dac334bd6bf51a7",2,"8322","Hokkaido_middle_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",3,22,3,2,4,2,1,1,"12569","30","male","man","","caucasian","","No","",""
