"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5d49fbb01da04c001a407042","svTrial","survey",8,80015,"0.0-2.0-6.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"15967","Okinawa_large_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,1,3,4,3,4,4,1,"31792","26","female","woman","","african","","No","",""
"2","5d49fbb01da04c001a407042","svTrial","survey",9,93490,"0.0-2.0-7.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"13455","Kanagawa_middle_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",2,2,2,4,4,3,3,1,"31792","26","female","woman","","african","","No","",""
"3","5d49fbb01da04c001a407042","svTrial","survey",10,114095,"0.0-2.0-8.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"20588","Ishikawa_large_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,3,2,2,3,2,2,1,"31792","26","female","woman","","african","","No","",""
"4","5d49fbb01da04c001a407042","svTrial","survey",11,131396,"0.0-2.0-9.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"17285","Ishikawa_large_pos_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",6,4,2,3,3,3,2,1,"31792","26","female","woman","","african","","No","",""
"5","5d49fbb01da04c001a407042","svTrial","survey",12,144951,"0.0-2.0-10.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"13539","Toyama_large_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,5,1,1,1,1,1,1,"31792","26","female","woman","","african","","No","",""
"6","5d49fbb01da04c001a407042","svTrial","survey",13,180589,"0.0-2.0-11.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"35622","Akita_large_sch_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",10,6,2,1,2,2,2,1,"31792","26","female","woman","","african","","No","",""
"7","5d49fbb01da04c001a407042","svTrial","survey",14,232153,"0.0-2.0-12.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"51547","Okinawa_large_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,7,5,5,4,4,4,1,"31792","26","female","woman","","african","","No","",""
"8","5d49fbb01da04c001a407042","svTrial","survey",15,241773,"0.0-2.0-13.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"9607","Tokyo_small_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,8,2,2,2,1,2,1,"31792","26","female","woman","","african","","No","",""
"9","5d49fbb01da04c001a407042","svTrial","survey",16,285237,"0.0-2.0-14.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"43449","Kanagawa_large_sch_11_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",11,9,2,1,2,2,2,1,"31792","26","female","woman","","african","","No","",""
"10","5d49fbb01da04c001a407042","svTrial","survey",17,407908,"0.0-2.0-15.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"122680","Akita_middle_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,10,2,1,2,2,1,1,"31792","26","female","woman","","african","","No","",""
"11","5d49fbb01da04c001a407042","svTrial","survey",18,423519,"0.0-2.0-16.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"15595","Hokkaido_middle_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,11,3,2,2,2,3,1,"31792","26","female","woman","","african","","No","",""
"12","5d49fbb01da04c001a407042","svTrial","survey",19,439216,"0.0-2.0-17.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"15683","Kanagawa_large_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,12,3,4,2,4,3,1,"31792","26","female","woman","","african","","No","",""
"13","5d49fbb01da04c001a407042","svTrial","survey",20,555918,"0.0-2.0-18.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"116683","Hokkaido_large_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",4,13,2,3,2,2,2,1,"31792","26","female","woman","","african","","No","",""
"14","5d49fbb01da04c001a407042","svTrial","survey",21,568933,"0.0-2.0-19.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"13001","Akita_large_pos_9_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",9,14,2,2,1,2,2,1,"31792","26","female","woman","","african","","No","",""
"15","5d49fbb01da04c001a407042","svTrial","survey",22,590757,"0.0-2.0-20.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"21811","Hokkaido_middle_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,15,1,1,1,1,1,1,"31792","26","female","woman","","african","","No","",""
"16","5d49fbb01da04c001a407042","svTrial","survey",23,633241,"0.0-2.0-21.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"42470","Toyama_large_pos_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",12,16,2,2,2,2,2,1,"31792","26","female","woman","","african","","No","",""
"17","5d49fbb01da04c001a407042","svTrial","survey",24,698740,"0.0-2.0-22.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"65484","Kanagawa_middle_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",6,17,3,2,2,2,3,1,"31792","26","female","woman","","african","","No","",""
"18","5d49fbb01da04c001a407042","svTrial","survey",25,737116,"0.0-2.0-23.0","65553732575bb29198a888d7","65566dc8d643c3a98feb1485",3,"38362","Akita_large_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,18,2,3,2,2,2,1,"31792","26","female","woman","","african","","No","",""
