"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",8,78813,"0.0-2.0-6.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"25904","Ishikawa_middle_pos_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",3,1,3,4,3,4,4,1,"28371","54","female","woman","","caucasian","","No","",""
"2","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",9,94888,"0.0-2.0-7.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"16062","Tokyo_large_sch_11_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",11,2,4,3,3,4,3,1,"28371","54","female","woman","","caucasian","","No","",""
"3","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",10,109113,"0.0-2.0-8.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"14217","Kanagawa_large_pos_12_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",12,3,4,2,2,2,3,1,"28371","54","female","woman","","caucasian","","No","",""
"4","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",11,127650,"0.0-2.0-9.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"18527","Toyama_small_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",3,4,2,4,2,2,2,1,"28371","54","female","woman","","caucasian","","No","",""
"5","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",12,142196,"0.0-2.0-10.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"14539","Tokyo_large_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",1,5,2,4,2,2,2,1,"28371","54","female","woman","","caucasian","","No","",""
"6","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",13,156437,"0.0-2.0-11.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"14233","Niigata_middle_sch_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,6,4,4,3,4,4,1,"28371","54","female","woman","","caucasian","","No","",""
"7","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",14,170060,"0.0-2.0-12.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"13605","Toyama_large_sch_11_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",11,7,1,2,2,3,2,1,"28371","54","female","woman","","caucasian","","No","",""
"8","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",15,184095,"0.0-2.0-13.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"14021","Niigata_small_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",4,8,1,2,1,1,1,1,"28371","54","female","woman","","caucasian","","No","",""
"9","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",16,203954,"0.0-2.0-14.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"19849","Kanagawa_middle_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,9,1,2,2,2,1,1,"28371","54","female","woman","","caucasian","","No","",""
"10","5ddc3ccd108b67ba3b7efa5a","svTrial","survey",17,221933,"0.0-2.0-15.0","65553732575bb29198a888d7","65565b67265de39dba30d3df",1,"17974","Hokkaido_middle_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,10,2,4,2,3,2,1,"28371","54","female","woman","","caucasian","","No","",""
