"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5dfda52097234ba7a779bea7","svTrial","survey",8,158796,"0.0-2.0-6.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"31577","Niigata_large_sch_9_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",9,1,3,NA,4,4,4,1,"85282","39","female","woman","","middle-eastern","","No","",""
"2","5dfda52097234ba7a779bea7","svTrial","survey",9,215668,"0.0-2.0-7.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"56814","Toyama_middle_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",5,2,3,5,3,2,2,1,"85282","39","female","woman","","middle-eastern","","No","",""
"3","5dfda52097234ba7a779bea7","svTrial","survey",11,293149,"0.0-2.0-9.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"37589","Hokkaido_middle_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,3,1,5,1,1,1,1,"85282","39","female","woman","","middle-eastern","","No","",""
"4","5dfda52097234ba7a779bea7","svTrial","survey",12,318267,"0.0-2.0-10.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"25055","Tokyo_large_sch_9_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",9,4,1,1,2,1,1,1,"85282","39","female","woman","","middle-eastern","","No","",""
"5","5dfda52097234ba7a779bea7","svTrial","survey",13,436092,"0.0-2.0-11.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"117763","Kanagawa_middle_sch_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,5,2,4,3,1,1,1,"85282","39","female","woman","","middle-eastern","","No","",""
"6","5dfda52097234ba7a779bea7","svTrial","survey",14,462167,"0.0-2.0-12.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"25986","Tokyo_large_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",4,6,4,3,4,2,2,1,"85282","39","female","woman","","middle-eastern","","No","",""
"7","5dfda52097234ba7a779bea7","svTrial","survey",15,520034,"0.0-2.0-13.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"57795","Kanagawa_large_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,7,4,4,4,2,2,1,"85282","39","female","woman","","middle-eastern","","No","",""
"8","5dfda52097234ba7a779bea7","svTrial","survey",16,545102,"0.0-2.0-14.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"25013","Akita_large_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",2,8,2,2,3,1,2,1,"85282","39","female","woman","","middle-eastern","","No","",""
"9","5dfda52097234ba7a779bea7","svTrial","survey",17,568269,"0.0-2.0-15.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"23087","Akita_middle_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,9,5,5,5,1,3,1,"85282","39","female","woman","","middle-eastern","","No","",""
"10","5dfda52097234ba7a779bea7","svTrial","survey",18,600273,"0.0-2.0-16.0","65553732575bb29198a888d7","65565a39589c16e683d92654",1,"31957","Okinawa_large_sch_11_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",11,10,4,5,4,1,1,1,"85282","39","female","woman","","middle-eastern","","No","",""
