"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5e28f6f3a9af590c5b97b2b9","svTrial","survey",8,148118,"0.0-2.0-6.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"40700","Tokyo_small_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,1,1,2,3,1,2,1,"77036","22","male","man","","latino","","No","",""
"2","5e28f6f3a9af590c5b97b2b9","svTrial","survey",9,182035,"0.0-2.0-7.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"33902","Ishikawa_small_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,2,1,1,2,1,NA,1,"77036","22","male","man","","latino","","No","",""
"3","5e28f6f3a9af590c5b97b2b9","svTrial","survey",10,231222,"0.0-2.0-8.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"49176","Kanagawa_small_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",3,3,4,4,4,4,4,1,"77036","22","male","man","","latino","","No","",""
"4","5e28f6f3a9af590c5b97b2b9","svTrial","survey",11,261095,"0.0-2.0-9.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"29865","Kanagawa_middle_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",4,4,5,5,5,4,5,1,"77036","22","male","man","","latino","","No","",""
"5","5e28f6f3a9af590c5b97b2b9","svTrial","survey",12,284087,"0.0-2.0-10.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"22981","Niigata_small_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",3,5,1,3,2,2,1,1,"77036","22","male","man","","latino","","No","",""
"6","5e28f6f3a9af590c5b97b2b9","svTrial","survey",13,311254,"0.0-2.0-11.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"27157","Hokkaido_large_pos_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,6,1,1,2,1,1,1,"77036","22","male","man","","latino","","No","",""
"7","5e28f6f3a9af590c5b97b2b9","svTrial","survey",14,344872,"0.0-2.0-12.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"33611","Akita_large_pos_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",12,7,2,3,3,3,3,1,"77036","22","male","man","","latino","","No","",""
"8","5e28f6f3a9af590c5b97b2b9","svTrial","survey",15,371231,"0.0-2.0-13.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"26349","Okinawa_middle_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,8,1,2,4,3,2,1,"77036","22","male","man","","latino","","No","",""
"9","5e28f6f3a9af590c5b97b2b9","svTrial","survey",16,405127,"0.0-2.0-14.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"33886","Toyama_middle_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",1,9,3,1,3,1,1,1,"77036","22","male","man","","latino","","No","",""
"10","5e28f6f3a9af590c5b97b2b9","svTrial","survey",17,417342,"0.0-2.0-15.0","65553732575bb29198a888d7","655658f84680fc061a229f80",5,"12207","Ishikawa_small_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",1,10,1,1,1,1,1,1,"77036","22","male","man","","latino","","No","",""
