"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5f0f74f79ae45313d4652776","svTrial","survey",8,207874,"0.0-2.0-6.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"45775","Toyama_large_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",8,1,3,4,2,2,3,1,"92010","53","female","woman","","caucasian","","No","",""
"2","5f0f74f79ae45313d4652776","svTrial","survey",9,251710,"0.0-2.0-7.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"43784","Niigata_middle_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,2,2,2,1,3,2,1,"92010","53","female","woman","","caucasian","","No","",""
"3","5f0f74f79ae45313d4652776","svTrial","survey",10,313599,"0.0-2.0-8.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"61838","Toyama_small_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,3,4,3,4,2,3,1,"92010","53","female","woman","","caucasian","","No","",""
"4","5f0f74f79ae45313d4652776","svTrial","survey",11,350379,"0.0-2.0-9.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"36731","Toyama_large_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,4,5,4,4,4,4,1,"92010","53","female","woman","","caucasian","","No","",""
"5","5f0f74f79ae45313d4652776","svTrial","survey",12,493954,"0.0-2.0-10.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"143525","Hokkaido_middle_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,5,5,4,5,4,4,1,"92010","53","female","woman","","caucasian","","No","",""
"6","5f0f74f79ae45313d4652776","svTrial","survey",13,517383,"0.0-2.0-11.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"23372","Niigata_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,6,4,3,5,2,5,1,"92010","53","female","woman","","caucasian","","No","",""
"7","5f0f74f79ae45313d4652776","svTrial","survey",14,543317,"0.0-2.0-12.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"25884","Tokyo_middle_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",5,7,3,3,4,2,4,1,"92010","53","female","woman","","caucasian","","No","",""
"8","5f0f74f79ae45313d4652776","svTrial","survey",15,603387,"0.0-2.0-13.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"60017","Okinawa_large_sch_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,8,2,4,5,2,4,1,"92010","53","female","woman","","caucasian","","No","",""
"9","5f0f74f79ae45313d4652776","svTrial","survey",16,643501,"0.0-2.0-14.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"40055","Niigata_large_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",4,9,4,4,5,2,4,1,"92010","53","female","woman","","caucasian","","No","",""
"10","5f0f74f79ae45313d4652776","svTrial","survey",17,671969,"0.0-2.0-15.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"28431","Niigata_middle_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,10,3,2,3,2,3,1,"92010","53","female","woman","","caucasian","","No","",""
"11","5f0f74f79ae45313d4652776","svTrial","survey",18,718106,"0.0-2.0-16.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"46082","Ishikawa_middle_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",6,11,2,2,4,1,3,1,"92010","53","female","woman","","caucasian","","No","",""
"12","5f0f74f79ae45313d4652776","svTrial","survey",19,765410,"0.0-2.0-17.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"47247","Tokyo_small_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",4,12,2,1,2,1,3,1,"92010","53","female","woman","","caucasian","","No","",""
"13","5f0f74f79ae45313d4652776","svTrial","survey",20,812171,"0.0-2.0-18.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"46713","Okinawa_small_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",3,13,4,4,3,2,3,1,"92010","53","female","woman","","caucasian","","No","",""
"14","5f0f74f79ae45313d4652776","svTrial","survey",21,844513,"0.0-2.0-19.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"32285","Ishikawa_large_pos_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,14,4,3,4,3,3,1,"92010","53","female","woman","","caucasian","","No","",""
"15","5f0f74f79ae45313d4652776","svTrial","survey",22,875183,"0.0-2.0-20.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"30640","Hokkaido_large_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",3,15,5,1,2,3,2,1,"92010","53","female","woman","","caucasian","","No","",""
"16","5f0f74f79ae45313d4652776","svTrial","survey",23,927562,"0.0-2.0-21.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"52329","Toyama_middle_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,16,5,3,4,2,4,1,"92010","53","female","woman","","caucasian","","No","",""
"17","5f0f74f79ae45313d4652776","svTrial","survey",24,955386,"0.0-2.0-22.0","65553732575bb29198a888d7","65565a0bc02ad6061e3f6dfb",3,"27789","Hokkaido_middle_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,17,5,4,4,2,3,1,"92010","53","female","woman","","caucasian","","No","",""
