"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5f4e6e6fda46ae04d1175fed","svTrial","survey",8,84371,"0.0-2.0-6.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"22821","Kanagawa_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",1,1,1,1,1,1,1,1,"08701","37","female","woman","","african","","No","",""
"2","5f4e6e6fda46ae04d1175fed","svTrial","survey",9,86421,"0.0-2.0-7.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"2007","Kanagawa_large_pos_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",7,2,NA,NA,NA,NA,NA,1,"08701","37","female","woman","","african","","No","",""
"3","5f4e6e6fda46ae04d1175fed","svTrial","survey",11,125826,"0.0-2.0-9.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"23715","Toyama_middle_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,3,1,1,1,1,1,1,"08701","37","female","woman","","african","","No","",""
"4","5f4e6e6fda46ae04d1175fed","svTrial","survey",12,138703,"0.0-2.0-10.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"12817","Ishikawa_large_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,4,1,1,1,1,1,1,"08701","37","female","woman","","african","","No","",""
"5","5f4e6e6fda46ae04d1175fed","svTrial","survey",13,158748,"0.0-2.0-11.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"19997","Tokyo_small_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",4,5,1,1,1,1,1,1,"08701","37","female","woman","","african","","No","",""
"6","5f4e6e6fda46ae04d1175fed","svTrial","survey",14,169172,"0.0-2.0-12.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"10366","Hokkaido_large_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",3,6,1,1,1,1,2,1,"08701","37","female","woman","","african","","No","",""
"7","5f4e6e6fda46ae04d1175fed","svTrial","survey",15,180640,"0.0-2.0-13.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"11403","Kanagawa_middle_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,7,1,1,1,1,2,1,"08701","37","female","woman","","african","","No","",""
"8","5f4e6e6fda46ae04d1175fed","svTrial","survey",16,182091,"0.0-2.0-14.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"1395","Hokkaido_large_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,8,NA,NA,NA,NA,NA,1,"08701","37","female","woman","","african","","No","",""
"9","5f4e6e6fda46ae04d1175fed","svTrial","survey",17,195881,"0.0-2.0-15.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"13739","Niigata_middle_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,9,1,1,1,1,1,1,"08701","37","female","woman","","african","","No","",""
"10","5f4e6e6fda46ae04d1175fed","svTrial","survey",18,213699,"0.0-2.0-16.0","65553732575bb29198a888d7","65565a117a553990351935e1",3,"17747","Akita_large_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,10,1,1,1,1,1,1,"08701","37","female","woman","","african","","No","",""
