"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5f9a25f467c68d13eaa9cc5c","svTrial","survey",8,426869,"0.0-2.0-6.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"131274","Toyama_large_sch_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",10,1,4,2,2,1,1,1,"91945","32","male","man","","latino","","No","","It was fine. "
"2","5f9a25f467c68d13eaa9cc5c","svTrial","survey",9,513586,"0.0-2.0-7.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"86690","Okinawa_small_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,2,4,2,4,3,3,1,"91945","32","male","man","","latino","","No","","It was fine. "
"3","5f9a25f467c68d13eaa9cc5c","svTrial","survey",10,542726,"0.0-2.0-8.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"29116","Hokkaido_middle_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,3,1,1,1,1,1,1,"91945","32","male","man","","latino","","No","","It was fine. "
"4","5f9a25f467c68d13eaa9cc5c","svTrial","survey",11,555718,"0.0-2.0-9.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"12974","Toyama_large_pos_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",6,4,1,1,1,1,1,1,"91945","32","male","man","","latino","","No","","It was fine. "
"5","5f9a25f467c68d13eaa9cc5c","svTrial","survey",12,570370,"0.0-2.0-10.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"14633","Tokyo_large_sch_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,5,2,2,2,2,1,1,"91945","32","male","man","","latino","","No","","It was fine. "
"6","5f9a25f467c68d13eaa9cc5c","svTrial","survey",13,582406,"0.0-2.0-11.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"12020","Hokkaido_large_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,6,5,5,5,5,5,1,"91945","32","male","man","","latino","","No","","It was fine. "
"7","5f9a25f467c68d13eaa9cc5c","svTrial","survey",14,606680,"0.0-2.0-12.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"24258","Hokkaido_small_pos_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",2,7,1,3,4,1,3,1,"91945","32","male","man","","latino","","No","","It was fine. "
"8","5f9a25f467c68d13eaa9cc5c","svTrial","survey",15,645412,"0.0-2.0-13.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"38713","Toyama_large_pos_11_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",11,8,1,2,1,2,2,1,"91945","32","male","man","","latino","","No","","It was fine. "
"9","5f9a25f467c68d13eaa9cc5c","svTrial","survey",16,666194,"0.0-2.0-14.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"20765","Niigata_small_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",2,9,3,3,2,2,2,1,"91945","32","male","man","","latino","","No","","It was fine. "
"10","5f9a25f467c68d13eaa9cc5c","svTrial","survey",17,679589,"0.0-2.0-15.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"13377","Tokyo_middle_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",6,10,4,5,4,4,5,1,"91945","32","male","man","","latino","","No","","It was fine. "
"11","5f9a25f467c68d13eaa9cc5c","svTrial","survey",18,716181,"0.0-2.0-16.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"36576","Hokkaido_middle_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,11,2,2,2,1,2,1,"91945","32","male","man","","latino","","No","","It was fine. "
"12","5f9a25f467c68d13eaa9cc5c","svTrial","survey",19,732350,"0.0-2.0-17.0","65553732575bb29198a888d7","655659c914e274cff2f5b9a1",6,"16152","Niigata_large_pos_11_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",11,12,1,2,3,3,2,1,"91945","32","male","man","","latino","","No","","It was fine. "
