"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5fa315662ca5b25d05ae8236","svTrial","survey",8,44705,"0.0-2.0-6.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"15986","Akita_large_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",5,1,5,4,3,5,4,1,"10018","43","female","woman","","caucasian","","No","",""
"2","5fa315662ca5b25d05ae8236","svTrial","survey",9,111436,"0.0-2.0-7.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"66715","Ishikawa_large_pos_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",8,2,4,3,4,2,2,1,"10018","43","female","woman","","caucasian","","No","",""
"3","5fa315662ca5b25d05ae8236","svTrial","survey",10,122368,"0.0-2.0-8.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"10921","Ishikawa_small_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",1,3,3,1,1,1,1,1,"10018","43","female","woman","","caucasian","","No","",""
"4","5fa315662ca5b25d05ae8236","svTrial","survey",11,129667,"0.0-2.0-9.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"7288","Akita_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",2,4,3,2,3,3,4,1,"10018","43","female","woman","","caucasian","","No","",""
"5","5fa315662ca5b25d05ae8236","svTrial","survey",12,136801,"0.0-2.0-10.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"7122","Kanagawa_middle_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",4,5,4,3,3,3,3,1,"10018","43","female","woman","","caucasian","","No","",""
"6","5fa315662ca5b25d05ae8236","svTrial","survey",13,147651,"0.0-2.0-11.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"10839","Akita_large_pos_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",12,6,4,3,5,4,4,1,"10018","43","female","woman","","caucasian","","No","",""
"7","5fa315662ca5b25d05ae8236","svTrial","survey",14,155384,"0.0-2.0-12.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"7722","Niigata_large_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,7,5,4,4,4,4,1,"10018","43","female","woman","","caucasian","","No","",""
"8","5fa315662ca5b25d05ae8236","svTrial","survey",15,164585,"0.0-2.0-13.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"9191","Niigata_middle_pos_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,8,1,3,2,2,2,1,"10018","43","female","woman","","caucasian","","No","",""
"9","5fa315662ca5b25d05ae8236","svTrial","survey",16,170969,"0.0-2.0-14.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"6374","Tokyo_large_pos_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",7,9,5,5,4,4,5,1,"10018","43","female","woman","","caucasian","","No","",""
"10","5fa315662ca5b25d05ae8236","svTrial","survey",17,176704,"0.0-2.0-15.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"5723","Tokyo_large_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",8,10,4,4,5,3,4,1,"10018","43","female","woman","","caucasian","","No","",""
"11","5fa315662ca5b25d05ae8236","svTrial","survey",18,185719,"0.0-2.0-16.0","65553732575bb29198a888d7","655659f87333f0fe459d1f1f",5,"9006","Tokyo_large_sch_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",7,11,2,1,1,1,2,1,"10018","43","female","woman","","caucasian","","No","",""
