"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","5fd7782dee03dc08d3f3f491","svTrial","survey",8,199419,"0.0-2.0-6.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"55674","Akita_large_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,1,1,2,2,2,3,1,"11218","40","male","man","","caucasian","","No","",""
"2","5fd7782dee03dc08d3f3f491","svTrial","survey",9,242955,"0.0-2.0-7.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"43514","Kanagawa_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,2,1,3,1,1,1,1,"11218","40","male","man","","caucasian","","No","",""
"3","5fd7782dee03dc08d3f3f491","svTrial","survey",10,279062,"0.0-2.0-8.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"36089","Tokyo_middle_sch_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",8,3,4,2,1,3,1,1,"11218","40","male","man","","caucasian","","No","",""
"4","5fd7782dee03dc08d3f3f491","svTrial","survey",11,316021,"0.0-2.0-9.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"36940","Ishikawa_large_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,4,1,4,3,1,3,1,"11218","40","male","man","","caucasian","","No","",""
"5","5fd7782dee03dc08d3f3f491","svTrial","survey",12,349115,"0.0-2.0-10.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"33079","Kanagawa_large_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,5,3,2,4,2,2,1,"11218","40","male","man","","caucasian","","No","",""
"6","5fd7782dee03dc08d3f3f491","svTrial","survey",13,375458,"0.0-2.0-11.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"26325","Niigata_middle_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",5,6,1,2,3,1,2,1,"11218","40","male","man","","caucasian","","No","",""
"7","5fd7782dee03dc08d3f3f491","svTrial","survey",14,409204,"0.0-2.0-12.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"33727","Okinawa_large_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,7,5,1,5,2,3,1,"11218","40","male","man","","caucasian","","No","",""
"8","5fd7782dee03dc08d3f3f491","svTrial","survey",15,432032,"0.0-2.0-13.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"22811","Okinawa_large_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",3,8,4,1,4,2,1,1,"11218","40","male","man","","caucasian","","No","",""
"9","5fd7782dee03dc08d3f3f491","svTrial","survey",16,461777,"0.0-2.0-14.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"29725","Toyama_large_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",1,9,3,2,3,2,4,1,"11218","40","male","man","","caucasian","","No","",""
"10","5fd7782dee03dc08d3f3f491","svTrial","survey",17,483704,"0.0-2.0-15.0","65553732575bb29198a888d7","6556586dd6ea503cf8c1bd10",2,"21913","Hokkaido_large_pos_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",12,10,1,2,2,2,2,1,"11218","40","male","man","","caucasian","","No","",""
