"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","601d2b5c8d79b20009a7b72b","svTrial","survey",8,168933,"0.0-2.0-6.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"32267","Niigata_small_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",3,1,3,3,4,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"2","601d2b5c8d79b20009a7b72b","svTrial","survey",9,218661,"0.0-2.0-7.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"49691","Niigata_large_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,2,1,3,5,3,1,1,"2","42","female","woman","","caucasian","","No","",""
"3","601d2b5c8d79b20009a7b72b","svTrial","survey",10,252345,"0.0-2.0-8.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"33657","Akita_large_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",4,3,2,3,4,1,3,1,"2","42","female","woman","","caucasian","","No","",""
"4","601d2b5c8d79b20009a7b72b","svTrial","survey",11,281933,"0.0-2.0-9.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"29561","Ishikawa_middle_pos_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",7,4,1,1,1,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"5","601d2b5c8d79b20009a7b72b","svTrial","survey",12,303055,"0.0-2.0-10.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"21093","Tokyo_large_pos_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",7,5,4,4,5,4,2,1,"2","42","female","woman","","caucasian","","No","",""
"6","601d2b5c8d79b20009a7b72b","svTrial","survey",13,326268,"0.0-2.0-11.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"23189","Akita_large_pos_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",12,6,1,3,4,3,3,1,"2","42","female","woman","","caucasian","","No","",""
"7","601d2b5c8d79b20009a7b72b","svTrial","survey",14,356177,"0.0-2.0-12.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"29887","Hokkaido_small_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",3,7,3,2,4,1,2,1,"2","42","female","woman","","caucasian","","No","",""
"8","601d2b5c8d79b20009a7b72b","svTrial","survey",15,378805,"0.0-2.0-13.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"22605","Toyama_large_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",8,8,4,2,1,3,1,1,"2","42","female","woman","","caucasian","","No","",""
"9","601d2b5c8d79b20009a7b72b","svTrial","survey",16,407272,"0.0-2.0-14.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"28434","Akita_middle_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,9,1,2,3,3,4,1,"2","42","female","woman","","caucasian","","No","",""
"10","601d2b5c8d79b20009a7b72b","svTrial","survey",17,425692,"0.0-2.0-15.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"18395","Tokyo_large_sch_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",7,10,5,3,4,4,4,1,"2","42","female","woman","","caucasian","","No","",""
"11","601d2b5c8d79b20009a7b72b","svTrial","survey",18,441440,"0.0-2.0-16.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"15720","Hokkaido_small_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",3,11,1,2,2,3,2,1,"2","42","female","woman","","caucasian","","No","",""
"12","601d2b5c8d79b20009a7b72b","svTrial","survey",19,456950,"0.0-2.0-17.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"15487","Ishikawa_small_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,12,1,1,2,3,3,1,"2","42","female","woman","","caucasian","","No","",""
"13","601d2b5c8d79b20009a7b72b","svTrial","survey",20,468325,"0.0-2.0-18.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"11352","Okinawa_middle_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,13,1,3,3,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"14","601d2b5c8d79b20009a7b72b","svTrial","survey",21,479625,"0.0-2.0-19.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"11278","Toyama_middle_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",1,14,1,1,1,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"15","601d2b5c8d79b20009a7b72b","svTrial","survey",22,490088,"0.0-2.0-20.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"10431","Toyama_large_pos_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,15,3,2,3,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"16","601d2b5c8d79b20009a7b72b","svTrial","survey",23,500514,"0.0-2.0-21.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"10406","Ishikawa_small_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",1,16,1,1,1,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"17","601d2b5c8d79b20009a7b72b","svTrial","survey",24,509570,"0.0-2.0-22.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"9030","Tokyo_large_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,17,1,1,1,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"18","601d2b5c8d79b20009a7b72b","svTrial","survey",25,519668,"0.0-2.0-23.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"10069","Kanagawa_middle_sch_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",8,18,1,1,1,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"19","601d2b5c8d79b20009a7b72b","svTrial","survey",26,529875,"0.0-2.0-24.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"10186","Toyama_small_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",1,19,1,1,1,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"20","601d2b5c8d79b20009a7b72b","svTrial","survey",27,542422,"0.0-2.0-25.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"12525","Kanagawa_middle_pos_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",4,20,5,5,5,5,5,1,"2","42","female","woman","","caucasian","","No","",""
"21","601d2b5c8d79b20009a7b72b","svTrial","survey",28,551960,"0.0-2.0-26.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"9516","Hokkaido_large_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,21,1,1,2,2,2,1,"2","42","female","woman","","caucasian","","No","",""
"22","601d2b5c8d79b20009a7b72b","svTrial","survey",29,562010,"0.0-2.0-27.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"10029","Tokyo_large_sch_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",8,22,1,1,1,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"23","601d2b5c8d79b20009a7b72b","svTrial","survey",30,584097,"0.0-2.0-28.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"22066","Hokkaido_middle_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,23,5,2,3,3,5,1,"2","42","female","woman","","caucasian","","No","",""
"24","601d2b5c8d79b20009a7b72b","svTrial","survey",31,594883,"0.0-2.0-29.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"10760","Tokyo_middle_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,24,3,2,2,2,2,1,"2","42","female","woman","","caucasian","","No","",""
"25","601d2b5c8d79b20009a7b72b","svTrial","survey",33,632742,"0.0-2.0-31.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"24769","Ishikawa_large_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,25,5,3,2,2,5,1,"2","42","female","woman","","caucasian","","No","",""
"26","601d2b5c8d79b20009a7b72b","svTrial","survey",34,650357,"0.0-2.0-32.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"17593","Akita_large_pos_11_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",11,26,3,3,4,4,2,1,"2","42","female","woman","","caucasian","","No","",""
"27","601d2b5c8d79b20009a7b72b","svTrial","survey",35,665770,"0.0-2.0-33.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"15387","Kanagawa_middle_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",5,27,4,4,5,5,4,1,"2","42","female","woman","","caucasian","","No","",""
"28","601d2b5c8d79b20009a7b72b","svTrial","survey",36,677576,"0.0-2.0-34.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"11786","Kanagawa_small_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",3,28,5,5,5,5,5,1,"2","42","female","woman","","caucasian","","No","",""
"29","601d2b5c8d79b20009a7b72b","svTrial","survey",37,688137,"0.0-2.0-35.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"10541","Hokkaido_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",1,29,3,2,3,3,1,1,"2","42","female","woman","","caucasian","","No","",""
"30","601d2b5c8d79b20009a7b72b","svTrial","survey",38,705499,"0.0-2.0-36.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"17341","Hokkaido_small_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,30,5,1,5,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"31","601d2b5c8d79b20009a7b72b","svTrial","survey",39,734218,"0.0-2.0-37.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"28695","Kanagawa_small_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,31,5,1,1,1,5,1,"2","42","female","woman","","caucasian","","No","",""
"32","601d2b5c8d79b20009a7b72b","svTrial","survey",40,762883,"0.0-2.0-38.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"28640","Ishikawa_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",10,32,2,3,3,3,3,1,"2","42","female","woman","","caucasian","","No","",""
"33","601d2b5c8d79b20009a7b72b","svTrial","survey",41,778590,"0.0-2.0-39.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"15680","Akita_small_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",2,33,2,3,2,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"34","601d2b5c8d79b20009a7b72b","svTrial","survey",42,790185,"0.0-2.0-40.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"11574","Niigata_middle_pos_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,34,2,2,2,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"35","601d2b5c8d79b20009a7b72b","svTrial","survey",43,803701,"0.0-2.0-41.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"13472","Akita_large_sch_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,35,3,3,2,2,2,1,"2","42","female","woman","","caucasian","","No","",""
"36","601d2b5c8d79b20009a7b72b","svTrial","survey",44,819391,"0.0-2.0-42.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"15671","Tokyo_middle_sch_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,36,1,2,3,5,5,1,"2","42","female","woman","","caucasian","","No","",""
"37","601d2b5c8d79b20009a7b72b","svTrial","survey",45,833456,"0.0-2.0-43.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"14043","Toyama_large_sch_9_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",9,37,2,2,3,3,3,1,"2","42","female","woman","","caucasian","","No","",""
"38","601d2b5c8d79b20009a7b72b","svTrial","survey",46,859805,"0.0-2.0-44.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"26332","Kanagawa_large_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",3,38,1,2,1,2,1,1,"2","42","female","woman","","caucasian","","No","",""
"39","601d2b5c8d79b20009a7b72b","svTrial","survey",47,879539,"0.0-2.0-45.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"19713","Kanagawa_large_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,39,2,2,1,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"40","601d2b5c8d79b20009a7b72b","svTrial","survey",48,892945,"0.0-2.0-46.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"13376","Toyama_large_pos_9_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",9,40,1,3,2,2,2,1,"2","42","female","woman","","caucasian","","No","",""
"41","601d2b5c8d79b20009a7b72b","svTrial","survey",49,912706,"0.0-2.0-47.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"19727","Tokyo_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,41,1,1,2,2,1,1,"2","42","female","woman","","caucasian","","No","",""
"42","601d2b5c8d79b20009a7b72b","svTrial","survey",50,926719,"0.0-2.0-48.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"13986","Akita_large_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",1,42,1,2,1,1,1,1,"2","42","female","woman","","caucasian","","No","",""
"43","601d2b5c8d79b20009a7b72b","svTrial","survey",51,941187,"0.0-2.0-49.0","65553732575bb29198a888d7","655659448acff2ac89a8af9c",5,"14460","Ishikawa_large_pos_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",8,43,4,2,3,3,3,1,"2","42","female","woman","","caucasian","","No","",""
