"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","601dc4afec317f1e601e72c0","svTrial","survey",8,310372,"0.0-2.0-6.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"53486","Niigata_large_sch_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",12,1,4,4,4,3,3,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"2","601dc4afec317f1e601e72c0","svTrial","survey",9,347593,"0.0-2.0-7.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"37114","Akita_middle_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,2,1,2,2,2,1,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"3","601dc4afec317f1e601e72c0","svTrial","survey",10,409283,"0.0-2.0-8.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"61621","Niigata_small_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",2,3,2,3,3,1,2,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"4","601dc4afec317f1e601e72c0","svTrial","survey",11,465282,"0.0-2.0-9.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"55948","Niigata_middle_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,4,4,4,3,3,3,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"5","601dc4afec317f1e601e72c0","svTrial","survey",13,542020,"0.0-2.0-11.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"65659","Ishikawa_large_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",8,5,3,4,2,4,3,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"6","601dc4afec317f1e601e72c0","svTrial","survey",14,604203,"0.0-2.0-12.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"62137","Okinawa_middle_sch_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,6,3,4,4,4,4,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"7","601dc4afec317f1e601e72c0","svTrial","survey",15,658216,"0.0-2.0-13.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"53966","Hokkaido_middle_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,7,2,3,4,1,2,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"8","601dc4afec317f1e601e72c0","svTrial","survey",16,734183,"0.0-2.0-14.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"75905","Tokyo_large_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,8,4,2,4,3,3,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"9","601dc4afec317f1e601e72c0","svTrial","survey",17,784383,"0.0-2.0-15.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"50148","Ishikawa_middle_sch_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,9,3,3,4,3,3,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"10","601dc4afec317f1e601e72c0","svTrial","survey",18,833297,"0.0-2.0-16.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"48870","Akita_middle_pos_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",4,10,1,2,1,1,1,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"11","601dc4afec317f1e601e72c0","svTrial","survey",19,896268,"0.0-2.0-17.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"62897","Tokyo_large_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,11,2,1,2,1,1,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"12","601dc4afec317f1e601e72c0","svTrial","survey",20,953384,"0.0-2.0-18.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"57068","Tokyo_large_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",6,12,3,2,2,3,2,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"13","601dc4afec317f1e601e72c0","svTrial","survey",21,1010596,"0.0-2.0-19.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"57103","Hokkaido_small_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,13,2,2,3,3,3,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"14","601dc4afec317f1e601e72c0","svTrial","survey",22,1063336,"0.0-2.0-20.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"52675","Toyama_middle_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,14,4,3,3,1,1,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"15","601dc4afec317f1e601e72c0","svTrial","survey",23,1126904,"0.0-2.0-21.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"63475","Okinawa_large_pos_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",7,15,4,4,3,4,4,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"16","601dc4afec317f1e601e72c0","svTrial","survey",24,1172848,"0.0-2.0-22.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"45901","Hokkaido_large_sch_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",7,16,1,2,1,1,1,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"17","601dc4afec317f1e601e72c0","svTrial","survey",25,1216368,"0.0-2.0-23.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"43475","Akita_middle_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",8,17,1,1,4,1,2,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"18","601dc4afec317f1e601e72c0","svTrial","survey",26,1268299,"0.0-2.0-24.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"51852","Tokyo_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",10,18,3,3,4,2,3,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"19","601dc4afec317f1e601e72c0","svTrial","survey",27,1326154,"0.0-2.0-25.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"57791","Akita_small_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,19,4,4,3,4,4,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"20","601dc4afec317f1e601e72c0","svTrial","survey",28,1386579,"0.0-2.0-26.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"60364","Ishikawa_large_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",7,20,4,1,4,3,3,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"21","601dc4afec317f1e601e72c0","svTrial","survey",29,1427979,"0.0-2.0-27.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"41353","Ishikawa_middle_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",3,21,1,1,1,1,1,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"22","601dc4afec317f1e601e72c0","svTrial","survey",30,1516837,"0.0-2.0-28.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"88807","Ishikawa_small_pos_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",2,22,4,3,2,2,2,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"23","601dc4afec317f1e601e72c0","svTrial","survey",31,1585349,"0.0-2.0-29.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"68470","Okinawa_middle_pos_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",5,23,4,2,2,4,4,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"24","601dc4afec317f1e601e72c0","svTrial","survey",32,1648903,"0.0-2.0-30.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"63508","Niigata_small_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,24,3,2,1,2,1,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"25","601dc4afec317f1e601e72c0","svTrial","survey",34,1696275,"0.0-2.0-32.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"31550","Ishikawa_middle_sch_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",7,25,5,4,4,4,4,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"26","601dc4afec317f1e601e72c0","svTrial","survey",35,1788207,"0.0-2.0-33.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"91886","Tokyo_middle_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,26,4,3,3,3,3,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"27","601dc4afec317f1e601e72c0","svTrial","survey",36,1836831,"0.0-2.0-34.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"48582","Hokkaido_middle_sch_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,27,1,1,1,1,1,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"28","601dc4afec317f1e601e72c0","svTrial","survey",37,1900472,"0.0-2.0-35.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"63600","Toyama_large_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",3,28,1,2,2,1,2,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
"29","601dc4afec317f1e601e72c0","svTrial","survey",38,1944321,"0.0-2.0-36.0","65553732575bb29198a888d7","65565af0023531d49623b696",7,"43787","Akita_middle_pos_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,29,1,1,4,1,1,1,"97204","66","female","woman","","caucasian","","No","","That was interesting and fun, I enjoy photography. "
