"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","601f3a8163401445bdf41c1b","svTrial","survey",8,83904,"0.0-2.0-6.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"29836","Toyama_middle_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",2,1,5,2,4,3,3,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"2","601f3a8163401445bdf41c1b","svTrial","survey",9,109766,"0.0-2.0-7.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"25839","Akita_middle_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",2,2,1,1,1,2,1,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"3","601f3a8163401445bdf41c1b","svTrial","survey",10,129667,"0.0-2.0-8.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"19881","Hokkaido_middle_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",3,3,1,2,3,2,1,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"4","601f3a8163401445bdf41c1b","svTrial","survey",11,145649,"0.0-2.0-9.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"15957","Kanagawa_middle_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,4,3,4,4,3,3,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"5","601f3a8163401445bdf41c1b","svTrial","survey",12,166815,"0.0-2.0-10.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"21148","Toyama_middle_pos_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,5,1,3,2,1,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"6","601f3a8163401445bdf41c1b","svTrial","survey",13,186048,"0.0-2.0-11.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"19209","Okinawa_large_sch_9_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",9,6,4,2,3,3,3,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"7","601f3a8163401445bdf41c1b","svTrial","survey",14,327564,"0.0-2.0-12.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"141501","Toyama_large_sch_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,7,1,3,2,3,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"8","601f3a8163401445bdf41c1b","svTrial","survey",15,342297,"0.0-2.0-13.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"14711","Kanagawa_large_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,8,2,3,3,3,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"9","601f3a8163401445bdf41c1b","svTrial","survey",16,357346,"0.0-2.0-14.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"15031","Kanagawa_small_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,9,4,3,4,4,3,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"10","601f3a8163401445bdf41c1b","svTrial","survey",17,373998,"0.0-2.0-15.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"16637","Kanagawa_large_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",7,10,4,2,3,4,4,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"11","601f3a8163401445bdf41c1b","svTrial","survey",18,390281,"0.0-2.0-16.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"16263","Niigata_large_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,11,4,3,3,2,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"12","601f3a8163401445bdf41c1b","svTrial","survey",19,411811,"0.0-2.0-17.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"21513","Toyama_small_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,12,5,1,5,3,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"13","601f3a8163401445bdf41c1b","svTrial","survey",20,428079,"0.0-2.0-18.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"16255","Akita_large_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",3,13,5,4,5,4,3,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"14","601f3a8163401445bdf41c1b","svTrial","survey",21,445798,"0.0-2.0-19.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"17700","Hokkaido_large_pos_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",12,14,3,3,2,3,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"15","601f3a8163401445bdf41c1b","svTrial","survey",22,463281,"0.0-2.0-20.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"17465","Toyama_middle_pos_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,15,2,2,4,2,4,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"16","601f3a8163401445bdf41c1b","svTrial","survey",23,484496,"0.0-2.0-21.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"21199","Toyama_middle_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",4,16,1,1,2,1,1,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"17","601f3a8163401445bdf41c1b","svTrial","survey",24,498295,"0.0-2.0-22.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"13783","Akita_middle_sch_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,17,3,4,4,3,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"18","601f3a8163401445bdf41c1b","svTrial","survey",25,516761,"0.0-2.0-23.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"18452","Tokyo_large_pos_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,18,2,1,4,1,1,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"19","601f3a8163401445bdf41c1b","svTrial","survey",26,536628,"0.0-2.0-24.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"19854","Kanagawa_large_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",3,19,4,2,5,3,3,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"20","601f3a8163401445bdf41c1b","svTrial","survey",28,559789,"0.0-2.0-26.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"16438","Okinawa_large_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,20,2,3,3,3,3,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"21","601f3a8163401445bdf41c1b","svTrial","survey",29,578578,"0.0-2.0-27.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"18784","Akita_large_pos_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,21,2,2,3,2,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"22","601f3a8163401445bdf41c1b","svTrial","survey",30,593278,"0.0-2.0-28.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"14687","Okinawa_large_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,22,4,2,4,3,3,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"23","601f3a8163401445bdf41c1b","svTrial","survey",31,606231,"0.0-2.0-29.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"12939","Ishikawa_large_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,23,1,2,4,2,1,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"24","601f3a8163401445bdf41c1b","svTrial","survey",32,635197,"0.0-2.0-30.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"28947","Toyama_large_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",1,24,1,2,1,1,1,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"25","601f3a8163401445bdf41c1b","svTrial","survey",34,664179,"0.0-2.0-32.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"14561","Okinawa_large_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",3,25,4,2,5,3,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"26","601f3a8163401445bdf41c1b","svTrial","survey",35,679444,"0.0-2.0-33.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"15252","Kanagawa_large_sch_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,26,2,2,2,1,1,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
"27","601f3a8163401445bdf41c1b","svTrial","survey",36,695612,"0.0-2.0-34.0","65553732575bb29198a888d7","65565afc4b0751069c9b71e1",2,"16157","Okinawa_small_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,27,4,2,5,3,2,1,"33030","35","female","woman","","other","mixed: black/white","No","","Thank you for the opportunity ! "
