"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","6020791e00b8c16be60521e5","svTrial","survey",8,307231,"0.0-2.0-6.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"24336","Kanagawa_large_sch_11_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",11,1,3,3,3,2,3,1,"06032","22","male","man","","south-asian","","No","",""
"2","6020791e00b8c16be60521e5","svTrial","survey",9,325491,"0.0-2.0-7.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"18234","Okinawa_large_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,2,4,2,2,2,3,1,"06032","22","male","man","","south-asian","","No","",""
"3","6020791e00b8c16be60521e5","svTrial","survey",10,348592,"0.0-2.0-8.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"23078","Tokyo_middle_pos_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",5,3,2,3,4,2,2,1,"06032","22","male","man","","south-asian","","No","",""
"4","6020791e00b8c16be60521e5","svTrial","survey",11,366253,"0.0-2.0-9.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"17636","Hokkaido_middle_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,4,1,5,1,1,4,1,"06032","22","male","man","","south-asian","","No","",""
"5","6020791e00b8c16be60521e5","svTrial","survey",12,382721,"0.0-2.0-10.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"16446","Hokkaido_large_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,5,4,2,4,2,2,1,"06032","22","male","man","","south-asian","","No","",""
"6","6020791e00b8c16be60521e5","svTrial","survey",13,414867,"0.0-2.0-11.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"32125","Toyama_small_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,6,1,1,2,2,1,1,"06032","22","male","man","","south-asian","","No","",""
"7","6020791e00b8c16be60521e5","svTrial","survey",14,424794,"0.0-2.0-12.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"9905","Hokkaido_middle_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,7,5,4,4,3,4,1,"06032","22","male","man","","south-asian","","No","",""
"8","6020791e00b8c16be60521e5","svTrial","survey",15,437111,"0.0-2.0-13.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"12298","Kanagawa_small_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",1,8,1,2,1,1,2,1,"06032","22","male","man","","south-asian","","No","",""
"9","6020791e00b8c16be60521e5","svTrial","survey",16,448224,"0.0-2.0-14.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"11095","Niigata_middle_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,9,1,1,2,1,1,1,"06032","22","male","man","","south-asian","","No","",""
"10","6020791e00b8c16be60521e5","svTrial","survey",17,458650,"0.0-2.0-15.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"10406","Ishikawa_large_pos_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",5,10,5,5,5,3,4,1,"06032","22","male","man","","south-asian","","No","",""
"11","6020791e00b8c16be60521e5","svTrial","survey",18,471454,"0.0-2.0-16.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"12786","Ishikawa_large_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,11,5,2,4,3,2,1,"06032","22","male","man","","south-asian","","No","",""
"12","6020791e00b8c16be60521e5","svTrial","survey",19,501520,"0.0-2.0-17.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"30050","Niigata_large_pos_9_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",9,12,3,4,2,2,2,1,"06032","22","male","man","","south-asian","","No","",""
"13","6020791e00b8c16be60521e5","svTrial","survey",20,512721,"0.0-2.0-18.0","65553732575bb29198a888d7","65565bc7886f77c84eeca9b4",3,"11180","Okinawa_middle_pos_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",6,13,5,5,5,5,5,1,"06032","22","male","man","","south-asian","","No","",""
