"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","60e9af9a43403df7e5194222","svTrial","survey",8,311519,"0.0-2.0-6.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"77130","Niigata_large_pos_9_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",9,1,3,4,1,3,3,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"2","60e9af9a43403df7e5194222","svTrial","survey",9,349394,"0.0-2.0-7.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"37822","Niigata_large_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",3,2,3,4,2,3,3,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"3","60e9af9a43403df7e5194222","svTrial","survey",10,393576,"0.0-2.0-8.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"44129","Ishikawa_large_pos_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,3,2,3,2,2,2,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"4","60e9af9a43403df7e5194222","svTrial","survey",11,419575,"0.0-2.0-9.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"25950","Hokkaido_large_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,4,3,4,2,3,3,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"5","60e9af9a43403df7e5194222","svTrial","survey",12,442419,"0.0-2.0-10.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"22803","Kanagawa_middle_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",2,5,3,3,3,3,3,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"6","60e9af9a43403df7e5194222","svTrial","survey",13,461016,"0.0-2.0-11.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"18549","Kanagawa_large_pos_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",7,6,2,2,2,2,3,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"7","60e9af9a43403df7e5194222","svTrial","survey",15,488833,"0.0-2.0-13.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"16232","Hokkaido_middle_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,7,1,1,2,2,2,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"8","60e9af9a43403df7e5194222","svTrial","survey",16,506919,"0.0-2.0-14.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"18042","Toyama_large_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,8,2,2,2,3,3,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"9","60e9af9a43403df7e5194222","svTrial","survey",17,525427,"0.0-2.0-15.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"18455","Akita_large_sch_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",10,9,2,2,2,3,2,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"10","60e9af9a43403df7e5194222","svTrial","survey",18,538897,"0.0-2.0-16.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"13424","Kanagawa_middle_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,10,3,3,2,3,3,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"11","60e9af9a43403df7e5194222","svTrial","survey",19,555029,"0.0-2.0-17.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"16090","Akita_large_pos_9_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",9,11,3,3,3,3,3,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"12","60e9af9a43403df7e5194222","svTrial","survey",20,568684,"0.0-2.0-18.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"13615","Hokkaido_middle_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,12,2,3,3,3,2,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"13","60e9af9a43403df7e5194222","svTrial","survey",21,584115,"0.0-2.0-19.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"15394","Ishikawa_middle_pos_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",6,13,2,2,2,2,2,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"14","60e9af9a43403df7e5194222","svTrial","survey",22,597684,"0.0-2.0-20.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"13525","Tokyo_small_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",4,14,1,2,2,1,2,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"15","60e9af9a43403df7e5194222","svTrial","survey",23,613468,"0.0-2.0-21.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"15745","Hokkaido_middle_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,15,1,1,1,1,2,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"16","60e9af9a43403df7e5194222","svTrial","survey",24,626367,"0.0-2.0-22.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"12854","Akita_large_sch_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,16,1,1,1,1,1,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
"17","60e9af9a43403df7e5194222","svTrial","survey",25,640126,"0.0-2.0-23.0","65553732575bb29198a888d7","65565b963471b6b4fca450cc",3,"13722","Toyama_small_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,17,2,2,2,1,2,1,"08033","35","male","man","","caucasian","","No","0","No thanks."
