"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","60ed709632fe290990f0ca64","svTrial","survey",8,57716,"0.0-2.0-6.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"29720","Hokkaido_large_pos_9_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",9,1,4,3,2,2,2,1,"84721","24","male","man","","caucasian","","No","",""
"2","60ed709632fe290990f0ca64","svTrial","survey",9,78785,"0.0-2.0-7.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"21062","Akita_middle_sch_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",8,2,3,1,3,2,1,1,"84721","24","male","man","","caucasian","","No","",""
"3","60ed709632fe290990f0ca64","svTrial","survey",10,95988,"0.0-2.0-8.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"17191","Ishikawa_large_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,3,2,2,3,2,1,1,"84721","24","male","man","","caucasian","","No","",""
"4","60ed709632fe290990f0ca64","svTrial","survey",11,1359726,"0.0-2.0-9.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"1263733","Niigata_large_sch_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",7,4,4,3,4,2,2,1,"84721","24","male","man","","caucasian","","No","",""
"5","60ed709632fe290990f0ca64","svTrial","survey",12,1370877,"0.0-2.0-10.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"11140","Hokkaido_middle_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,5,4,2,2,2,2,1,"84721","24","male","man","","caucasian","","No","",""
"6","60ed709632fe290990f0ca64","svTrial","survey",13,1381543,"0.0-2.0-11.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"10656","Kanagawa_middle_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",1,6,3,4,2,2,2,1,"84721","24","male","man","","caucasian","","No","",""
"7","60ed709632fe290990f0ca64","svTrial","survey",14,1392390,"0.0-2.0-12.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"10837","Okinawa_middle_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,7,3,3,3,3,3,1,"84721","24","male","man","","caucasian","","No","",""
"8","60ed709632fe290990f0ca64","svTrial","survey",15,1400058,"0.0-2.0-13.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"7658","Okinawa_large_sch_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,8,2,4,2,2,4,1,"84721","24","male","man","","caucasian","","No","",""
"9","60ed709632fe290990f0ca64","svTrial","survey",16,1406681,"0.0-2.0-14.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"6614","Hokkaido_large_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,9,1,3,2,2,3,1,"84721","24","male","man","","caucasian","","No","",""
"10","60ed709632fe290990f0ca64","svTrial","survey",17,1412514,"0.0-2.0-15.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"5824","Niigata_large_pos_12_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",12,10,4,1,1,1,2,1,"84721","24","male","man","","caucasian","","No","",""
"11","60ed709632fe290990f0ca64","svTrial","survey",18,1421525,"0.0-2.0-16.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"9001","Akita_large_sch_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",12,11,3,1,3,2,2,1,"84721","24","male","man","","caucasian","","No","",""
"12","60ed709632fe290990f0ca64","svTrial","survey",19,1428032,"0.0-2.0-17.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"6498","Toyama_large_sch_10_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",10,12,2,4,2,3,2,1,"84721","24","male","man","","caucasian","","No","",""
"13","60ed709632fe290990f0ca64","svTrial","survey",20,1432871,"0.0-2.0-18.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"4830","Okinawa_large_sch_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",12,13,3,2,2,2,3,1,"84721","24","male","man","","caucasian","","No","",""
"14","60ed709632fe290990f0ca64","svTrial","survey",21,1440973,"0.0-2.0-19.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"8093","Akita_large_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,14,3,2,3,3,3,1,"84721","24","male","man","","caucasian","","No","",""
"15","60ed709632fe290990f0ca64","svTrial","survey",22,1448063,"0.0-2.0-20.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"7082","Okinawa_large_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,15,1,1,3,3,2,1,"84721","24","male","man","","caucasian","","No","",""
"16","60ed709632fe290990f0ca64","svTrial","survey",23,1470758,"0.0-2.0-21.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"22685","Akita_large_pos_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",5,16,5,1,4,3,3,1,"84721","24","male","man","","caucasian","","No","",""
"17","60ed709632fe290990f0ca64","svTrial","survey",24,1476390,"0.0-2.0-22.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"5623","Akita_large_pos_10_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",10,17,1,4,2,2,4,1,"84721","24","male","man","","caucasian","","No","",""
"18","60ed709632fe290990f0ca64","svTrial","survey",25,1484690,"0.0-2.0-23.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"8291","Okinawa_small_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,18,5,1,3,2,1,1,"84721","24","male","man","","caucasian","","No","",""
"19","60ed709632fe290990f0ca64","svTrial","survey",26,1491300,"0.0-2.0-24.0","65553732575bb29198a888d7","65565bdffa1f42364f6b649f",6,"6602","Hokkaido_large_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,19,2,3,4,2,2,1,"84721","24","male","man","","caucasian","","No","",""
