"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","60f705f462651bb6fadc67ac","svTrial","survey",8,58295,"0.0-2.0-6.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"21097","Hokkaido_small_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,1,4,4,2,5,3,1,"34608","29","male","man","","latino","","No","",""
"2","60f705f462651bb6fadc67ac","svTrial","survey",9,80351,"0.0-2.0-7.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"22042","Ishikawa_middle_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",7,2,2,2,4,2,2,1,"34608","29","male","man","","latino","","No","",""
"3","60f705f462651bb6fadc67ac","svTrial","survey",10,100736,"0.0-2.0-8.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"20375","Akita_middle_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,3,2,4,5,2,4,1,"34608","29","male","man","","latino","","No","",""
"4","60f705f462651bb6fadc67ac","svTrial","survey",11,115812,"0.0-2.0-9.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"15067","Akita_large_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",5,4,2,4,5,1,4,1,"34608","29","male","man","","latino","","No","",""
"5","60f705f462651bb6fadc67ac","svTrial","survey",12,127652,"0.0-2.0-10.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"11830","Toyama_large_sch_9_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",9,5,4,4,5,2,3,1,"34608","29","male","man","","latino","","No","",""
"6","60f705f462651bb6fadc67ac","svTrial","survey",13,165799,"0.0-2.0-11.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"38137","Tokyo_large_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,6,2,5,3,1,2,1,"34608","29","male","man","","latino","","No","",""
"7","60f705f462651bb6fadc67ac","svTrial","survey",14,182990,"0.0-2.0-12.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"17182","Akita_large_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",4,7,4,4,4,2,4,1,"34608","29","male","man","","latino","","No","",""
"8","60f705f462651bb6fadc67ac","svTrial","survey",15,195949,"0.0-2.0-13.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"12951","Okinawa_middle_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,8,2,5,4,4,3,1,"34608","29","male","man","","latino","","No","",""
"9","60f705f462651bb6fadc67ac","svTrial","survey",16,204874,"0.0-2.0-14.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"8916","Kanagawa_small_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,9,3,3,3,3,3,1,"34608","29","male","man","","latino","","No","",""
"10","60f705f462651bb6fadc67ac","svTrial","survey",17,230199,"0.0-2.0-15.0","65553732575bb29198a888d7","65565b8db323854a89d30c3f",5,"25317","Kanagawa_large_sch_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,10,4,4,4,2,2,1,"34608","29","male","man","","latino","","No","",""
