"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","60fd9135aaa2d80f12687450","svTrial","survey",8,96494,"0.0-2.0-6.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"19462","Niigata_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",10,1,3,3,4,2,4,1,"31763","33","male","man","","caucasian","","No","",""
"2","60fd9135aaa2d80f12687450","svTrial","survey",9,110804,"0.0-2.0-7.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"14292","Tokyo_small_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",1,2,4,2,5,4,3,1,"31763","33","male","man","","caucasian","","No","",""
"3","60fd9135aaa2d80f12687450","svTrial","survey",10,124347,"0.0-2.0-8.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"13532","Tokyo_large_pos_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,3,1,2,5,2,2,1,"31763","33","male","man","","caucasian","","No","",""
"4","60fd9135aaa2d80f12687450","svTrial","survey",11,144410,"0.0-2.0-9.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"20053","Kanagawa_middle_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",8,4,3,2,3,4,2,1,"31763","33","male","man","","caucasian","","No","",""
"5","60fd9135aaa2d80f12687450","svTrial","survey",12,161570,"0.0-2.0-10.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"17149","Tokyo_middle_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,5,2,2,3,2,2,1,"31763","33","male","man","","caucasian","","No","",""
"6","60fd9135aaa2d80f12687450","svTrial","survey",13,173797,"0.0-2.0-11.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"12215","Tokyo_small_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,6,4,3,4,2,2,1,"31763","33","male","man","","caucasian","","No","",""
"7","60fd9135aaa2d80f12687450","svTrial","survey",14,188756,"0.0-2.0-12.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"14951","Akita_small_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,7,2,2,3,3,2,1,"31763","33","male","man","","caucasian","","No","",""
"8","60fd9135aaa2d80f12687450","svTrial","survey",15,198534,"0.0-2.0-13.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"9767","Niigata_large_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",5,8,5,2,5,4,3,1,"31763","33","male","man","","caucasian","","No","",""
"9","60fd9135aaa2d80f12687450","svTrial","survey",16,212301,"0.0-2.0-14.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"13757","Okinawa_large_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",7,9,2,2,3,3,2,1,"31763","33","male","man","","caucasian","","No","",""
"10","60fd9135aaa2d80f12687450","svTrial","survey",17,223276,"0.0-2.0-15.0","65553732575bb29198a888d7","65565a0f9c4a8730b4fc0868",4,"10967","Toyama_middle_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",7,10,2,4,4,4,2,1,"31763","33","male","man","","caucasian","","No","",""
