"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","60fdab454b8c00448c10fa27","svTrial","survey",8,183262,"0.0-2.0-6.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"81729","Toyama_middle_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,1,2,2,3,2,2,1,"95405","28","male","man","","caucasian","","No","",""
"2","60fdab454b8c00448c10fa27","svTrial","survey",9,215518,"0.0-2.0-7.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"32237","Okinawa_large_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,2,3,1,4,2,4,1,"95405","28","male","man","","caucasian","","No","",""
"3","60fdab454b8c00448c10fa27","svTrial","survey",10,255876,"0.0-2.0-8.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"40341","Ishikawa_middle_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",1,3,1,1,4,1,1,1,"95405","28","male","man","","caucasian","","No","",""
"4","60fdab454b8c00448c10fa27","svTrial","survey",11,358057,"0.0-2.0-9.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"102164","Niigata_large_sch_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",7,4,1,1,2,2,2,1,"95405","28","male","man","","caucasian","","No","",""
"5","60fdab454b8c00448c10fa27","svTrial","survey",12,384852,"0.0-2.0-10.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"26779","Ishikawa_large_sch_10_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",10,5,1,1,2,1,1,1,"95405","28","male","man","","caucasian","","No","",""
"6","60fdab454b8c00448c10fa27","svTrial","survey",13,448756,"0.0-2.0-11.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"63890","Toyama_large_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",1,6,1,1,1,1,1,1,"95405","28","male","man","","caucasian","","No","",""
"7","60fdab454b8c00448c10fa27","svTrial","survey",14,508799,"0.0-2.0-12.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"60028","Okinawa_middle_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",3,7,4,3,2,3,3,1,"95405","28","male","man","","caucasian","","No","",""
"8","60fdab454b8c00448c10fa27","svTrial","survey",15,536534,"0.0-2.0-13.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"27711","Okinawa_middle_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,8,1,1,3,2,3,1,"95405","28","male","man","","caucasian","","No","",""
"9","60fdab454b8c00448c10fa27","svTrial","survey",16,551086,"0.0-2.0-14.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"14539","Akita_middle_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",8,9,1,1,1,1,1,1,"95405","28","male","man","","caucasian","","No","",""
"10","60fdab454b8c00448c10fa27","svTrial","survey",17,574023,"0.0-2.0-15.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"22926","Niigata_large_pos_11_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",11,10,3,2,2,2,3,1,"95405","28","male","man","","caucasian","","No","",""
"11","60fdab454b8c00448c10fa27","svTrial","survey",18,590755,"0.0-2.0-16.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"16720","Okinawa_large_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",5,11,3,2,3,3,2,1,"95405","28","male","man","","caucasian","","No","",""
"12","60fdab454b8c00448c10fa27","svTrial","survey",19,618666,"0.0-2.0-17.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"27898","Hokkaido_large_pos_10_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",10,12,2,2,1,2,2,1,"95405","28","male","man","","caucasian","","No","",""
"13","60fdab454b8c00448c10fa27","svTrial","survey",20,749396,"0.0-2.0-18.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"130715","Toyama_large_pos_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",6,13,5,2,4,2,2,1,"95405","28","male","man","","caucasian","","No","",""
"14","60fdab454b8c00448c10fa27","svTrial","survey",21,793719,"0.0-2.0-19.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"44311","Tokyo_middle_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",2,14,1,3,4,2,3,1,"95405","28","male","man","","caucasian","","No","",""
"15","60fdab454b8c00448c10fa27","svTrial","survey",22,844074,"0.0-2.0-20.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"50341","Tokyo_large_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,15,5,4,5,5,4,1,"95405","28","male","man","","caucasian","","No","",""
"16","60fdab454b8c00448c10fa27","svTrial","survey",23,890388,"0.0-2.0-21.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"46303","Akita_large_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,16,5,2,4,3,3,1,"95405","28","male","man","","caucasian","","No","",""
"17","60fdab454b8c00448c10fa27","svTrial","survey",24,922495,"0.0-2.0-22.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"32093","Niigata_large_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",5,17,4,4,4,4,4,1,"95405","28","male","man","","caucasian","","No","",""
"18","60fdab454b8c00448c10fa27","svTrial","survey",25,947554,"0.0-2.0-23.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"25047","Akita_middle_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",5,18,1,1,4,1,1,1,"95405","28","male","man","","caucasian","","No","",""
"19","60fdab454b8c00448c10fa27","svTrial","survey",26,975535,"0.0-2.0-24.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"27968","Hokkaido_large_pos_9_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",9,19,5,4,4,3,3,1,"95405","28","male","man","","caucasian","","No","",""
"20","60fdab454b8c00448c10fa27","svTrial","survey",27,994919,"0.0-2.0-25.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"19373","Hokkaido_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",2,20,4,4,5,3,4,1,"95405","28","male","man","","caucasian","","No","",""
"21","60fdab454b8c00448c10fa27","svTrial","survey",28,1019309,"0.0-2.0-26.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"24377","Akita_large_sch_12_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",12,21,4,3,2,3,3,1,"95405","28","male","man","","caucasian","","No","",""
"22","60fdab454b8c00448c10fa27","svTrial","survey",29,1041994,"0.0-2.0-27.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"22673","Okinawa_middle_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,22,2,2,3,2,2,1,"95405","28","male","man","","caucasian","","No","",""
"23","60fdab454b8c00448c10fa27","svTrial","survey",30,1064167,"0.0-2.0-28.0","65553732575bb29198a888d7","65565b6b2f351bb29015f92a",6,"22162","Ishikawa_small_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",3,23,2,1,2,4,2,1,"95405","28","male","man","","caucasian","","No","",""
