"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","60fe009fbe876ea55251cdfd","svTrial","survey",8,363673,"0.0-2.0-6.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"71563","Okinawa_small_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,1,4,4,4,4,5,1,"","","man","","caucasian","","No","",""
"2","60fe009fbe876ea55251cdfd","svTrial","survey",9,406754,"0.0-2.0-7.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"43063","Okinawa_large_pos_9_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",9,2,4,5,2,2,3,1,"","","man","","caucasian","","No","",""
"3","60fe009fbe876ea55251cdfd","svTrial","survey",11,449592,"0.0-2.0-9.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"35148","Okinawa_large_sch_12_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",12,3,5,2,5,4,2,1,"","","man","","caucasian","","No","",""
"4","60fe009fbe876ea55251cdfd","svTrial","survey",12,490147,"0.0-2.0-10.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"40542","Toyama_large_sch_10_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",10,4,4,3,2,2,2,1,"","","man","","caucasian","","No","",""
"5","60fe009fbe876ea55251cdfd","svTrial","survey",13,519740,"0.0-2.0-11.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"29580","Kanagawa_large_sch_12_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",12,5,5,5,5,5,1,1,"","","man","","caucasian","","No","",""
"6","60fe009fbe876ea55251cdfd","svTrial","survey",14,554068,"0.0-2.0-12.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"34315","Kanagawa_middle_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",1,6,3,2,4,4,1,1,"","","man","","caucasian","","No","",""
"7","60fe009fbe876ea55251cdfd","svTrial","survey",15,581694,"0.0-2.0-13.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"27612","Hokkaido_large_sch_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,7,2,2,1,1,2,1,"","","man","","caucasian","","No","",""
"8","60fe009fbe876ea55251cdfd","svTrial","survey",16,618561,"0.0-2.0-14.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"36842","Akita_middle_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,8,5,5,2,1,4,1,"","","man","","caucasian","","No","",""
"9","60fe009fbe876ea55251cdfd","svTrial","survey",17,653920,"0.0-2.0-15.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"35345","Akita_middle_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",8,9,4,3,3,3,2,1,"","","man","","caucasian","","No","",""
"10","60fe009fbe876ea55251cdfd","svTrial","survey",18,760324,"0.0-2.0-16.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"106390","Akita_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",10,10,4,4,1,1,3,1,"","","man","","caucasian","","No","",""
