"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","60fece35afedb0bdd821592a","svTrial","survey",8,62608,"0.0-2.0-6.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"24716","Niigata_large_sch_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",7,1,5,2,5,5,3,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
"2","60fece35afedb0bdd821592a","svTrial","survey",9,82499,"0.0-2.0-7.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"19879","Hokkaido_large_sch_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,2,1,2,1,1,3,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
"3","60fece35afedb0bdd821592a","svTrial","survey",10,98847,"0.0-2.0-8.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"16337","Niigata_small_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",2,3,1,1,1,1,1,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
"4","60fece35afedb0bdd821592a","svTrial","survey",11,114244,"0.0-2.0-9.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"15388","Hokkaido_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",10,4,2,1,1,2,3,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
"5","60fece35afedb0bdd821592a","svTrial","survey",12,126611,"0.0-2.0-10.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"12357","Hokkaido_middle_pos_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,5,5,5,5,5,5,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
"6","60fece35afedb0bdd821592a","svTrial","survey",14,160329,"0.0-2.0-12.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"23927","Akita_large_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",5,6,4,4,3,4,5,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
"7","60fece35afedb0bdd821592a","svTrial","survey",15,175512,"0.0-2.0-13.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"15178","Tokyo_large_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,7,1,1,1,1,3,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
"8","60fece35afedb0bdd821592a","svTrial","survey",16,197235,"0.0-2.0-14.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"21714","Hokkaido_small_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",2,8,3,1,2,2,3,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
"9","60fece35afedb0bdd821592a","svTrial","survey",17,214002,"0.0-2.0-15.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"16758","Toyama_middle_sch_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,9,4,1,1,2,3,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
"10","60fece35afedb0bdd821592a","svTrial","survey",18,227567,"0.0-2.0-16.0","65553732575bb29198a888d7","65565aa0fcef5629d30d3b34",6,"13556","Toyama_large_pos_11_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",11,10,5,5,5,5,4,1,"30507","45","female","woman","","caucasian","","Yes","1 year","None, best of luck to you."
