"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","61003bb158741c6a1d79903b","svTrial","survey",8,143413,"0.0-2.0-6.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"34249","Hokkaido_large_sch_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",12,1,2,1,3,1,1,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"2","61003bb158741c6a1d79903b","svTrial","survey",9,167028,"0.0-2.0-7.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"23591","Okinawa_large_pos_12_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",12,2,3,1,4,3,2,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"3","61003bb158741c6a1d79903b","svTrial","survey",10,188549,"0.0-2.0-8.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"21494","Niigata_large_sch_11_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",11,3,5,2,4,3,2,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"4","61003bb158741c6a1d79903b","svTrial","survey",11,210081,"0.0-2.0-9.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"21513","Niigata_large_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",2,4,5,3,2,3,2,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"5","61003bb158741c6a1d79903b","svTrial","survey",12,226183,"0.0-2.0-10.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"16080","Kanagawa_large_pos_12_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",12,5,1,2,4,2,2,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"6","61003bb158741c6a1d79903b","svTrial","survey",13,236503,"0.0-2.0-11.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"10296","Toyama_middle_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",5,6,5,4,4,3,3,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"7","61003bb158741c6a1d79903b","svTrial","survey",14,251901,"0.0-2.0-12.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"15373","Niigata_large_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,7,3,3,2,4,3,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"8","61003bb158741c6a1d79903b","svTrial","survey",15,263421,"0.0-2.0-13.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"11498","Kanagawa_middle_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,8,5,4,2,4,2,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"9","61003bb158741c6a1d79903b","svTrial","survey",16,275157,"0.0-2.0-14.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"11718","Hokkaido_large_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,9,1,1,1,1,3,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"10","61003bb158741c6a1d79903b","svTrial","survey",17,287499,"0.0-2.0-15.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"12326","Niigata_small_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",1,10,2,2,4,2,4,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"11","61003bb158741c6a1d79903b","svTrial","survey",18,297664,"0.0-2.0-16.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"10150","Hokkaido_large_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,11,4,4,4,3,3,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"12","61003bb158741c6a1d79903b","svTrial","survey",19,306424,"0.0-2.0-17.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"8744","Akita_small_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",4,12,4,3,2,3,4,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"13","61003bb158741c6a1d79903b","svTrial","survey",20,323629,"0.0-2.0-18.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"17191","Niigata_large_sch_9_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",9,13,5,5,5,5,5,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"14","61003bb158741c6a1d79903b","svTrial","survey",21,336537,"0.0-2.0-19.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"12887","Tokyo_large_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",1,14,3,5,3,4,4,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"15","61003bb158741c6a1d79903b","svTrial","survey",22,345732,"0.0-2.0-20.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"9175","Kanagawa_small_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",2,15,3,2,3,2,3,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"16","61003bb158741c6a1d79903b","svTrial","survey",23,355631,"0.0-2.0-21.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"9883","Toyama_middle_pos_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,16,5,2,3,3,3,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"17","61003bb158741c6a1d79903b","svTrial","survey",24,368622,"0.0-2.0-22.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"12969","Kanagawa_middle_pos_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",7,17,2,4,3,3,2,1,"75035","50","female","woman","","south-asian","","Yes","25",""
"18","61003bb158741c6a1d79903b","svTrial","survey",25,381879,"0.0-2.0-23.0","65553732575bb29198a888d7","65565b867ce5630ac62d7077",1,"13238","Toyama_large_pos_10_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",10,18,2,3,4,2,4,1,"75035","50","female","woman","","south-asian","","Yes","25",""
