"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","610301137498dc46e622b491","svTrial","survey",8,74036,"0.0-2.0-6.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"25584","Tokyo_large_sch_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",6,1,4,4,3,4,3,1,"65201","22","female","woman","","caucasian","","No","",""
"2","610301137498dc46e622b491","svTrial","survey",9,94333,"0.0-2.0-7.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"20286","Tokyo_middle_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,2,2,2,3,1,1,1,"65201","22","female","woman","","caucasian","","No","",""
"3","610301137498dc46e622b491","svTrial","survey",10,107522,"0.0-2.0-8.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"13180","Akita_middle_pos_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",8,3,1,1,2,1,1,1,"65201","22","female","woman","","caucasian","","No","",""
"4","610301137498dc46e622b491","svTrial","survey",11,125769,"0.0-2.0-9.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"18237","Kanagawa_middle_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,4,2,2,1,1,1,1,"65201","22","female","woman","","caucasian","","No","",""
"5","610301137498dc46e622b491","svTrial","survey",12,143119,"0.0-2.0-10.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"17340","Hokkaido_small_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,5,1,1,1,2,1,1,"65201","22","female","woman","","caucasian","","No","",""
"6","610301137498dc46e622b491","svTrial","survey",13,171704,"0.0-2.0-11.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"28576","Ishikawa_middle_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",3,6,3,1,3,3,2,1,"65201","22","female","woman","","caucasian","","No","",""
"7","610301137498dc46e622b491","svTrial","survey",14,190727,"0.0-2.0-12.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"19012","Tokyo_large_pos_10_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",10,7,4,2,5,4,4,1,"65201","22","female","woman","","caucasian","","No","",""
"8","610301137498dc46e622b491","svTrial","survey",15,203480,"0.0-2.0-13.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"12744","Niigata_large_sch_12_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",12,8,1,1,1,1,1,1,"65201","22","female","woman","","caucasian","","No","",""
"9","610301137498dc46e622b491","svTrial","survey",16,234869,"0.0-2.0-14.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"31379","Toyama_large_sch_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",7,9,3,3,3,2,2,1,"65201","22","female","woman","","caucasian","","No","",""
"10","610301137498dc46e622b491","svTrial","survey",17,246779,"0.0-2.0-15.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"11901","Ishikawa_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,10,1,3,1,2,2,1,"65201","22","female","woman","","caucasian","","No","",""
"11","610301137498dc46e622b491","svTrial","survey",18,264773,"0.0-2.0-16.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"17985","Hokkaido_middle_pos_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,11,2,3,2,2,2,1,"65201","22","female","woman","","caucasian","","No","",""
"12","610301137498dc46e622b491","svTrial","survey",19,288058,"0.0-2.0-17.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"23277","Hokkaido_small_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",1,12,3,2,2,3,3,1,"65201","22","female","woman","","caucasian","","No","",""
"13","610301137498dc46e622b491","svTrial","survey",21,315971,"0.0-2.0-19.0","65553732575bb29198a888d7","6556535563aa3f2bd8908a1d",7,"23135","Niigata_large_sch_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,13,4,2,4,4,3,1,"65201","22","female","woman","","caucasian","","No","",""
