"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","610ad21c0586bfb21376e859","svTrial","survey",8,86909,"0.0-2.0-6.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"31265","Ishikawa_large_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,1,4,2,1,4,3,1,"37725","32","female","woman","","caucasian","","No","",""
"2","610ad21c0586bfb21376e859","svTrial","survey",9,108364,"0.0-2.0-7.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"21413","Hokkaido_middle_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,2,5,2,1,2,2,1,"37725","32","female","woman","","caucasian","","No","",""
"3","610ad21c0586bfb21376e859","svTrial","survey",10,127833,"0.0-2.0-8.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"19433","Kanagawa_middle_pos_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",6,3,2,4,2,3,3,1,"37725","32","female","woman","","caucasian","","No","",""
"4","610ad21c0586bfb21376e859","svTrial","survey",11,144691,"0.0-2.0-9.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"16823","Okinawa_large_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,4,4,1,1,2,2,1,"37725","32","female","woman","","caucasian","","No","",""
"5","610ad21c0586bfb21376e859","svTrial","survey",12,155933,"0.0-2.0-10.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"11208","Toyama_middle_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,5,1,1,1,1,1,1,"37725","32","female","woman","","caucasian","","No","",""
"6","610ad21c0586bfb21376e859","svTrial","survey",13,170022,"0.0-2.0-11.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"14053","Hokkaido_large_pos_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,6,3,3,1,3,3,1,"37725","32","female","woman","","caucasian","","No","",""
"7","610ad21c0586bfb21376e859","svTrial","survey",14,182763,"0.0-2.0-12.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"12702","Hokkaido_middle_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,7,1,2,1,2,2,1,"37725","32","female","woman","","caucasian","","No","",""
"8","610ad21c0586bfb21376e859","svTrial","survey",15,196154,"0.0-2.0-13.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"13337","Ishikawa_middle_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",6,8,1,1,1,1,1,1,"37725","32","female","woman","","caucasian","","No","",""
"9","610ad21c0586bfb21376e859","svTrial","survey",16,212707,"0.0-2.0-14.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"16515","Toyama_small_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,9,3,2,3,2,4,1,"37725","32","female","woman","","caucasian","","No","",""
"10","610ad21c0586bfb21376e859","svTrial","survey",17,225395,"0.0-2.0-15.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"12650","Tokyo_small_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,10,4,2,1,3,3,1,"37725","32","female","woman","","caucasian","","No","",""
"11","610ad21c0586bfb21376e859","svTrial","survey",18,227735,"0.0-2.0-16.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"2294","Kanagawa_large_pos_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",7,11,NA,NA,NA,NA,NA,1,"37725","32","female","woman","","caucasian","","No","",""
"12","610ad21c0586bfb21376e859","svTrial","survey",19,239094,"0.0-2.0-17.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"11327","Akita_large_pos_9_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",9,12,1,3,1,1,2,1,"37725","32","female","woman","","caucasian","","No","",""
"13","610ad21c0586bfb21376e859","svTrial","survey",20,252859,"0.0-2.0-18.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"13727","Akita_large_sch_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",10,13,5,1,2,2,2,1,"37725","32","female","woman","","caucasian","","No","",""
"14","610ad21c0586bfb21376e859","svTrial","survey",21,273173,"0.0-2.0-19.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"20290","Ishikawa_large_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,14,4,2,1,1,3,1,"37725","32","female","woman","","caucasian","","No","",""
"15","610ad21c0586bfb21376e859","svTrial","survey",22,291713,"0.0-2.0-20.0","65553732575bb29198a888d7","65565bb849595ee8db0a9db6",3,"18503","Toyama_large_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",8,15,1,2,1,1,2,1,"37725","32","female","woman","","caucasian","","No","",""
