"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","610df498456dbaeef682c7ca","svTrial","survey",8,81299,"0.0-2.0-6.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"24934","Tokyo_middle_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,1,3,3,1,1,1,1,"","","","southeast-asian","","No","",""
"2","610df498456dbaeef682c7ca","svTrial","survey",9,100246,"0.0-2.0-7.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"18885","Tokyo_middle_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,2,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"3","610df498456dbaeef682c7ca","svTrial","survey",11,114093,"0.0-2.0-9.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"8608","Akita_middle_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",3,3,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"4","610df498456dbaeef682c7ca","svTrial","survey",12,126979,"0.0-2.0-10.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"12849","Tokyo_large_pos_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",10,4,2,4,1,2,3,1,"","","","southeast-asian","","No","",""
"5","610df498456dbaeef682c7ca","svTrial","survey",13,140378,"0.0-2.0-11.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"13374","Hokkaido_large_pos_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,5,1,2,1,1,1,1,"","","","southeast-asian","","No","",""
"6","610df498456dbaeef682c7ca","svTrial","survey",14,168447,"0.0-2.0-12.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"28042","Toyama_large_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",3,6,1,4,1,2,4,1,"","","","southeast-asian","","No","",""
"7","610df498456dbaeef682c7ca","svTrial","survey",15,178954,"0.0-2.0-13.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"10476","Toyama_middle_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,7,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"8","610df498456dbaeef682c7ca","svTrial","survey",16,199608,"0.0-2.0-14.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"20622","Tokyo_large_pos_11_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",11,8,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"9","610df498456dbaeef682c7ca","svTrial","survey",17,223965,"0.0-2.0-15.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"24294","Ishikawa_large_sch_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",8,9,2,4,1,3,4,1,"","","","southeast-asian","","No","",""
"10","610df498456dbaeef682c7ca","svTrial","survey",18,235606,"0.0-2.0-16.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"11611","Okinawa_middle_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",8,10,3,2,2,2,2,1,"","","","southeast-asian","","No","",""
