"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","610e0dc76d43ecb6fea93855","svTrial","survey",8,131866,"0.0-2.0-6.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"32153","Akita_large_pos_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,1,4,4,2,4,4,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"2","610e0dc76d43ecb6fea93855","svTrial","survey",9,158875,"0.0-2.0-7.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"26994","Okinawa_large_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,2,1,4,1,1,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"3","610e0dc76d43ecb6fea93855","svTrial","survey",10,185191,"0.0-2.0-8.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"26304","Ishikawa_middle_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",1,3,2,2,1,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"4","610e0dc76d43ecb6fea93855","svTrial","survey",11,213104,"0.0-2.0-9.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"27902","Okinawa_large_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,4,1,2,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"5","610e0dc76d43ecb6fea93855","svTrial","survey",12,243397,"0.0-2.0-10.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"30281","Akita_middle_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",5,5,1,1,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"6","610e0dc76d43ecb6fea93855","svTrial","survey",13,262345,"0.0-2.0-11.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"18936","Hokkaido_middle_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,6,2,3,2,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"7","610e0dc76d43ecb6fea93855","svTrial","survey",14,278398,"0.0-2.0-12.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"16040","Akita_middle_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,7,1,2,1,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"8","610e0dc76d43ecb6fea93855","svTrial","survey",15,297208,"0.0-2.0-13.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"18799","Okinawa_large_sch_12_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",12,8,3,2,3,3,3,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"9","610e0dc76d43ecb6fea93855","svTrial","survey",16,312492,"0.0-2.0-14.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"15272","Niigata_large_pos_11_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",11,9,1,2,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"10","610e0dc76d43ecb6fea93855","svTrial","survey",17,323990,"0.0-2.0-15.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"11487","Hokkaido_large_sch_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,10,1,2,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"11","610e0dc76d43ecb6fea93855","svTrial","survey",18,336694,"0.0-2.0-16.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"12693","Toyama_large_sch_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",10,11,1,1,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"12","610e0dc76d43ecb6fea93855","svTrial","survey",19,344496,"0.0-2.0-17.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"7793","Tokyo_middle_pos_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",6,12,1,1,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"13","610e0dc76d43ecb6fea93855","svTrial","survey",20,361616,"0.0-2.0-18.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"17109","Ishikawa_large_sch_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",10,13,2,2,2,2,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"14","610e0dc76d43ecb6fea93855","svTrial","survey",21,376435,"0.0-2.0-19.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"14809","Ishikawa_large_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,14,3,2,2,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"15","610e0dc76d43ecb6fea93855","svTrial","survey",22,389139,"0.0-2.0-20.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"12691","Hokkaido_large_pos_9_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",9,15,1,4,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"16","610e0dc76d43ecb6fea93855","svTrial","survey",23,397632,"0.0-2.0-21.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"8481","Tokyo_middle_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",2,16,1,2,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"17","610e0dc76d43ecb6fea93855","svTrial","survey",24,409143,"0.0-2.0-22.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"11503","Okinawa_middle_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,17,2,4,2,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"18","610e0dc76d43ecb6fea93855","svTrial","survey",25,424171,"0.0-2.0-23.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"15018","Okinawa_small_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,18,3,4,3,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"19","610e0dc76d43ecb6fea93855","svTrial","survey",26,438208,"0.0-2.0-24.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"14026","Okinawa_middle_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,19,4,2,4,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"20","610e0dc76d43ecb6fea93855","svTrial","survey",27,450271,"0.0-2.0-25.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"12054","Okinawa_large_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",5,20,1,3,2,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"21","610e0dc76d43ecb6fea93855","svTrial","survey",28,463337,"0.0-2.0-26.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"13057","Akita_large_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",5,21,2,2,2,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"22","610e0dc76d43ecb6fea93855","svTrial","survey",29,477887,"0.0-2.0-27.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"14541","Toyama_large_pos_11_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",11,22,2,3,1,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"23","610e0dc76d43ecb6fea93855","svTrial","survey",30,489703,"0.0-2.0-28.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"11808","Kanagawa_large_sch_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",12,23,4,2,4,3,3,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"24","610e0dc76d43ecb6fea93855","svTrial","survey",31,499307,"0.0-2.0-29.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"9594","Niigata_large_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",5,24,1,3,2,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"25","610e0dc76d43ecb6fea93855","svTrial","survey",33,525469,"0.0-2.0-31.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"10392","Hokkaido_middle_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,25,2,3,2,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"26","610e0dc76d43ecb6fea93855","svTrial","survey",34,530817,"0.0-2.0-32.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"5340","Toyama_large_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",1,26,1,2,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"27","610e0dc76d43ecb6fea93855","svTrial","survey",35,539640,"0.0-2.0-33.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"8813","Okinawa_large_sch_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,27,1,2,2,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"28","610e0dc76d43ecb6fea93855","svTrial","survey",36,550983,"0.0-2.0-34.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"11335","Toyama_large_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",6,28,3,4,3,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"29","610e0dc76d43ecb6fea93855","svTrial","survey",37,565531,"0.0-2.0-35.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"14540","Ishikawa_large_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,29,3,3,4,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"30","610e0dc76d43ecb6fea93855","svTrial","survey",38,582875,"0.0-2.0-36.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"17336","Kanagawa_middle_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",1,30,2,2,2,3,3,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"31","610e0dc76d43ecb6fea93855","svTrial","survey",39,595827,"0.0-2.0-37.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"12943","Akita_large_pos_10_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",10,31,4,4,3,3,3,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"32","610e0dc76d43ecb6fea93855","svTrial","survey",40,609915,"0.0-2.0-38.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"14078","Hokkaido_large_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,32,3,2,3,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"33","610e0dc76d43ecb6fea93855","svTrial","survey",42,639993,"0.0-2.0-40.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"13535","Niigata_middle_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,33,2,3,4,3,3,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"34","610e0dc76d43ecb6fea93855","svTrial","survey",43,646209,"0.0-2.0-41.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"6208","Akita_middle_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",8,34,1,1,1,1,1,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"35","610e0dc76d43ecb6fea93855","svTrial","survey",44,655925,"0.0-2.0-42.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"9705","Niigata_small_pos_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",2,35,2,3,2,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"36","610e0dc76d43ecb6fea93855","svTrial","survey",45,673365,"0.0-2.0-43.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"17431","Okinawa_small_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,36,3,3,3,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
"37","610e0dc76d43ecb6fea93855","svTrial","survey",46,686913,"0.0-2.0-44.0","65553732575bb29198a888d7","65565c05a7abfac4c587b7fb",6,"13538","Okinawa_middle_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,37,2,3,2,2,2,1,"50158","41","male","man","","latino","","No","","this was great, i love japan and think this was where most images were from."
