"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","612fde55d251a3547b8e5766","svTrial","survey",9,99761,"0.0-2.0-7.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"22995","Okinawa_middle_sch_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",7,1,4,5,4,4,4,1,"83202","30","male","man","","caucasian","","Yes","2",""
"2","612fde55d251a3547b8e5766","svTrial","survey",10,115485,"0.0-2.0-8.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"15700","Ishikawa_large_sch_9_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",9,2,4,4,4,4,3,1,"83202","30","male","man","","caucasian","","Yes","2",""
"3","612fde55d251a3547b8e5766","svTrial","survey",11,131957,"0.0-2.0-9.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"16444","Niigata_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",10,3,2,3,2,3,2,1,"83202","30","male","man","","caucasian","","Yes","2",""
"4","612fde55d251a3547b8e5766","svTrial","survey",12,153933,"0.0-2.0-10.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"21953","Tokyo_middle_pos_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",8,4,4,3,3,4,4,1,"83202","30","male","man","","caucasian","","Yes","2",""
"5","612fde55d251a3547b8e5766","svTrial","survey",13,171490,"0.0-2.0-11.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"17528","Ishikawa_large_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",1,5,2,2,2,2,2,1,"83202","30","male","man","","caucasian","","Yes","2",""
"6","612fde55d251a3547b8e5766","svTrial","survey",14,187149,"0.0-2.0-12.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"15635","Toyama_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",2,6,2,2,2,2,2,1,"83202","30","male","man","","caucasian","","Yes","2",""
"7","612fde55d251a3547b8e5766","svTrial","survey",15,201812,"0.0-2.0-13.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"14637","Tokyo_small_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",1,7,4,3,4,4,4,1,"83202","30","male","man","","caucasian","","Yes","2",""
"8","612fde55d251a3547b8e5766","svTrial","survey",16,220491,"0.0-2.0-14.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"18660","Akita_large_sch_9_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",9,8,2,2,2,2,2,1,"83202","30","male","man","","caucasian","","Yes","2",""
"9","612fde55d251a3547b8e5766","svTrial","survey",17,234059,"0.0-2.0-15.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"13544","Kanagawa_middle_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",5,9,2,2,2,2,2,1,"83202","30","male","man","","caucasian","","Yes","2",""
"10","612fde55d251a3547b8e5766","svTrial","survey",18,253426,"0.0-2.0-16.0","65553732575bb29198a888d7","65565bac2e7f7d2b8ae2add6",4,"19347","Okinawa_small_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,10,2,1,1,2,2,1,"83202","30","male","man","","caucasian","","Yes","2",""
