"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","6135752aa4ee5158b0708670","svTrial","survey",8,275518,"0.0-2.0-6.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"60899","Akita_middle_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,1,3,1,3,1,1,1,"","30306","male","man","","caucasian","","No","",""
"2","6135752aa4ee5158b0708670","svTrial","survey",9,318903,"0.0-2.0-7.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"43360","Toyama_large_pos_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",10,2,2,1,3,1,1,1,"","30306","male","man","","caucasian","","No","",""
"3","6135752aa4ee5158b0708670","svTrial","survey",10,380581,"0.0-2.0-8.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"61658","Niigata_middle_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,3,3,2,3,2,2,1,"","30306","male","man","","caucasian","","No","",""
"4","6135752aa4ee5158b0708670","svTrial","survey",11,408163,"0.0-2.0-9.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"27563","Niigata_middle_sch_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",7,4,2,3,2,2,3,1,"","30306","male","man","","caucasian","","No","",""
"5","6135752aa4ee5158b0708670","svTrial","survey",12,459619,"0.0-2.0-10.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"51435","Hokkaido_middle_pos_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",6,5,1,2,1,1,1,1,"","30306","male","man","","caucasian","","No","",""
"6","6135752aa4ee5158b0708670","svTrial","survey",13,1726900,"0.0-2.0-11.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"1267262","Hokkaido_middle_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,6,4,5,2,2,3,1,"","30306","male","man","","caucasian","","No","",""
"7","6135752aa4ee5158b0708670","svTrial","survey",14,1816386,"0.0-2.0-12.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"89469","Niigata_large_sch_9_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",9,7,5,3,3,4,3,1,"","30306","male","man","","caucasian","","No","",""
"8","6135752aa4ee5158b0708670","svTrial","survey",15,1835419,"0.0-2.0-13.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"19015","Okinawa_large_sch_11_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",11,8,2,3,5,1,2,1,"","30306","male","man","","caucasian","","No","",""
"9","6135752aa4ee5158b0708670","svTrial","survey",16,1846084,"0.0-2.0-14.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"10641","Kanagawa_large_pos_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",12,9,3,2,2,1,2,1,"","30306","male","man","","caucasian","","No","",""
"10","6135752aa4ee5158b0708670","svTrial","survey",17,1857885,"0.0-2.0-15.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"11782","Okinawa_large_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",6,10,1,4,4,2,5,1,"","30306","male","man","","caucasian","","No","",""
"11","6135752aa4ee5158b0708670","svTrial","survey",18,1901102,"0.0-2.0-16.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"43198","Tokyo_large_sch_9_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",9,11,4,4,3,1,3,1,"","30306","male","man","","caucasian","","No","",""
"12","6135752aa4ee5158b0708670","svTrial","survey",19,1924684,"0.0-2.0-17.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"23557","Niigata_small_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",4,12,1,1,3,1,1,1,"","30306","male","man","","caucasian","","No","",""
"13","6135752aa4ee5158b0708670","svTrial","survey",20,1934203,"0.0-2.0-18.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"9502","Niigata_middle_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,13,1,1,1,1,1,1,"","30306","male","man","","caucasian","","No","",""
"14","6135752aa4ee5158b0708670","svTrial","survey",21,2103043,"0.0-2.0-19.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"168822","Tokyo_large_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",4,14,3,1,5,5,5,1,"","30306","male","man","","caucasian","","No","",""
"15","6135752aa4ee5158b0708670","svTrial","survey",22,2140421,"0.0-2.0-20.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"37357","Akita_large_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",2,15,5,5,5,3,4,1,"","30306","male","man","","caucasian","","No","",""
"16","6135752aa4ee5158b0708670","svTrial","survey",23,2160692,"0.0-2.0-21.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"20250","Niigata_large_sch_10_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",10,16,2,3,3,3,1,1,"","30306","male","man","","caucasian","","No","",""
"17","6135752aa4ee5158b0708670","svTrial","survey",24,2304219,"0.0-2.0-22.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"143508","Toyama_middle_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",5,17,5,5,5,4,5,1,"","30306","male","man","","caucasian","","No","",""
"18","6135752aa4ee5158b0708670","svTrial","survey",25,2314587,"0.0-2.0-23.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"10349","Niigata_large_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",2,18,5,5,5,5,5,1,"","30306","male","man","","caucasian","","No","",""
"19","6135752aa4ee5158b0708670","svTrial","survey",26,2359507,"0.0-2.0-24.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"44903","Niigata_small_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",1,19,2,1,1,1,1,1,"","30306","male","man","","caucasian","","No","",""
"20","6135752aa4ee5158b0708670","svTrial","survey",27,2387163,"0.0-2.0-25.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"27639","Hokkaido_large_sch_12_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",12,20,4,2,3,1,2,1,"","30306","male","man","","caucasian","","No","",""
"21","6135752aa4ee5158b0708670","svTrial","survey",28,2399404,"0.0-2.0-26.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"12220","Ishikawa_large_pos_11_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",11,21,2,3,3,2,2,1,"","30306","male","man","","caucasian","","No","",""
"22","6135752aa4ee5158b0708670","svTrial","survey",29,2415051,"0.0-2.0-27.0","65553732575bb29198a888d7","65565dd1023531d49623b70e",1,"15627","Ishikawa_middle_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",3,22,3,2,1,1,2,1,"","30306","male","man","","caucasian","","No","",""
