"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","6138c06bd7d7f2b7720e7a27","svTrial","survey",8,49494,"0.0-2.0-6.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"6599","Akita_large_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,1,2,3,3,2,4,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"2","6138c06bd7d7f2b7720e7a27","svTrial","survey",9,55263,"0.0-2.0-7.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"5753","Toyama_large_pos_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",12,2,3,2,4,2,4,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"3","6138c06bd7d7f2b7720e7a27","svTrial","survey",10,59503,"0.0-2.0-8.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"4226","Okinawa_small_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",3,3,3,2,4,2,4,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"4","6138c06bd7d7f2b7720e7a27","svTrial","survey",11,66479,"0.0-2.0-9.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"6958","Hokkaido_middle_sch_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,4,4,3,2,4,3,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"5","6138c06bd7d7f2b7720e7a27","svTrial","survey",12,72814,"0.0-2.0-10.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"6319","Toyama_large_pos_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",5,5,2,4,2,4,3,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"6","6138c06bd7d7f2b7720e7a27","svTrial","survey",13,77974,"0.0-2.0-11.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"5147","Hokkaido_middle_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",1,6,2,3,2,2,4,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"7","6138c06bd7d7f2b7720e7a27","svTrial","survey",14,82862,"0.0-2.0-12.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"4875","Akita_large_sch_10_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",10,7,2,4,3,2,4,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"8","6138c06bd7d7f2b7720e7a27","svTrial","survey",15,88726,"0.0-2.0-13.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"5851","Hokkaido_middle_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,8,4,2,2,3,3,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"9","6138c06bd7d7f2b7720e7a27","svTrial","survey",16,93798,"0.0-2.0-14.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"5058","Niigata_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,9,4,2,3,2,3,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"10","6138c06bd7d7f2b7720e7a27","svTrial","survey",17,101294,"0.0-2.0-15.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"7482","Ishikawa_middle_pos_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",6,10,2,4,3,2,4,0,"18976","26","female","woman","","caucasian","","No","","No comments."
"11","6138c06bd7d7f2b7720e7a27","svTrial","survey",18,105663,"0.0-2.0-16.0","65553732575bb29198a888d7","65565a8cabd9003cca3b9b71",3,"4357","Toyama_large_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,11,3,2,3,2,3,0,"18976","26","female","woman","","caucasian","","No","","No comments."
