"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","61576fbbfb9cde36db31382b","svTrial","survey",8,113338,"0.0-2.0-6.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"22850","Ishikawa_large_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,1,4,4,4,2,2,1,"94580","42","male","man","","other","Multi","No","",""
"2","61576fbbfb9cde36db31382b","svTrial","survey",9,132800,"0.0-2.0-7.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"19452","Hokkaido_middle_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,2,4,2,4,2,2,1,"94580","42","male","man","","other","Multi","No","",""
"3","61576fbbfb9cde36db31382b","svTrial","survey",10,153695,"0.0-2.0-8.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"20887","Okinawa_middle_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,3,2,4,3,4,2,1,"94580","42","male","man","","other","Multi","No","",""
"4","61576fbbfb9cde36db31382b","svTrial","survey",11,170614,"0.0-2.0-9.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"16913","Niigata_middle_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,4,2,1,3,1,1,1,"94580","42","male","man","","other","Multi","No","",""
"5","61576fbbfb9cde36db31382b","svTrial","survey",12,185726,"0.0-2.0-10.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"15105","Okinawa_large_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,5,1,2,1,1,1,1,"94580","42","male","man","","other","Multi","No","",""
"6","61576fbbfb9cde36db31382b","svTrial","survey",13,198630,"0.0-2.0-11.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"12897","Niigata_small_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",2,6,1,1,1,1,1,1,"94580","42","male","man","","other","Multi","No","",""
"7","61576fbbfb9cde36db31382b","svTrial","survey",14,206454,"0.0-2.0-12.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"7816","Akita_middle_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",8,7,1,1,1,1,1,1,"94580","42","male","man","","other","Multi","No","",""
"8","61576fbbfb9cde36db31382b","svTrial","survey",15,219326,"0.0-2.0-13.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"12865","Toyama_large_sch_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",10,8,2,2,2,1,1,1,"94580","42","male","man","","other","Multi","No","",""
"9","61576fbbfb9cde36db31382b","svTrial","survey",16,233454,"0.0-2.0-14.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"14122","Okinawa_large_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,9,3,2,3,3,2,1,"94580","42","male","man","","other","Multi","No","",""
"10","61576fbbfb9cde36db31382b","svTrial","survey",17,247334,"0.0-2.0-15.0","65553732575bb29198a888d7","655655d268543d44d0871f57",6,"13873","Akita_middle_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,10,1,1,1,1,1,1,"94580","42","male","man","","other","Multi","No","",""
