"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","62b33e2a447824fbd0770025","svTrial","survey",8,85333,"0.0-2.0-6.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"19214","Toyama_large_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,1,2,3,2,3,2,1,"23455","27","female","woman","","southeast-asian","","No","",""
"2","62b33e2a447824fbd0770025","svTrial","survey",9,95949,"0.0-2.0-7.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"10586","Akita_middle_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",2,2,1,2,3,2,1,1,"23455","27","female","woman","","southeast-asian","","No","",""
"3","62b33e2a447824fbd0770025","svTrial","survey",10,114462,"0.0-2.0-8.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"18489","Tokyo_large_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,3,4,3,4,3,4,1,"23455","27","female","woman","","southeast-asian","","No","",""
"4","62b33e2a447824fbd0770025","svTrial","survey",11,123433,"0.0-2.0-9.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"8953","Hokkaido_middle_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",7,4,3,4,3,3,2,1,"23455","27","female","woman","","southeast-asian","","No","",""
"5","62b33e2a447824fbd0770025","svTrial","survey",12,129535,"0.0-2.0-10.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"6083","Tokyo_middle_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,5,3,4,2,3,4,1,"23455","27","female","woman","","southeast-asian","","No","",""
"6","62b33e2a447824fbd0770025","svTrial","survey",13,139662,"0.0-2.0-11.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"10106","Kanagawa_middle_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",7,6,2,3,2,2,3,1,"23455","27","female","woman","","southeast-asian","","No","",""
"7","62b33e2a447824fbd0770025","svTrial","survey",14,151363,"0.0-2.0-12.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"11684","Niigata_small_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",3,7,1,2,3,4,2,1,"23455","27","female","woman","","southeast-asian","","No","",""
"8","62b33e2a447824fbd0770025","svTrial","survey",15,158835,"0.0-2.0-13.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"7453","Ishikawa_large_sch_11_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",11,8,2,3,3,2,3,1,"23455","27","female","woman","","southeast-asian","","No","",""
"9","62b33e2a447824fbd0770025","svTrial","survey",16,165609,"0.0-2.0-14.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"6754","Okinawa_middle_pos_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",8,9,3,4,2,2,3,1,"23455","27","female","woman","","southeast-asian","","No","",""
"10","62b33e2a447824fbd0770025","svTrial","survey",17,173516,"0.0-2.0-15.0","65553732575bb29198a888d7","65565a758d85b61c6d7911be",8,"7889","Toyama_middle_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",6,10,3,2,3,3,2,1,"23455","27","female","woman","","southeast-asian","","No","",""
