"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","63254db937c17e8e9200fd54","svTrial","survey",8,100641,"0.0-2.0-6.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"41818","Hokkaido_middle_pos_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",8,1,3,2,2,2,1,1,"33130","27","male","man","","latino","","No","",""
"2","63254db937c17e8e9200fd54","svTrial","survey",9,112866,"0.0-2.0-7.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"12217","Kanagawa_middle_pos_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",3,2,1,1,1,1,1,1,"33130","27","male","man","","latino","","No","",""
"3","63254db937c17e8e9200fd54","svTrial","survey",10,126433,"0.0-2.0-8.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"13561","Kanagawa_large_sch_9_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",9,3,2,2,2,2,2,1,"33130","27","male","man","","latino","","No","",""
"4","63254db937c17e8e9200fd54","svTrial","survey",11,137366,"0.0-2.0-9.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"10928","Okinawa_large_sch_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",7,4,3,3,3,3,3,1,"33130","27","male","man","","latino","","No","",""
"5","63254db937c17e8e9200fd54","svTrial","survey",12,163502,"0.0-2.0-10.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"26130","Tokyo_large_sch_12_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",12,5,5,5,5,3,3,1,"33130","27","male","man","","latino","","No","",""
"6","63254db937c17e8e9200fd54","svTrial","survey",13,179644,"0.0-2.0-11.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"16138","Tokyo_middle_pos_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",8,6,4,4,4,3,3,1,"33130","27","male","man","","latino","","No","",""
"7","63254db937c17e8e9200fd54","svTrial","survey",14,191254,"0.0-2.0-12.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"11605","Okinawa_small_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,7,1,1,1,1,1,1,"33130","27","male","man","","latino","","No","",""
"8","63254db937c17e8e9200fd54","svTrial","survey",15,203641,"0.0-2.0-13.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"12382","Ishikawa_middle_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",5,8,1,1,1,1,1,1,"33130","27","male","man","","latino","","No","",""
"9","63254db937c17e8e9200fd54","svTrial","survey",16,229684,"0.0-2.0-14.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"26038","Hokkaido_large_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,9,1,1,1,1,1,1,"33130","27","male","man","","latino","","No","",""
"10","63254db937c17e8e9200fd54","svTrial","survey",17,245365,"0.0-2.0-15.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"15677","Tokyo_large_pos_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,10,1,1,1,1,1,1,"33130","27","male","man","","latino","","No","",""
"11","63254db937c17e8e9200fd54","svTrial","survey",18,260800,"0.0-2.0-16.0","65553732575bb29198a888d7","65566dc54b0751069c9b7586",4,"15431","Tokyo_middle_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,11,3,3,3,2,3,1,"33130","27","male","man","","latino","","No","",""
