"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","63d3f9666978779139a949bb","svTrial","survey",8,63253,"0.0-2.0-6.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"22255","Toyama_middle_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,1,2,2,4,2,1,1,"24015","31","male","man","","caucasian","","Yes","1",""
"2","63d3f9666978779139a949bb","svTrial","survey",9,88744,"0.0-2.0-7.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"25482","Toyama_large_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",7,2,3,2,4,2,2,1,"24015","31","male","man","","caucasian","","Yes","1",""
"3","63d3f9666978779139a949bb","svTrial","survey",10,107970,"0.0-2.0-8.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"19220","Niigata_large_sch_12_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",12,3,2,1,2,2,1,1,"24015","31","male","man","","caucasian","","Yes","1",""
"4","63d3f9666978779139a949bb","svTrial","survey",11,123304,"0.0-2.0-9.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"15328","Kanagawa_large_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",1,4,1,2,5,1,1,1,"24015","31","male","man","","caucasian","","Yes","1",""
"5","63d3f9666978779139a949bb","svTrial","survey",12,141531,"0.0-2.0-10.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"18221","Okinawa_middle_sch_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",8,5,3,2,4,2,2,1,"24015","31","male","man","","caucasian","","Yes","1",""
"6","63d3f9666978779139a949bb","svTrial","survey",13,154355,"0.0-2.0-11.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"12818","Hokkaido_middle_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,6,2,4,4,2,3,1,"24015","31","male","man","","caucasian","","Yes","1",""
"7","63d3f9666978779139a949bb","svTrial","survey",14,166098,"0.0-2.0-12.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"11739","Okinawa_middle_sch_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,7,1,3,1,1,2,1,"24015","31","male","man","","caucasian","","Yes","1",""
"8","63d3f9666978779139a949bb","svTrial","survey",15,180278,"0.0-2.0-13.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"14175","Akita_middle_pos_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",8,8,4,3,3,3,3,1,"24015","31","male","man","","caucasian","","Yes","1",""
"9","63d3f9666978779139a949bb","svTrial","survey",16,193968,"0.0-2.0-14.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"13685","Tokyo_large_pos_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",10,9,2,2,1,2,1,1,"24015","31","male","man","","caucasian","","Yes","1",""
"10","63d3f9666978779139a949bb","svTrial","survey",17,208172,"0.0-2.0-15.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"14200","Kanagawa_middle_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,10,2,2,4,2,2,1,"24015","31","male","man","","caucasian","","Yes","1",""
"11","63d3f9666978779139a949bb","svTrial","survey",18,223000,"0.0-2.0-16.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"14824","Hokkaido_large_sch_9_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",9,11,2,3,2,3,2,1,"24015","31","male","man","","caucasian","","Yes","1",""
"12","63d3f9666978779139a949bb","svTrial","survey",19,235257,"0.0-2.0-17.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"12252","Hokkaido_middle_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,12,1,1,1,1,1,1,"24015","31","male","man","","caucasian","","Yes","1",""
"13","63d3f9666978779139a949bb","svTrial","survey",20,242671,"0.0-2.0-18.0","65553732575bb29198a888d7","65565bf29085949a259cbd7f",7,"7409","Niigata_small_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",2,13,1,1,1,1,1,1,"24015","31","male","man","","caucasian","","Yes","1",""
