"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","63e54336ed7afb1425f7888f","svTrial","survey",8,63637,"0.0-2.0-6.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"15061","Hokkaido_small_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",2,1,1,1,1,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"2","63e54336ed7afb1425f7888f","svTrial","survey",9,84026,"0.0-2.0-7.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"20375","Niigata_large_pos_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",12,2,2,2,1,2,2,1,"02886","22","male","man","","caucasian","","No","",""
"3","63e54336ed7afb1425f7888f","svTrial","survey",10,104613,"0.0-2.0-8.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"20577","Akita_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",10,3,4,3,3,2,3,1,"02886","22","male","man","","caucasian","","No","",""
"4","63e54336ed7afb1425f7888f","svTrial","survey",11,116365,"0.0-2.0-9.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"11742","Akita_middle_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",5,4,1,1,3,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"5","63e54336ed7afb1425f7888f","svTrial","survey",12,126624,"0.0-2.0-10.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"10248","Niigata_small_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",2,5,1,1,2,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"6","63e54336ed7afb1425f7888f","svTrial","survey",13,137895,"0.0-2.0-11.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"11261","Niigata_middle_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,6,1,1,1,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"7","63e54336ed7afb1425f7888f","svTrial","survey",14,143796,"0.0-2.0-12.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"5893","Toyama_large_pos_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",6,7,1,1,1,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"8","63e54336ed7afb1425f7888f","svTrial","survey",15,152919,"0.0-2.0-13.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"9114","Okinawa_middle_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,8,1,1,NA,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"9","63e54336ed7afb1425f7888f","svTrial","survey",16,158192,"0.0-2.0-14.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"5264","Ishikawa_large_pos_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,9,1,1,1,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"10","63e54336ed7afb1425f7888f","svTrial","survey",17,162101,"0.0-2.0-15.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"3900","Niigata_large_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",7,10,1,1,1,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"11","63e54336ed7afb1425f7888f","svTrial","survey",18,167453,"0.0-2.0-16.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"5344","Hokkaido_large_pos_10_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",10,11,1,1,1,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"12","63e54336ed7afb1425f7888f","svTrial","survey",19,177450,"0.0-2.0-17.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"9989","Okinawa_large_sch_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,12,3,2,2,3,3,1,"02886","22","male","man","","caucasian","","No","",""
"13","63e54336ed7afb1425f7888f","svTrial","survey",20,186568,"0.0-2.0-18.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"9110","Toyama_large_sch_10_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",10,13,1,1,1,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"14","63e54336ed7afb1425f7888f","svTrial","survey",21,192605,"0.0-2.0-19.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"6029","Akita_large_pos_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,14,1,1,1,1,1,1,"02886","22","male","man","","caucasian","","No","",""
"15","63e54336ed7afb1425f7888f","svTrial","survey",22,204452,"0.0-2.0-20.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"11839","Tokyo_middle_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",2,15,3,2,1,4,4,1,"02886","22","male","man","","caucasian","","No","",""
"16","63e54336ed7afb1425f7888f","svTrial","survey",23,248680,"0.0-2.0-21.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"44219","Okinawa_large_pos_9_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",9,16,4,4,2,3,3,1,"02886","22","male","man","","caucasian","","No","",""
"17","63e54336ed7afb1425f7888f","svTrial","survey",24,252825,"0.0-2.0-22.0","65553732575bb29198a888d7","65565a95854c0053b829e72f",6,"4136","Ishikawa_small_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",3,17,1,1,1,1,1,1,"02886","22","male","man","","caucasian","","No","",""
