"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","63ebbd7af1c80715178e5586","svTrial","survey",8,65758,"0.0-2.0-6.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"25874","Niigata_middle_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,1,2,4,4,3,4,1,"48127","30","male","man","","middle-eastern","","No","",""
"2","63ebbd7af1c80715178e5586","svTrial","survey",9,84599,"0.0-2.0-7.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"18829","Kanagawa_large_pos_11_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",11,2,2,4,5,2,4,1,"48127","30","male","man","","middle-eastern","","No","",""
"3","63ebbd7af1c80715178e5586","svTrial","survey",10,102790,"0.0-2.0-8.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"18182","Niigata_middle_pos_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",4,3,4,4,5,3,4,1,"48127","30","male","man","","middle-eastern","","No","",""
"4","63ebbd7af1c80715178e5586","svTrial","survey",11,118006,"0.0-2.0-9.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"15207","Ishikawa_small_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",2,4,5,1,4,4,3,1,"48127","30","male","man","","middle-eastern","","No","",""
"5","63ebbd7af1c80715178e5586","svTrial","survey",12,129387,"0.0-2.0-10.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"11372","Niigata_small_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",3,5,2,2,2,3,3,1,"48127","30","male","man","","middle-eastern","","No","",""
"6","63ebbd7af1c80715178e5586","svTrial","survey",13,151217,"0.0-2.0-11.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"21822","Tokyo_middle_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,6,3,4,4,4,3,1,"48127","30","male","man","","middle-eastern","","No","",""
"7","63ebbd7af1c80715178e5586","svTrial","survey",14,166952,"0.0-2.0-12.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"15727","Tokyo_middle_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,7,4,2,2,4,3,1,"48127","30","male","man","","middle-eastern","","No","",""
"8","63ebbd7af1c80715178e5586","svTrial","survey",15,188364,"0.0-2.0-13.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"21405","Tokyo_large_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",8,8,4,3,2,4,4,1,"48127","30","male","man","","middle-eastern","","No","",""
"9","63ebbd7af1c80715178e5586","svTrial","survey",16,276800,"0.0-2.0-14.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"88427","Tokyo_large_pos_9_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",9,9,2,2,5,4,3,1,"48127","30","male","man","","middle-eastern","","No","",""
"10","63ebbd7af1c80715178e5586","svTrial","survey",18,303452,"0.0-2.0-16.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"21256","Toyama_middle_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",6,10,1,2,3,1,3,1,"48127","30","male","man","","middle-eastern","","No","",""
"11","63ebbd7af1c80715178e5586","svTrial","survey",19,319255,"0.0-2.0-17.0","65553732575bb29198a888d7","655659f669eff2d0d384972c",8,"15796","Kanagawa_small_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",4,11,4,2,3,4,2,1,"48127","30","male","man","","middle-eastern","","No","",""
