"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","63ecea8502b357005ab3311a","svTrial","survey",8,170388,"0.0-2.0-6.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"42637","Niigata_large_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,1,2,3,3,3,NA,1,"23120","47","female","woman","","caucasian","","No","",""
"2","63ecea8502b357005ab3311a","svTrial","survey",9,214323,"0.0-2.0-7.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"43924","Toyama_middle_pos_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,2,2,2,2,1,2,1,"23120","47","female","woman","","caucasian","","No","",""
"3","63ecea8502b357005ab3311a","svTrial","survey",10,238111,"0.0-2.0-8.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"23776","Kanagawa_middle_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",7,3,2,2,3,2,2,1,"23120","47","female","woman","","caucasian","","No","",""
"4","63ecea8502b357005ab3311a","svTrial","survey",12,272302,"0.0-2.0-10.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"27021","Okinawa_large_pos_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",10,4,2,3,3,3,3,1,"23120","47","female","woman","","caucasian","","No","",""
"5","63ecea8502b357005ab3311a","svTrial","survey",13,292382,"0.0-2.0-11.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"20070","Niigata_large_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",2,5,2,1,1,1,1,1,"23120","47","female","woman","","caucasian","","No","",""
"6","63ecea8502b357005ab3311a","svTrial","survey",14,312502,"0.0-2.0-12.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"20112","Kanagawa_small_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",2,6,3,1,3,2,2,1,"23120","47","female","woman","","caucasian","","No","",""
"7","63ecea8502b357005ab3311a","svTrial","survey",15,346558,"0.0-2.0-13.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"34048","Hokkaido_middle_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",2,7,2,1,1,2,1,1,"23120","47","female","woman","","caucasian","","No","",""
"8","63ecea8502b357005ab3311a","svTrial","survey",16,367366,"0.0-2.0-14.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"20799","Hokkaido_large_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,8,3,2,3,2,2,1,"23120","47","female","woman","","caucasian","","No","",""
"9","63ecea8502b357005ab3311a","svTrial","survey",17,389157,"0.0-2.0-15.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"21783","Kanagawa_middle_sch_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,9,3,3,3,3,2,1,"23120","47","female","woman","","caucasian","","No","",""
"10","63ecea8502b357005ab3311a","svTrial","survey",18,405894,"0.0-2.0-16.0","65553732575bb29198a888d7","6556537abf5497611df8b9cc",1,"16728","Okinawa_large_pos_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",12,10,3,3,3,3,2,1,"23120","47","female","woman","","caucasian","","No","",""
