"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","641be1c8572bb1a8dc26c801","svTrial","survey",8,161730,"0.0-2.0-6.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"43628","Okinawa_middle_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,1,5,1,1,3,1,1,"32757","37","male","man","","caucasian","","Yes","3",""
"2","641be1c8572bb1a8dc26c801","svTrial","survey",9,184518,"0.0-2.0-7.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"22761","Okinawa_large_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,2,1,3,3,2,3,1,"32757","37","male","man","","caucasian","","Yes","3",""
"3","641be1c8572bb1a8dc26c801","svTrial","survey",10,210771,"0.0-2.0-8.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"26229","Toyama_large_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",1,3,4,1,2,3,2,1,"32757","37","male","man","","caucasian","","Yes","3",""
"4","641be1c8572bb1a8dc26c801","svTrial","survey",11,234516,"0.0-2.0-9.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"23719","Toyama_small_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,4,2,2,3,3,3,1,"32757","37","male","man","","caucasian","","Yes","3",""
"5","641be1c8572bb1a8dc26c801","svTrial","survey",12,255832,"0.0-2.0-10.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"21295","Tokyo_large_pos_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,5,2,2,2,1,1,1,"32757","37","male","man","","caucasian","","Yes","3",""
"6","641be1c8572bb1a8dc26c801","svTrial","survey",13,287583,"0.0-2.0-11.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"31727","Niigata_large_pos_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,6,4,3,4,2,2,1,"32757","37","male","man","","caucasian","","Yes","3",""
"7","641be1c8572bb1a8dc26c801","svTrial","survey",14,305202,"0.0-2.0-12.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"17593","Kanagawa_large_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",3,7,4,2,3,4,2,1,"32757","37","male","man","","caucasian","","Yes","3",""
"8","641be1c8572bb1a8dc26c801","svTrial","survey",15,321349,"0.0-2.0-13.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"16124","Hokkaido_middle_sch_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,8,1,2,2,1,1,1,"32757","37","male","man","","caucasian","","Yes","3",""
"9","641be1c8572bb1a8dc26c801","svTrial","survey",16,352916,"0.0-2.0-14.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"31510","Okinawa_large_sch_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",8,9,2,4,3,3,4,1,"32757","37","male","man","","caucasian","","Yes","3",""
"10","641be1c8572bb1a8dc26c801","svTrial","survey",17,380522,"0.0-2.0-15.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"27575","Toyama_middle_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",2,10,3,1,2,2,1,1,"32757","37","male","man","","caucasian","","Yes","3",""
"11","641be1c8572bb1a8dc26c801","svTrial","survey",18,404851,"0.0-2.0-16.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"24307","Niigata_large_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",8,11,3,2,3,4,3,1,"32757","37","male","man","","caucasian","","Yes","3",""
"12","641be1c8572bb1a8dc26c801","svTrial","survey",19,430211,"0.0-2.0-17.0","65553732575bb29198a888d7","65565c0a05360b06fabbdb09",2,"25345","Kanagawa_large_sch_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,12,4,2,2,3,3,1,"32757","37","male","man","","caucasian","","Yes","3",""
