"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","6438a96ad9b71b42fb842b16","svTrial","survey",8,120411,"0.0-2.0-6.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"31915","Okinawa_large_pos_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",8,1,3,4,4,1,4,1,"32712","64","female","woman","","caucasian","","No","","no"
"2","6438a96ad9b71b42fb842b16","svTrial","survey",9,149318,"0.0-2.0-7.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"28886","Toyama_small_pos_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",2,2,2,2,2,1,1,1,"32712","64","female","woman","","caucasian","","No","","no"
"3","6438a96ad9b71b42fb842b16","svTrial","survey",10,175093,"0.0-2.0-8.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"25758","Kanagawa_large_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,3,5,1,5,4,5,1,"32712","64","female","woman","","caucasian","","No","","no"
"4","6438a96ad9b71b42fb842b16","svTrial","survey",11,204387,"0.0-2.0-9.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"29281","Hokkaido_large_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,4,2,3,3,1,3,1,"32712","64","female","woman","","caucasian","","No","","no"
"5","6438a96ad9b71b42fb842b16","svTrial","survey",12,231336,"0.0-2.0-10.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"26934","Okinawa_small_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,5,2,4,4,3,3,1,"32712","64","female","woman","","caucasian","","No","","no"
"6","6438a96ad9b71b42fb842b16","svTrial","survey",13,251347,"0.0-2.0-11.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"19995","Akita_large_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,6,5,4,4,4,4,1,"32712","64","female","woman","","caucasian","","No","","no"
"7","6438a96ad9b71b42fb842b16","svTrial","survey",14,285624,"0.0-2.0-12.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"34265","Niigata_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",10,7,3,2,3,2,2,1,"32712","64","female","woman","","caucasian","","No","","no"
"8","6438a96ad9b71b42fb842b16","svTrial","survey",15,304404,"0.0-2.0-13.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"18768","Tokyo_large_pos_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,8,1,1,2,1,1,1,"32712","64","female","woman","","caucasian","","No","","no"
"9","6438a96ad9b71b42fb842b16","svTrial","survey",16,320488,"0.0-2.0-14.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"16072","Ishikawa_middle_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,9,1,1,1,1,1,1,"32712","64","female","woman","","caucasian","","No","","no"
"10","6438a96ad9b71b42fb842b16","svTrial","survey",18,351543,"0.0-2.0-16.0","65553732575bb29198a888d7","655659590fe4d596a330d5a4",4,"23937","Ishikawa_large_sch_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",2,10,4,3,5,2,3,1,"32712","64","female","woman","","caucasian","","No","","no"
