"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","6441b0f5f46c95a03b9ff02f","svTrial","survey",8,141638,"0.0-2.0-6.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"54859","Tokyo_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,1,4,3,4,2,3,1,"62226","42","female","woman","","caucasian","","No","",""
"2","6441b0f5f46c95a03b9ff02f","svTrial","survey",9,187332,"0.0-2.0-7.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"45652","Kanagawa_small_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",3,2,5,4,3,4,2,1,"62226","42","female","woman","","caucasian","","No","",""
"3","6441b0f5f46c95a03b9ff02f","svTrial","survey",10,224059,"0.0-2.0-8.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"36694","Tokyo_large_pos_2_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,3,1,3,4,1,2,1,"62226","42","female","woman","","caucasian","","No","",""
"4","6441b0f5f46c95a03b9ff02f","svTrial","survey",11,248410,"0.0-2.0-9.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"24314","Kanagawa_small_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,4,1,1,1,1,1,1,"62226","42","female","woman","","caucasian","","No","",""
"5","6441b0f5f46c95a03b9ff02f","svTrial","survey",12,283253,"0.0-2.0-10.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"34811","Akita_large_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,5,1,1,2,1,2,1,"62226","42","female","woman","","caucasian","","No","",""
"6","6441b0f5f46c95a03b9ff02f","svTrial","survey",13,309127,"0.0-2.0-11.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"25839","Hokkaido_small_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",3,6,2,3,2,3,2,1,"62226","42","female","woman","","caucasian","","No","",""
"7","6441b0f5f46c95a03b9ff02f","svTrial","survey",14,331526,"0.0-2.0-12.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"22370","Kanagawa_middle_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",4,7,1,1,5,1,1,1,"62226","42","female","woman","","caucasian","","No","",""
"8","6441b0f5f46c95a03b9ff02f","svTrial","survey",15,354558,"0.0-2.0-13.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"23003","Kanagawa_middle_sch_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",5,8,3,2,4,2,2,1,"62226","42","female","woman","","caucasian","","No","",""
"9","6441b0f5f46c95a03b9ff02f","svTrial","survey",16,383814,"0.0-2.0-14.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"29227","Okinawa_middle_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",3,9,2,1,3,2,2,1,"62226","42","female","woman","","caucasian","","No","",""
"10","6441b0f5f46c95a03b9ff02f","svTrial","survey",17,405028,"0.0-2.0-15.0","65553732575bb29198a888d7","6556558b2ca09e9ae387b74f",5,"21185","Toyama_middle_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",1,10,4,1,3,2,1,1,"62226","42","female","woman","","caucasian","","No","",""
