"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","644456244b8bca2f94fae056","svTrial","survey",8,240285,"0.0-2.0-6.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"57784","Tokyo_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",10,1,2,2,2,2,2,1,"13601","56","male","man","","caucasian","","No","",""
"2","644456244b8bca2f94fae056","svTrial","survey",9,270220,"0.0-2.0-7.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"29913","Ishikawa_large_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",7,2,3,2,3,2,2,1,"13601","56","male","man","","caucasian","","No","",""
"3","644456244b8bca2f94fae056","svTrial","survey",10,301883,"0.0-2.0-8.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"31641","Tokyo_middle_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",4,3,2,2,3,2,2,1,"13601","56","male","man","","caucasian","","No","",""
"4","644456244b8bca2f94fae056","svTrial","survey",11,316721,"0.0-2.0-9.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"14821","Akita_small_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",3,4,1,1,1,1,1,1,"13601","56","male","man","","caucasian","","No","",""
"5","644456244b8bca2f94fae056","svTrial","survey",12,335519,"0.0-2.0-10.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"18781","Hokkaido_middle_pos_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,5,2,1,2,1,2,1,"13601","56","male","man","","caucasian","","No","",""
"6","644456244b8bca2f94fae056","svTrial","survey",13,361031,"0.0-2.0-11.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"25490","Niigata_large_sch_12_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",12,6,3,2,2,2,2,1,"13601","56","male","man","","caucasian","","No","",""
"7","644456244b8bca2f94fae056","svTrial","survey",14,379441,"0.0-2.0-12.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"18388","Hokkaido_large_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",8,7,1,1,1,1,1,1,"13601","56","male","man","","caucasian","","No","",""
"8","644456244b8bca2f94fae056","svTrial","survey",16,415152,"0.0-2.0-14.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"26153","Ishikawa_middle_sch_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,8,4,3,4,3,3,1,"13601","56","male","man","","caucasian","","No","",""
"9","644456244b8bca2f94fae056","svTrial","survey",17,433075,"0.0-2.0-15.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"17912","Tokyo_middle_sch_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,9,2,2,2,2,2,1,"13601","56","male","man","","caucasian","","No","",""
"10","644456244b8bca2f94fae056","svTrial","survey",18,458052,"0.0-2.0-16.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"24957","Tokyo_large_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,10,5,4,5,5,4,1,"13601","56","male","man","","caucasian","","No","",""
"11","644456244b8bca2f94fae056","svTrial","survey",19,488860,"0.0-2.0-17.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"30793","Niigata_large_pos_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",7,11,3,3,3,3,3,1,"13601","56","male","man","","caucasian","","No","",""
"12","644456244b8bca2f94fae056","svTrial","survey",20,512572,"0.0-2.0-18.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"23697","Niigata_large_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,12,5,3,5,4,4,1,"13601","56","male","man","","caucasian","","No","",""
"13","644456244b8bca2f94fae056","svTrial","survey",21,532351,"0.0-2.0-19.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"19755","Hokkaido_small_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",1,13,1,2,1,1,1,1,"13601","56","male","man","","caucasian","","No","",""
"14","644456244b8bca2f94fae056","svTrial","survey",22,546745,"0.0-2.0-20.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"14376","Ishikawa_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",2,14,1,2,2,1,2,1,"13601","56","male","man","","caucasian","","No","",""
"15","644456244b8bca2f94fae056","svTrial","survey",23,566343,"0.0-2.0-21.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"19584","Akita_middle_pos_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,15,4,3,3,3,3,1,"13601","56","male","man","","caucasian","","No","",""
"16","644456244b8bca2f94fae056","svTrial","survey",24,582537,"0.0-2.0-22.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"16182","Hokkaido_large_sch_9_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",9,16,2,2,2,2,2,1,"13601","56","male","man","","caucasian","","No","",""
"17","644456244b8bca2f94fae056","svTrial","survey",25,597667,"0.0-2.0-23.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"15120","Ishikawa_small_pos_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,17,1,1,1,1,1,1,"13601","56","male","man","","caucasian","","No","",""
"18","644456244b8bca2f94fae056","svTrial","survey",26,619125,"0.0-2.0-24.0","65553732575bb29198a888d7","65565bd369e65158ed81bd04",7,"21444","Tokyo_middle_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,18,1,2,2,2,1,1,"13601","56","male","man","","caucasian","","No","",""
