"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","65256fe93880231e2221e2d6","svTrial","survey",8,170930,"0.0-2.0-6.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"33413","Ishikawa_middle_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",5,1,3,1,3,2,2,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"2","65256fe93880231e2221e2d6","svTrial","survey",9,204040,"0.0-2.0-7.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"33096","Hokkaido_middle_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",7,2,2,2,3,2,3,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"3","65256fe93880231e2221e2d6","svTrial","survey",10,246572,"0.0-2.0-8.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"42521","Tokyo_middle_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",7,3,4,4,3,3,4,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"4","65256fe93880231e2221e2d6","svTrial","survey",11,272535,"0.0-2.0-9.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"25953","Kanagawa_middle_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",3,4,3,3,4,3,4,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"5","65256fe93880231e2221e2d6","svTrial","survey",12,294742,"0.0-2.0-10.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"22196","Toyama_middle_sch_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",7,5,1,2,3,1,1,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"6","65256fe93880231e2221e2d6","svTrial","survey",13,322072,"0.0-2.0-11.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"27322","Kanagawa_large_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,6,2,2,4,3,3,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"7","65256fe93880231e2221e2d6","svTrial","survey",14,341193,"0.0-2.0-12.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"19115","Akita_large_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,7,1,2,2,1,2,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"8","65256fe93880231e2221e2d6","svTrial","survey",15,408252,"0.0-2.0-13.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"67051","Hokkaido_large_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,8,1,3,2,2,3,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"9","65256fe93880231e2221e2d6","svTrial","survey",16,421197,"0.0-2.0-14.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"12936","Akita_large_sch_9_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",9,9,1,1,1,1,1,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"10","65256fe93880231e2221e2d6","svTrial","survey",17,456523,"0.0-2.0-15.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"35319","Niigata_large_pos_10_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",10,10,2,3,2,2,4,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"11","65256fe93880231e2221e2d6","svTrial","survey",18,473490,"0.0-2.0-16.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"16959","Okinawa_small_pos_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,11,3,3,3,3,4,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"12","65256fe93880231e2221e2d6","svTrial","survey",19,493851,"0.0-2.0-17.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"20351","Toyama_middle_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",3,12,3,2,3,2,3,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"13","65256fe93880231e2221e2d6","svTrial","survey",20,508117,"0.0-2.0-18.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"14258","Tokyo_large_pos_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,13,1,2,2,2,2,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"14","65256fe93880231e2221e2d6","svTrial","survey",21,526726,"0.0-2.0-19.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"18597","Kanagawa_middle_pos_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",8,14,1,4,2,2,5,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"15","65256fe93880231e2221e2d6","svTrial","survey",22,551420,"0.0-2.0-20.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"24686","Ishikawa_middle_sch_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",8,15,1,1,2,2,2,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"16","65256fe93880231e2221e2d6","svTrial","survey",23,584734,"0.0-2.0-21.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"33306","Tokyo_small_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",1,16,3,4,3,2,4,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"17","65256fe93880231e2221e2d6","svTrial","survey",24,628362,"0.0-2.0-22.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"43620","Kanagawa_large_pos_9_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",9,17,4,3,3,3,3,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"18","65256fe93880231e2221e2d6","svTrial","survey",25,651463,"0.0-2.0-23.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"23094","Niigata_large_sch_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",5,18,2,3,3,2,3,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"19","65256fe93880231e2221e2d6","svTrial","survey",26,664274,"0.0-2.0-24.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"12805","Okinawa_large_pos_6_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,19,1,2,2,2,2,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"20","65256fe93880231e2221e2d6","svTrial","survey",27,680683,"0.0-2.0-25.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"16402","Okinawa_large_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",7,20,3,3,3,3,3,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
"21","65256fe93880231e2221e2d6","svTrial","survey",28,696300,"0.0-2.0-26.0","65553732575bb29198a888d7","65565161c0ddfbf704566ec4",4,"15608","Niigata_middle_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",5,21,1,1,1,2,2,1,"10009","39","female","nonbinary","gender queer","latino","","No","",""
