"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","sex","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"1","654f973ac78b3016588a8f1e","svTrial","survey",8,193683,"0.0-2.0-6.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"75459","Toyama_small_pos_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",4,1,4,3,2,3,2,1,"10466","45","female","woman","","caucasian","","No","",""
"2","654f973ac78b3016588a8f1e","svTrial","survey",9,245161,"0.0-2.0-7.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"51460","Kanagawa_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,2,4,4,4,4,3,1,"10466","45","female","woman","","caucasian","","No","",""
"3","654f973ac78b3016588a8f1e","svTrial","survey",10,288831,"0.0-2.0-8.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"43652","Toyama_small_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,3,5,3,5,3,4,1,"10466","45","female","woman","","caucasian","","No","",""
"4","654f973ac78b3016588a8f1e","svTrial","survey",11,334300,"0.0-2.0-9.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"45449","Kanagawa_large_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",6,4,5,2,3,4,3,1,"10466","45","female","woman","","caucasian","","No","",""
"5","654f973ac78b3016588a8f1e","svTrial","survey",12,369494,"0.0-2.0-10.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"35172","Kanagawa_large_pos_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",5,5,3,4,4,3,3,1,"10466","45","female","woman","","caucasian","","No","",""
"6","654f973ac78b3016588a8f1e","svTrial","survey",13,394579,"0.0-2.0-11.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"25062","Hokkaido_middle_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",5,6,5,4,5,4,4,1,"10466","45","female","woman","","caucasian","","No","",""
"7","654f973ac78b3016588a8f1e","svTrial","survey",14,419447,"0.0-2.0-12.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"24851","Hokkaido_middle_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",3,7,5,4,5,5,5,1,"10466","45","female","woman","","caucasian","","No","",""
"8","654f973ac78b3016588a8f1e","svTrial","survey",15,453859,"0.0-2.0-13.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"34399","Toyama_middle_pos_5_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,8,4,3,5,4,4,1,"10466","45","female","woman","","caucasian","","No","",""
"9","654f973ac78b3016588a8f1e","svTrial","survey",16,480097,"0.0-2.0-14.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"26217","Akita_large_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",3,9,3,3,3,3,3,1,"10466","45","female","woman","","caucasian","","No","",""
"10","654f973ac78b3016588a8f1e","svTrial","survey",17,507198,"0.0-2.0-15.0","65553732575bb29198a888d7","655658062898e647ea3b9bf5",2,"27081","Kanagawa_large_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,10,5,3,4,4,3,1,"10466","45","female","woman","","caucasian","","No","",""
