"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","group","rt","stimulus","response","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number"
"pavlovia-init","pavlovia","0","1167","0.0-0.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","","","","","","","","","","","","","","","","","","","","","","","",""
"consent","html-button-response","1","4340","0.0-1.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","3169","
    <div style=""font-size: 80%; max-width:700px"">
        <h2>Informed Consent</h2><br>
    
        <div style=""text-align: left"">
        <h3>Streetscape Perceptions</h3>
        <b>HUM00189138</b>
        <br><hr>
    
        <h4>DESCRIPTION</h4>
        <p>
            In this study, you will view Google Street View images. You will then answer questions about your impressions of the streetscapes presented in those images.
        </p><br>
    
        <h4>TIME INVOLVEMENT</h4>
        <p>Your participation will take approximately 20-25 minutes.</p><br>
    
        <h4>RISKS AND BENEFITS</h4>
        <p>
            The risks associated with this study are minimal. The benefits which may reasonably be expected to result from this study are none.  We cannot and do not guarantee or promise that you will receive any benefits from this study. 
        </p><br>

        <h4>PAYMENTS</h4>
        <p>You will be paid <b>$4.60</b> for your participation.</p><br>

        <h4>SUBJECT'S RIGHTS</h4>
        <p>
            If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  
        </p>
    
        <p>
            Your individual privacy will be maintained in all published and written data resulting from the study. Your responses will be kept confidential: you are given a participant code, and no one, not even the research team, can match that code with your identity. Your collected information may also be shared with other researchers as part of our dataset.
        </p><br>
    
        <h4>CONTACT INFORMATION</h4>
        <p>
            Questions: If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Nicholas Camp, npcamp@umich.edu, (443) 851-6783.
        </p>
    
        <p>
            If you have questions about your rights as a research participant, or wish to obtain information, ask questions or discuss any concerns about this study with someone other than the researcher(s), please contact the following:
            <br><br>
    
            University of Michigan<br>
            Health Sciences and Behavioral Sciences Institutional Review Board
            (IRB-HSBS)<br>
            2800 Plymouth Road <br>
            Building 520, Room 1169 <br>
            Ann Arbor, MI 48109-2800 <br>
            Telephone: 734-936-0933 or toll free (866) 936-0933 <br>
            Fax: 734-936-1852 <br />
            E-mail: irbhsbs@umich.edu <br>
        </p>
    
        <p>
            You can also contact the University of Michigan Compliance Hotline at 1-866-990-0111. You may also print this consent form to keep.
        </p>
        <br>
    
        <div class=""alert alert-warning""><b>
            Do you consent to participate in this study? If you consent to participate in this study, please click “Accept and continue.”
        </b></div>
        </div>
    </div>
","1","","","","","","","","","","","","","","","","","","","","",""
"browser-check","browser-check","2","5342","0.0-2.0-0.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","","","","1920","955","true","chrome","119.0.0","false","Windows 10","true","60.16","true","true","","","","","","","","","",""
"","preload","3","6743","0.0-2.0-1.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","",""
"","preload","4","8319","0.0-2.0-2.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","",""
"instructions","html-button-response","5","34396","0.0-2.0-3.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","26076","
<div class=""text-container"">
    <h1>Welcome to the study!</h1>
    
    <div class=""text-left"">
        <p>
            In this study, we are interested in how people think about different Google Street View images. Google Street View takes pictures of streets used for Google Earth and Google Maps. You’ll see Google Street View images of different places and answer some questions about each one.
        </p>
    </div>
    <img src = ""assets/img/example.png"" width = 500px, height = auto>
    <br>
<br>
","0","","","","","","","","","","","","","","","","","","","","",""
"instructions","html-button-response","6","103283","0.0-2.0-4.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","68575","
        <style>
            img.small {
            max-width: 100px;
            }
            li {
            text-indent: 40px;
            }
        </style>

        <div class=""text-container text-left"">
            <p>For each picture, we’d like your impressions of the scene:</p>
            
            <hr>
                Are there <b>clear, distinct boundaries</b> between objects in the scene, or are the <b>boundaries ambiguous or unclear</b>?
                
                <li>clear, distinct boundaries: <img class=""small"" src=""assets/img/ambiguous-low.png""></li>
                <li>ambiguous or unclear boundaries: <img class=""small"" src=""assets/img/ambiguous-high.png""></li>
            <hr>
            <br>
                Are there <b>only a few different objects</b> in the scene, or is there <b>a large number</b>?
            <br><br>
            <hr>
                Are only <b>a few parts</b> of the scene <b>invisible or obscured</b>, or are <b>many parts invisible or obscured</b>?
                
                <li>a few parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-low.png""></li>
                <li>many parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-high.png""></li>
            <hr>
            <br>
                Does the scene look <b>organized</b> or <b>chaotic</b> to you?
            <br><br>
            <hr>
            
            <p>
                There are no right or wrong answers: we are interested in <b>your</b> impression. Note that some images might have individual buildings or faces blurred for privacy. Please ignore these when making your judgments.
            </p>
        </div>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","",""
"instructions","html-button-response","7","107379","0.0-2.0-5.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","4094","
    <div class=""text-container text-left"">
        <p>Please make sure you are doing this study in an area where you can focus and complete the survey in one sitting.</p>

        <p>Don’t spend too much time on any one picture- go with your gut impression!</p>
        
        <p>The study should take about 20 minutes. We’ll let you know when you’re halfway through.</p>
    </div>
        
    <h3>Ready? Click next to get started!</h3>
    <br>
","0","","","","","","","","","","","","","","","","","","","","",""
"svTrial","survey","8","148118","0.0-2.0-6.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","40700","Tokyo_small_pos_2_1.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":3,""chaos"":1,""complex"":2}","","","","","","","","","","","","","","","","","[]","small","1","sch","2"
"svTrial","survey","9","182035","0.0-2.0-7.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","33902","Ishikawa_small_sch_4_3.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":2,""chaos"":1,""complex"":null}","","","","","","","","","","","","","","","","","[]","small","2","sch","4"
"svTrial","survey","10","231222","0.0-2.0-8.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","49176","Kanagawa_small_sch_3_1.jpg","{""P0_Q0"":null,""ambiguous"":4,""objects"":4,""invisible"":4,""chaos"":4,""complex"":4}","","","","","","","","","","","","","","","","","[]","small","1","pos","3"
"svTrial","survey","11","261095","0.0-2.0-9.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","29865","Kanagawa_middle_pos_4_1.jpg","{""P0_Q0"":null,""ambiguous"":5,""objects"":5,""invisible"":5,""chaos"":4,""complex"":5}","","","","","","","","","","","","","","","","","[]","small","1","sch","4"
"svTrial","survey","12","284087","0.0-2.0-10.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","22981","Niigata_small_pos_3_2.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":3,""invisible"":2,""chaos"":2,""complex"":1}","","","","","","","","","","","","","","","","","[]","small","2","pos","3"
"svTrial","survey","13","311254","0.0-2.0-11.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","27157","Hokkaido_large_pos_5_0.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":2,""chaos"":1,""complex"":1}","","","","","","","","","","","","","","","","","[]","small","1","pos","5"
"svTrial","survey","14","344872","0.0-2.0-12.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","33611","Akita_large_pos_12_2.jpg","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":3,""chaos"":3,""complex"":3}","","","","","","","","","","","","","","","","","[]","small","2","sch","12"
"svTrial","survey","15","371231","0.0-2.0-13.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","26349","Okinawa_middle_sch_3_2.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":4,""chaos"":3,""complex"":2}","","","","","","","","","","","","","","","","","[]","middle","1","pos","3"
"svTrial","survey","16","405127","0.0-2.0-14.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","33886","Toyama_middle_sch_1_1.jpg","{""P0_Q0"":null,""ambiguous"":3,""objects"":1,""invisible"":3,""chaos"":1,""complex"":1}","","","","","","","","","","","","","","","","","[]","large","2","pos","1"
"svTrial","survey","17","417342","0.0-2.0-15.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","12207","Ishikawa_small_sch_1_3.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":1,""chaos"":1,""complex"":1}","","","","","","","","","","","","","","","","","[]","large","2","sch","1"
"svTrial","survey","18","434431","0.0-2.0-16.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","17081","Toyama_large_pos_4_3.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":1,""chaos"":1,""complex"":1}","","","","","","","","","","","","","","","","","[]","small","2","sch","4"
"svTrial","survey","19","473965","0.0-2.0-17.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","39525","Kanagawa_middle_sch_5_3.jpg","{""P0_Q0"":null,""ambiguous"":2,""objects"":5,""invisible"":3,""chaos"":3,""complex"":4}","","","","","","","","","","","","","","","","","[]","large","1","sch","5"
"svTrial","survey","20","509365","0.0-2.0-18.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","35392","Tokyo_middle_pos_3_1.jpg","{""P0_Q0"":null,""ambiguous"":4,""objects"":5,""invisible"":4,""chaos"":4,""complex"":4}","","","","","","","","","","","","","","","","","[]","middle","1","pos","3"
"svTrial","survey","21","539246","0.0-2.0-19.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","29873","Akita_large_pos_11_1.jpg","{""P0_Q0"":null,""ambiguous"":2,""objects"":2,""invisible"":4,""chaos"":3,""complex"":1}","","","","","","","","","","","","","","","","","[]","small","2","sch","11"
"svTrial","survey","22","562469","0.0-2.0-20.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","23216","Toyama_large_pos_9_2.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":2,""chaos"":1,""complex"":1}","","","","","","","","","","","","","","","","","[]","middle","2","sch","9"
"svTrial","survey","23","601550","0.0-2.0-21.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","39073","Hokkaido_small_sch_2_1.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":2,""chaos"":1,""complex"":1}","","","","","","","","","","","","","","","","","[]","small","1","pos","2"
"svTrial","survey","24","636965","0.0-2.0-22.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","35409","Hokkaido_small_pos_1_3.jpg","{""P0_Q0"":null,""ambiguous"":3,""objects"":3,""invisible"":4,""chaos"":3,""complex"":2}","","","","","","","","","","","","","","","","","[]","small","1","pos","1"
"svTrial","survey","25","659349","0.0-2.0-23.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","22377","Toyama_small_sch_1_3.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":1,""chaos"":1,""complex"":1}","","","","","","","","","","","","","","","","","[]","small","2","sch","1"
"svTrial","survey","26","676062","0.0-2.0-24.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","16704","Kanagawa_middle_sch_8_2.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":2,""chaos"":1,""complex"":1}","","","","","","","","","","","","","","","","","[]","small","1","sch","8"
"svTrial","survey","27","702750","0.0-2.0-25.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","26681","Hokkaido_small_pos_3_1.jpg","{""P0_Q0"":null,""ambiguous"":1,""objects"":3,""invisible"":2,""chaos"":1,""complex"":2}","","","","","","","","","","","","","","","","","[]","middle","1","sch","3"
"svTrial","survey","28","750981","0.0-2.0-26.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","48224","Ishikawa_middle_pos_7_2.jpg","{""P0_Q0"":null,""ambiguous"":4,""objects"":4,""invisible"":5,""chaos"":4,""complex"":4}","","","","","","","","","","","","","","","","","[]","small","2","sch","7"
"svTrial","survey","29","785133","0.0-2.0-27.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","34144","Tokyo_large_pos_2_3.jpg","{""P0_Q0"":null,""ambiguous"":4,""objects"":3,""invisible"":3,""chaos"":3,""complex"":4}","","","","","","","","","","","","","","","","","[]","small","1","sch","2"
"svTrial","survey","30","819533","0.0-2.0-28.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","34393","Tokyo_middle_sch_6_2.jpg","{""P0_Q0"":null,""ambiguous"":4,""objects"":3,""invisible"":4,""chaos"":4,""complex"":3}","","","","","","","","","","","","","","","","","[]","small","1","sch","6"
"svTrial","survey","31","859989","0.0-2.0-29.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","40448","Toyama_large_pos_8_0.jpg","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":3,""chaos"":2,""complex"":null}","","","","","","","","","","","","","","","","","[]","large","2","pos","8"
"half-way","html-button-response","32","875751","0.0-2.0-30.0","5e28f6f3a9af590c5b97b2b9","65553732575bb29198a888d7","655658f84680fc061a229f80","5","null","
<h3>You are now half way through the study.</h3>
<p>Please take a quick, 15-second break before you continue.</p>
<img src='assets/img/countdown-15.gif'>
<p>The study will automatically advance forward after the countdown is complete. However, you may click ""Next"" to advance forward now if you wish.</p>
","null","","","","","","","","","","","","","","","","","","","","",""
