"task","trial_type","trial_index","time_elapsed","internal_node_id","group","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","accuracy","name","place_id","lat","lng","culture","loc1","loc2","loct","address","loc_id_prev","angle","loc_id"
"pavlovia-init","pavlovia","0","994","0.0-0.0","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","browser-check","1","1794","0.0-1.0","6","906","969","true","chrome","100.0.4896","false","Mac OS","true","75.78","true","true","","","","","","","","","","","","","","","","","","","","",""
"","preload","2","1802","0.0-2.0","6","","","","","","","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"instructions","html-button-response","3","7526","0.0-3.0","6","","","","","","","","","","","","","","","","","5723","
        <div class=""text-container"">
            <h1>Welcome to the study!</h1>
            
            <div class=""text-left"">
                <p>
                    In this study, we are interested in how people think about different Google Street View images. Google Street View takes pictures of streets used for Google Earth and Google Maps. You’ll see Google Street View images of different places and answer some questions about each one.
                </p>
            </div>
            
            <img src='
            https://maps.googleapis.com/maps/api/streetview?size=640x320
            &location=37.783631,-122.432766
            &heading=80
            &pitch=2
            &fov=100
            &radius=150
            &key=AIzaSyC2OxRDg6qlzZDj7j0UAD2XyE0qWokLvvs
            &source=outdoor'>
        
            <br>
        <br>
    ","0","","","","","","","","","","","","",""
"instructions","html-button-response","4","9337","0.0-4.0","6","","","","","","","","","","","","","","","","","1508","
        <style>
            img.small {
            max-width: 100px;
            }
            li {
            text-indent: 40px;
            }
        </style>

        <div class=""text-container text-left"">
            <p>For each picture, we’d like your impressions of the scene:</p>
            
            <hr>
                Are there <b>clear, distinct boundaries</b> between objects in the scene, or are the <b>boundaries ambiguous or unclear</b>?
                
                <li>clear, distinct boundaries: <img class=""small"" src=""assets/img/ambiguous-low.png""></li>
                <li>ambiguous or unclear boundaries: <img class=""small"" src=""assets/img/ambiguous-high.png""></li>
            <hr>
            <br>
                Are there <b>only a few different objects</b> in the scene, or is there <b>a large number</b>?
            <br><br>
            <hr>
                Are only <b>a few parts</b> of the scene <b>invisible or obscured</b>, or are <b>many parts invisible or obscured</b>?
                
                <li>a few parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-low.png""></li>
                <li>many parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-high.png""></li>
            <hr>
            <br>
                Does the scene look <b>organized</b> or <b>chaotic</b> to you?
            <br><br>
            <hr>
            
            <p>
                There are no right or wrong answers: we are interested in <b>your</b> impression. Note that some images might have individual buildings or faces blurred for privacy. Please ignore these when making your judgments.
            </p>
        </div>
        <br>
    ","0","","","","","","","","","","","","",""
"instructions","html-button-response","5","10131","0.0-5.0","6","","","","","","","","","","","","","","","","","793","
        <div class=""text-container text-left"">
            <p>Please make sure you are doing this study in an area where you can focus and complete the survey in one sitting.</p>

            <p>Don’t spend too much time on any one picture, and, again go with your gut impression!</p>
            
            <p>The study should take about 30 minutes. We’ll let you know when you’re halfway through.</p>
        </div>
            
        <h3>Ready? Click next to get started!</h3>
        <br>
    ","0","","","","","","","","","","","","",""
"trial","survey","6","13121","0.0-6.0","6","","","","","","","","","","","","","","","","","2961","","{""P0_Q0"":null,""ambiguous"":null,""objects"":5,""invisible"":3,""chaos"":null}","[]","Nearby location of Waseda Daigaku-mae Post Office (jp_hik_pos_a_4)","ChIJ3fFikwKNGGARdbidMhgiTgs","35.7066137","139.7233789","JP","HIK","HIK","POS","508 Wasedatsurumakichō, Shinjuku City, Tokyo 162-0041, Japan","jp_hik_pos_b_4","90","jp_hik_pos_b_4_90"
"trial","survey","7","15945","0.0-7.0","6","","","","","","","","","","","","","","","","","2812","","{""P0_Q0"":null,""ambiguous"":3,""objects"":2,""invisible"":null,""chaos"":null}","[]","Hotel Kaito","ChIJSw_1QTuSAWARZz9bnjVtA6Q","35.3989028","136.0315856","JP","HIK","HIK","HTL","Japan, 〒520-1631 Shiga, Takashima, Imazuchō Nakoji, 1-chōme−６−１０","jp_hik_htl_a_low2","90","jp_hik_htl_a_low2_90"
"attention-check","survey","8","17169","0.0-8.0","6","","","","","","","","","","","","","","","","","1213","","{""P0_Q0"":null,""ambiguous"":null,""objects"":null,""invisible"":null,""chaos"":null}","[]","","","","","","","","","","","",""
"half-way","html-button-response","9","18147","0.0-9.0","6","","","","","","","","","","","","","","","","","977","
            <h3>You are now half way through the study.</h3>
            <p>Please take a quick, 15-second break before you continue.</p>
            <img src='assets/img/countdown-15.gif'>
            <p>The study will automatically advance forward after the countdown is complete. However, you may click ""Next"" to advance forward now if you wish.</p>
        ","0","","","","","","","","","","","","",""
"trial","survey","10","20430","0.0-10.0","6","","","","","","","","","","","","","","","","","2278","","{""P0_Q0"":null,""ambiguous"":3,""objects"":5,""invisible"":null,""chaos"":null}","[]","Hotel Route-Inn Nagahama Inter","ChIJmQLsstAuAmARAC8tYd9WWwc","35.3970578","136.2947216","JP","TOR","TOR","HTL","Japan, 〒526-0804 Shiga, Nagahama, Kanōchō, 字上角田884-1","jp_tor_htl_a_low1","270","jp_tor_htl_a_low1_270"
"trial","survey","11","23559","0.0-11.0","6","","","","","","","","","","","","","","","","","3109","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":null,""chaos"":null}","[]","Nearby location of Horace Mann Barnard Elementary (us_nyc-p_sch_a_1)","ChIJ9ds6urrzwokRAWUJ8d6GdJk","40.8906469","-73.9015387","US","NYC","PER","SCH","Chrysostom Hall, 4513 Manhattan College Pkwy, Bronx, NY 10471, USA","us_nyc-p_sch_b_1","180","us_nyc-p_sch_b_1_180"
"demographics","survey-html-form","12","25007","0.0-12.0","6","","","","","","","","","","","","","","","","","1446","","{""age"":"""",""gender-self-describe"":"""",""zipcode"":""""}","","","","","","","","","","","","",""
"end-survey","survey-text","13","30158","0.0-13.0","6","","","","","","","","","","","","","","","","","5149","","{""Q0"":""test test""}","","","","","","","","","","","","",""
